controller,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
dqn,high,12,5,B1,0,0.0,0
dqn,high,12,5,B2,0,0.0,0
dqn,high,12,5,C1,0,0.0,0
dqn,high,12,5,C2,0,0.0,1
dqn,high,12,10,B1,0,0.0,1
dqn,high,12,10,B2,0,0.0,1
dqn,high,12,10,C1,0,0.0,2
dqn,high,12,10,C2,0,0.0,1
dqn,high,12,15,B1,0,0.0,3
dqn,high,12,15,B2,0,0.0,1
dqn,high,12,15,C1,0,0.0,3
dqn,high,12,15,C2,0,0.0,1
dqn,high,12,20,B1,0,0.0,4
dqn,high,12,20,B2,0,0.0,4
dqn,high,12,20,C1,0,0.0,4
dqn,high,12,20,C2,1,1.0,2
dqn,high,12,25,B1,0,0.0,5
dqn,high,12,25,B2,0,0.0,5
dqn,high,12,25,C1,1,1.0,5
dqn,high,12,25,C2,1,6.0,4
dqn,high,12,30,B1,0,0.0,5
dqn,high,12,30,B2,0,0.0,5
dqn,high,12,30,C1,2,10.0,7
dqn,high,12,30,C2,1,11.0,4
dqn,high,12,35,B1,1,3.0,5
dqn,high,12,35,B2,0,0.0,6
dqn,high,12,35,C1,2,20.0,9
dqn,high,12,35,C2,1,16.0,4
dqn,high,12,40,B1,2,11.0,5
dqn,high,12,40,B2,2,9.0,5
dqn,high,12,40,C1,3,31.0,8
dqn,high,12,40,C2,2,26.0,8
dqn,high,12,45,B1,3,22.0,6
dqn,high,12,45,B2,0,0.0,6
dqn,high,12,45,C1,5,52.0,9
dqn,high,12,45,C2,3,39.0,12
dqn,high,12,50,B1,0,0.0,10
dqn,high,12,50,B2,1,1.0,7
dqn,high,12,50,C1,2,7.0,9
dqn,high,12,50,C2,0,0.0,12
dqn,high,12,55,B1,0,0.0,13
dqn,high,12,55,B2,1,6.0,8
dqn,high,12,55,C1,3,18.0,9
dqn,high,12,55,C2,2,6.0,12
dqn,high,12,60,B1,1,3.0,13
dqn,high,12,60,B2,1,2.0,6
dqn,high,12,60,C1,4,34.0,11
dqn,high,12,60,C2,5,23.0,15
dqn,high,12,65,B1,2,11.0,14
dqn,high,12,65,B2,2,9.0,8
dqn,high,12,65,C1,5,55.0,14
dqn,high,12,65,C2,7,55.0,16
dqn,high,12,70,B1,6,31.0,17
dqn,high,12,70,B2,4,25.0,9
dqn,high,12,70,C1,3,18.0,13
dqn,high,12,70,C2,11,101.0,15
dqn,high,12,75,B1,7,57.0,21
dqn,high,12,75,B2,1,6.0,11
dqn,high,12,75,C1,0,0.0,10
dqn,high,12,75,C2,11,142.0,18
dqn,high,12,80,B1,11,104.0,24
dqn,high,12,80,B2,3,5.0,12
dqn,high,12,80,C1,2,3.0,10
dqn,high,12,80,C2,8,138.0,19
dqn,high,12,85,B1,14,167.0,24
dqn,high,12,85,B2,4,22.0,15
dqn,high,12,85,C1,4,20.0,12
dqn,high,12,85,C2,8,178.0,19
dqn,high,12,90,B1,17,245.0,25
dqn,high,12,90,B2,1,1.0,16
dqn,high,12,90,C1,5,43.0,16
dqn,high,12,90,C2,10,208.0,21
dqn,high,12,95,B1,12,89.0,26
dqn,high,12,95,B2,4,16.0,14
dqn,high,12,95,C1,5,68.0,18
dqn,high,12,95,C2,7,27.0,21
dqn,high,12,100,B1,7,29.0,24
dqn,high,12,100,B2,7,42.0,18
dqn,high,12,100,C1,3,18.0,22
dqn,high,12,100,C2,10,58.0,22
dqn,high,12,105,B1,10,70.0,24
dqn,high,12,105,B2,6,34.0,19
dqn,high,12,105,C1,4,13.0,19
dqn,high,12,105,C2,10,87.0,21
dqn,high,12,110,B1,14,132.0,24
dqn,high,12,110,B2,0,0.0,17
dqn,high,12,110,C1,6,36.0,19
dqn,high,12,110,C2,10,127.0,23
dqn,high,12,115,B1,14,202.0,25
dqn,high,12,115,B2,0,0.0,15
dqn,high,12,115,C1,5,33.0,20
dqn,high,12,115,C2,13,187.0,26
dqn,high,12,120,B1,13,246.0,26
dqn,high,12,120,B2,2,3.0,15
dqn,high,12,120,C1,3,9.0,18
dqn,high,12,120,C2,13,252.0,27
dqn,high,12,125,B1,14,193.0,27
dqn,high,12,125,B2,8,30.0,17
dqn,high,12,125,C1,10,43.0,21
dqn,high,12,125,C2,17,330.0,28
dqn,high,12,130,B1,11,148.0,27
dqn,high,12,130,B2,11,78.0,23
dqn,high,12,130,C1,8,45.0,20
dqn,high,12,130,C2,18,420.0,27
dqn,high,12,135,B1,12,187.0,28
dqn,high,12,135,B2,7,71.0,21
dqn,high,12,135,C1,8,27.0,24
dqn,high,12,135,C2,22,520.0,28
dqn,high,12,140,B1,4,12.0,30
dqn,high,12,140,B2,2,6.0,21
dqn,high,12,140,C1,11,77.0,24
dqn,high,12,140,C2,15,218.0,28
dqn,high,12,145,B1,12,55.0,33
dqn,high,12,145,B2,5,26.0,18
dqn,high,12,145,C1,9,64.0,24
dqn,high,12,145,C2,9,82.0,30
dqn,high,12,150,B1,18,133.0,34
dqn,high,12,150,B2,7,30.0,20
dqn,high,12,150,C1,5,19.0,26
dqn,high,12,150,C2,10,71.0,34
dqn,high,12,155,B1,23,239.0,33
dqn,high,12,155,B2,9,45.0,22
dqn,high,12,155,C1,8,54.0,27
dqn,high,12,155,C2,16,136.0,35
dqn,high,12,160,B1,27,363.0,32
dqn,high,12,160,B2,12,105.0,24
dqn,high,12,160,C1,6,40.0,29
dqn,high,12,160,C2,19,229.0,37
dqn,high,12,165,B1,28,461.0,36
dqn,high,12,165,B2,9,78.0,24
dqn,high,12,165,C1,6,18.0,28
dqn,high,12,165,C2,22,281.0,37
dqn,high,12,170,B1,24,494.0,38
dqn,high,12,170,B2,6,20.0,24
dqn,high,12,170,C1,12,67.0,29
dqn,high,12,170,C2,21,305.0,35
dqn,high,12,175,B1,22,584.0,38
dqn,high,12,175,B2,11,53.0,25
dqn,high,12,175,C1,14,70.0,33
dqn,high,12,175,C2,23,361.0,37
dqn,high,12,180,B1,23,699.0,39
dqn,high,12,180,B2,14,75.0,28
dqn,high,12,180,C1,10,48.0,35
dqn,high,12,180,C2,23,427.0,39
dqn,high,12,185,B1,18,388.0,39
dqn,high,12,185,B2,18,100.0,32
dqn,high,12,185,C1,10,67.0,35
dqn,high,12,185,C2,12,119.0,38
dqn,high,12,190,B1,19,237.0,41
dqn,high,12,190,B2,19,153.0,31
dqn,high,12,190,C1,12,77.0,38
dqn,high,12,190,C2,11,51.0,39
dqn,high,12,195,B1,20,150.0,41
dqn,high,12,195,B2,15,141.0,29
dqn,high,12,195,C1,10,49.0,39
dqn,high,12,195,C2,18,124.0,40
dqn,high,12,200,B1,23,238.0,43
dqn,high,12,200,B2,11,47.0,30
dqn,high,12,200,C1,13,72.0,38
dqn,high,12,200,C2,23,229.0,42
dqn,high,12,205,B1,29,371.0,42
dqn,high,12,205,B2,10,54.0,28
dqn,high,12,205,C1,15,93.0,40
dqn,high,12,205,C2,29,365.0,44
dqn,high,12,210,B1,32,506.0,44
dqn,high,12,210,B2,12,73.0,29
dqn,high,12,210,C1,17,75.0,40
dqn,high,12,210,C2,34,524.0,48
dqn,high,12,215,B1,32,569.0,45
dqn,high,12,215,B2,14,79.0,32
dqn,high,12,215,C1,19,108.0,39
dqn,high,12,215,C2,39,708.0,51
dqn,high,12,220,B1,31,650.0,44
dqn,high,12,220,B2,18,127.0,35
dqn,high,12,220,C1,15,110.0,40
dqn,high,12,220,C2,43,917.0,53
dqn,high,12,225,B1,28,712.0,44
dqn,high,12,225,B2,14,133.0,36
dqn,high,12,225,C1,13,47.0,41
dqn,high,12,225,C2,44,1099.0,55
dqn,high,12,230,B1,21,382.0,46
dqn,high,12,230,B2,13,128.0,36
dqn,high,12,230,C1,18,107.0,42
dqn,high,12,230,C2,35,825.0,52
dqn,high,12,235,B1,18,229.0,47
dqn,high,12,235,B2,17,191.0,37
dqn,high,12,235,C1,20,125.0,42
dqn,high,12,235,C2,31,643.0,54
dqn,high,12,240,B1,19,160.0,49
dqn,high,12,240,B2,24,293.0,39
dqn,high,12,240,C1,20,81.0,43
dqn,high,12,240,C2,31,495.0,55
dqn,high,12,245,B1,22,192.0,48
dqn,high,12,245,B2,32,438.0,41
dqn,high,12,245,C1,19,103.0,44
dqn,high,12,245,C2,32,419.0,54
dqn,high,12,250,B1,27,276.0,48
dqn,high,12,250,B2,38,614.0,45
dqn,high,12,250,C1,23,116.0,44
dqn,high,12,250,C2,28,377.0,55
dqn,high,12,255,B1,34,428.0,50
dqn,high,12,255,B2,36,752.0,46
dqn,high,12,255,C1,17,89.0,44
dqn,high,12,255,C2,29,382.0,55
dqn,high,12,260,B1,37,605.0,54
dqn,high,12,260,B2,35,863.0,45
dqn,high,12,260,C1,15,77.0,43
dqn,high,12,260,C2,37,547.0,55
dqn,high,12,265,B1,41,803.0,60
dqn,high,12,265,B2,35,1038.0,45
