controller,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
fixedtime,dynamic,2,5,B1,0,0.0,2
fixedtime,dynamic,2,5,B2,0,0.0,0
fixedtime,dynamic,2,5,C1,0,0.0,1
fixedtime,dynamic,2,5,C2,0,0.0,0
fixedtime,dynamic,2,10,B1,0,0.0,2
fixedtime,dynamic,2,10,B2,0,0.0,0
fixedtime,dynamic,2,10,C1,0,0.0,2
fixedtime,dynamic,2,10,C2,0,0.0,0
fixedtime,dynamic,2,15,B1,0,0.0,3
fixedtime,dynamic,2,15,B2,0,0.0,0
fixedtime,dynamic,2,15,C1,0,0.0,2
fixedtime,dynamic,2,15,C2,0,0.0,0
fixedtime,dynamic,2,20,B1,1,3.0,2
fixedtime,dynamic,2,20,B2,0,0.0,0
fixedtime,dynamic,2,20,C1,0,0.0,2
fixedtime,dynamic,2,20,C2,0,0.0,0
fixedtime,dynamic,2,25,B1,1,8.0,2
fixedtime,dynamic,2,25,B2,0,0.0,0
fixedtime,dynamic,2,25,C1,0,0.0,1
fixedtime,dynamic,2,25,C2,0,0.0,0
fixedtime,dynamic,2,30,B1,1,13.0,2
fixedtime,dynamic,2,30,B2,0,0.0,0
fixedtime,dynamic,2,30,C1,1,5.0,2
fixedtime,dynamic,2,30,C2,0,0.0,1
fixedtime,dynamic,2,35,B1,2,23.0,2
fixedtime,dynamic,2,35,B2,0,0.0,0
fixedtime,dynamic,2,35,C1,1,10.0,4
fixedtime,dynamic,2,35,C2,0,0.0,2
fixedtime,dynamic,2,40,B1,2,33.0,4
fixedtime,dynamic,2,40,B2,0,0.0,0
fixedtime,dynamic,2,40,C1,1,15.0,4
fixedtime,dynamic,2,40,C2,0,0.0,2
fixedtime,dynamic,2,45,B1,2,43.0,7
fixedtime,dynamic,2,45,B2,0,0.0,0
fixedtime,dynamic,2,45,C1,1,20.0,5
fixedtime,dynamic,2,45,C2,0,0.0,2
fixedtime,dynamic,2,50,B1,0,0.0,7
fixedtime,dynamic,2,50,B2,0,0.0,0
fixedtime,dynamic,2,50,C1,0,0.0,4
fixedtime,dynamic,2,50,C2,0,0.0,3
fixedtime,dynamic,2,55,B1,0,0.0,8
fixedtime,dynamic,2,55,B2,0,0.0,0
fixedtime,dynamic,2,55,C1,1,4.0,6
fixedtime,dynamic,2,55,C2,2,6.0,4
fixedtime,dynamic,2,60,B1,2,5.0,8
fixedtime,dynamic,2,60,B2,0,0.0,3
fixedtime,dynamic,2,60,C1,1,9.0,6
fixedtime,dynamic,2,60,C2,2,16.0,4
fixedtime,dynamic,2,65,B1,3,19.0,7
fixedtime,dynamic,2,65,B2,0,0.0,5
fixedtime,dynamic,2,65,C1,3,21.0,8
fixedtime,dynamic,2,65,C2,3,27.0,5
fixedtime,dynamic,2,70,B1,3,34.0,6
fixedtime,dynamic,2,70,B2,0,0.0,6
fixedtime,dynamic,2,70,C1,4,41.0,10
fixedtime,dynamic,2,70,C2,3,42.0,5
fixedtime,dynamic,2,75,B1,3,49.0,7
fixedtime,dynamic,2,75,B2,0,0.0,5
fixedtime,dynamic,2,75,C1,4,61.0,9
fixedtime,dynamic,2,75,C2,3,57.0,5
