controller,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
fixedtime,high,12,5,B1,0,0.0,0
fixedtime,high,12,5,B2,0,0.0,0
fixedtime,high,12,5,C1,0,0.0,0
fixedtime,high,12,5,C2,0,0.0,1
fixedtime,high,12,10,B1,0,0.0,1
fixedtime,high,12,10,B2,0,0.0,1
fixedtime,high,12,10,C1,0,0.0,2
fixedtime,high,12,10,C2,0,0.0,1
fixedtime,high,12,15,B1,0,0.0,3
fixedtime,high,12,15,B2,0,0.0,1
fixedtime,high,12,15,C1,0,0.0,3
fixedtime,high,12,15,C2,0,0.0,1
fixedtime,high,12,20,B1,0,0.0,4
fixedtime,high,12,20,B2,0,0.0,4
fixedtime,high,12,20,C1,0,0.0,4
fixedtime,high,12,20,C2,1,1.0,2
fixedtime,high,12,25,B1,0,0.0,4
fixedtime,high,12,25,B2,1,2.0,6
fixedtime,high,12,25,C1,1,1.0,5
fixedtime,high,12,25,C2,1,6.0,4
fixedtime,high,12,30,B1,0,0.0,4
fixedtime,high,12,30,B2,1,7.0,6
fixedtime,high,12,30,C1,2,10.0,7
fixedtime,high,12,30,C2,1,11.0,4
fixedtime,high,12,35,B1,1,3.0,4
fixedtime,high,12,35,B2,2,13.0,7
fixedtime,high,12,35,C1,2,20.0,9
fixedtime,high,12,35,C2,1,16.0,4
fixedtime,high,12,40,B1,2,11.0,5
fixedtime,high,12,40,B2,3,27.0,6
fixedtime,high,12,40,C1,3,31.0,8
fixedtime,high,12,40,C2,2,26.0,9
fixedtime,high,12,45,B1,3,22.0,6
fixedtime,high,12,45,B2,4,45.0,9
fixedtime,high,12,45,C1,5,52.0,9
fixedtime,high,12,45,C2,3,38.0,12
fixedtime,high,12,50,B1,0,0.0,10
fixedtime,high,12,50,B2,0,0.0,9
fixedtime,high,12,50,C1,2,6.0,9
fixedtime,high,12,50,C2,0,0.0,12
fixedtime,high,12,55,B1,0,0.0,13
fixedtime,high,12,55,B2,2,9.0,10
fixedtime,high,12,55,C1,3,17.0,9
fixedtime,high,12,55,C2,2,6.0,12
fixedtime,high,12,60,B1,1,3.0,12
fixedtime,high,12,60,B2,3,22.0,10
fixedtime,high,12,60,C1,4,33.0,10
fixedtime,high,12,60,C2,6,25.0,15
fixedtime,high,12,65,B1,2,9.0,13
fixedtime,high,12,65,B2,5,43.0,12
fixedtime,high,12,65,C1,5,54.0,14
fixedtime,high,12,65,C2,7,58.0,16
fixedtime,high,12,70,B1,6,28.0,15
fixedtime,high,12,70,B2,7,76.0,13
fixedtime,high,12,70,C1,6,83.0,15
fixedtime,high,12,70,C2,10,102.0,15
fixedtime,high,12,75,B1,6,53.0,19
fixedtime,high,12,75,B2,8,116.0,17
fixedtime,high,12,75,C1,8,121.0,15
fixedtime,high,12,75,C2,11,142.0,15
fixedtime,high,12,80,B1,8,90.0,22
fixedtime,high,12,80,B2,9,159.0,18
fixedtime,high,12,80,C1,10,165.0,14
fixedtime,high,12,80,C2,8,139.0,15
fixedtime,high,12,85,B1,13,149.0,22
fixedtime,high,12,85,B2,10,208.0,22
fixedtime,high,12,85,C1,10,215.0,18
fixedtime,high,12,85,C2,8,179.0,15
fixedtime,high,12,90,B1,16,221.0,24
fixedtime,high,12,90,B2,9,218.0,24
fixedtime,high,12,90,C1,11,268.0,22
fixedtime,high,12,90,C2,7,204.0,17
fixedtime,high,12,95,B1,10,69.0,26
fixedtime,high,12,95,B2,5,16.0,23
fixedtime,high,12,95,C1,4,28.0,22
fixedtime,high,12,95,C2,3,9.0,17
fixedtime,high,12,100,B1,10,43.0,25
fixedtime,high,12,100,B2,12,53.0,25
fixedtime,high,12,100,C1,1,2.0,23
fixedtime,high,12,100,C2,8,43.0,19
fixedtime,high,12,105,B1,13,82.0,27
fixedtime,high,12,105,B2,17,132.0,26
fixedtime,high,12,105,C1,5,14.0,23
fixedtime,high,12,105,C2,7,64.0,18
fixedtime,high,12,110,B1,18,159.0,27
fixedtime,high,12,110,B2,16,177.0,28
fixedtime,high,12,110,C1,10,54.0,24
fixedtime,high,12,110,C2,8,104.0,19
fixedtime,high,12,115,B1,18,249.0,27
fixedtime,high,12,115,B2,18,261.0,28
fixedtime,high,12,115,C1,14,116.0,25
fixedtime,high,12,115,C2,12,154.0,18
fixedtime,high,12,120,B1,19,340.0,26
fixedtime,high,12,120,B2,21,360.0,25
fixedtime,high,12,120,C1,17,196.0,24
fixedtime,high,12,120,C2,12,214.0,21
fixedtime,high,12,125,B1,17,303.0,27
fixedtime,high,12,125,B2,21,465.0,28
fixedtime,high,12,125,C1,15,209.0,26
fixedtime,high,12,125,C2,13,278.0,21
fixedtime,high,12,130,B1,15,273.0,28
