controller,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
fixedtime,low,3,5,B1,0,0.0,0
fixedtime,low,3,5,B2,0,0.0,0
fixedtime,low,3,5,C1,0,0.0,0
fixedtime,low,3,5,C2,0,0.0,0
fixedtime,low,3,10,B1,0,0.0,0
fixedtime,low,3,10,B2,0,0.0,0
fixedtime,low,3,10,C1,0,0.0,0
fixedtime,low,3,10,C2,0,0.0,0
fixedtime,low,3,15,B1,0,0.0,0
fixedtime,low,3,15,B2,0,0.0,0
fixedtime,low,3,15,C1,0,0.0,0
fixedtime,low,3,15,C2,0,0.0,1
fixedtime,low,3,20,B1,0,0.0,1
fixedtime,low,3,20,B2,0,0.0,0
fixedtime,low,3,20,C1,0,0.0,1
fixedtime,low,3,20,C2,0,0.0,1
fixedtime,low,3,25,B1,0,0.0,1
fixedtime,low,3,25,B2,0,0.0,2
fixedtime,low,3,25,C1,0,0.0,1
fixedtime,low,3,25,C2,0,0.0,1
fixedtime,low,3,30,B1,0,0.0,1
fixedtime,low,3,30,B2,0,0.0,2
fixedtime,low,3,30,C1,0,0.0,1
fixedtime,low,3,30,C2,1,2.0,2
fixedtime,low,3,35,B1,0,0.0,1
fixedtime,low,3,35,B2,0,0.0,2
fixedtime,low,3,35,C1,0,0.0,2
fixedtime,low,3,35,C2,1,7.0,2
fixedtime,low,3,40,B1,2,3.0,3
fixedtime,low,3,40,B2,0,0.0,1
fixedtime,low,3,40,C1,1,3.0,2
fixedtime,low,3,40,C2,1,12.0,2
fixedtime,low,3,45,B1,1,8.0,3
fixedtime,low,3,45,B2,1,4.0,1
fixedtime,low,3,45,C1,1,8.0,3
fixedtime,low,3,45,C2,2,19.0,3
fixedtime,low,3,50,B1,0,0.0,4
fixedtime,low,3,50,B2,0,0.0,1
fixedtime,low,3,50,C1,0,0.0,3
fixedtime,low,3,50,C2,0,0.0,1
fixedtime,low,3,55,B1,1,2.0,7
fixedtime,low,3,55,B2,0,0.0,1
fixedtime,low,3,55,C1,0,0.0,4
fixedtime,low,3,55,C2,0,0.0,1
fixedtime,low,3,60,B1,1,7.0,7
fixedtime,low,3,60,B2,0,0.0,1
fixedtime,low,3,60,C1,0,0.0,5
fixedtime,low,3,60,C2,0,0.0,0
fixedtime,low,3,65,B1,1,12.0,6
fixedtime,low,3,65,B2,0,0.0,0
fixedtime,low,3,65,C1,2,4.0,5
fixedtime,low,3,65,C2,0,0.0,0
fixedtime,low,3,70,B1,1,17.0,5
fixedtime,low,3,70,B2,0,0.0,0
fixedtime,low,3,70,C1,3,19.0,6
fixedtime,low,3,70,C2,0,0.0,0
fixedtime,low,3,75,B1,3,31.0,4
fixedtime,low,3,75,B2,0,0.0,0
fixedtime,low,3,75,C1,3,34.0,8
fixedtime,low,3,75,C2,0,0.0,0
fixedtime,low,3,80,B1,3,46.0,4
fixedtime,low,3,80,B2,0,0.0,0
fixedtime,low,3,80,C1,4,52.0,8
fixedtime,low,3,80,C2,0,0.0,0
fixedtime,low,3,85,B1,3,61.0,4
fixedtime,low,3,85,B2,0,0.0,2
fixedtime,low,3,85,C1,5,76.0,7
fixedtime,low,3,85,C2,0,0.0,0
fixedtime,low,3,90,B1,3,76.0,3
fixedtime,low,3,90,B2,0,0.0,4
fixedtime,low,3,90,C1,5,101.0,6
fixedtime,low,3,90,C2,0,0.0,0
fixedtime,low,3,95,B1,0,0.0,1
fixedtime,low,3,95,B2,0,0.0,6
fixedtime,low,3,95,C1,1,4.0,3
fixedtime,low,3,95,C2,0,0.0,1
fixedtime,low,3,100,B1,0,0.0,2
fixedtime,low,3,100,B2,0,0.0,6
fixedtime,low,3,100,C1,1,9.0,4
fixedtime,low,3,100,C2,0,0.0,3
fixedtime,low,3,105,B1,0,0.0,3
fixedtime,low,3,105,B2,2,9.0,8
fixedtime,low,3,105,C1,1,14.0,4
fixedtime,low,3,105,C2,0,0.0,3
fixedtime,low,3,110,B1,1,1.0,4
fixedtime,low,3,110,B2,4,25.0,7
fixedtime,low,3,110,C1,1,19.0,3
fixedtime,low,3,110,C2,0,0.0,3
fixedtime,low,3,115,B1,1,6.0,4
fixedtime,low,3,115,B2,4,45.0,8
fixedtime,low,3,115,C1,1,24.0,3
fixedtime,low,3,115,C2,0,0.0,3
fixedtime,low,3,120,B1,1,11.0,3
fixedtime,low,3,120,B2,6,69.0,8
fixedtime,low,3,120,C1,2,31.0,3
fixedtime,low,3,120,C2,0,0.0,4
fixedtime,low,3,125,B1,2,18.0,4
fixedtime,low,3,125,B2,6,99.0,7
fixedtime,low,3,125,C1,2,41.0,3
fixedtime,low,3,125,C2,0,0.0,4
fixedtime,low,3,130,B1,3,32.0,4
fixedtime,low,3,130,B2,6,129.0,7
fixedtime,low,3,130,C1,2,51.0,3
fixedtime,low,3,130,C2,2,9.0,5
fixedtime,low,3,135,B1,3,47.0,5
fixedtime,low,3,135,B2,7,163.0,7
fixedtime,low,3,135,C1,2,61.0,2
fixedtime,low,3,135,C2,3,24.0,5
fixedtime,low,3,140,B1,0,0.0,3
fixedtime,low,3,140,B2,0,0.0,4
fixedtime,low,3,140,C1,0,0.0,1
fixedtime,low,3,140,C2,1,1.0,4
fixedtime,low,3,145,B1,1,2.0,5
fixedtime,low,3,145,B2,1,5.0,5
fixedtime,low,3,145,C1,0,0.0,1
fixedtime,low,3,145,C2,1,6.0,3
fixedtime,low,3,150,B1,1,7.0,5
fixedtime,low,3,150,B2,1,10.0,4
fixedtime,low,3,150,C1,0,0.0,2
fixedtime,low,3,150,C2,1,11.0,5
fixedtime,low,3,155,B1,2,13.0,5
fixedtime,low,3,155,B2,1,15.0,4
fixedtime,low,3,155,C1,0,0.0,3
fixedtime,low,3,155,C2,1,16.0,5
fixedtime,low,3,160,B1,3,25.0,6
fixedtime,low,3,160,B2,3,25.0,5
fixedtime,low,3,160,C1,1,3.0,3
fixedtime,low,3,160,C2,2,24.0,5
fixedtime,low,3,165,B1,4,45.0,6
fixedtime,low,3,165,B2,4,41.0,5
fixedtime,low,3,165,C1,2,10.0,4
fixedtime,low,3,165,C2,3,39.0,5
fixedtime,low,3,170,B1,4,65.0,5
fixedtime,low,3,170,B2,4,61.0,4
fixedtime,low,3,170,C1,2,20.0,5
fixedtime,low,3,170,C2,3,54.0,4
fixedtime,low,3,175,B1,4,85.0,6
fixedtime,low,3,175,B2,1,11.0,3
fixedtime,low,3,175,C1,3,35.0,7
fixedtime,low,3,175,C2,3,69.0,5
fixedtime,low,3,180,B1,4,105.0,8
fixedtime,low,3,180,B2,1,16.0,2
fixedtime,low,3,180,C1,3,50.0,7
fixedtime,low,3,180,C2,3,84.0,6
fixedtime,low,3,185,B1,0,0.0,9
fixedtime,low,3,185,B2,1,4.0,3
fixedtime,low,3,185,C1,1,1.0,7
fixedtime,low,3,185,C2,0,0.0,4
fixedtime,low,3,190,B1,0,0.0,7
fixedtime,low,3,190,B2,1,9.0,3
fixedtime,low,3,190,C1,2,8.0,5
fixedtime,low,3,190,C2,1,1.0,4
fixedtime,low,3,195,B1,0,0.0,6
fixedtime,low,3,195,B2,1,14.0,4
fixedtime,low,3,195,C1,2,18.0,3
fixedtime,low,3,195,C2,1,6.0,3
fixedtime,low,3,200,B1,0,0.0,3
fixedtime,low,3,200,B2,2,20.0,6
fixedtime,low,3,200,C1,2,28.0,4
fixedtime,low,3,200,C2,1,11.0,3
fixedtime,low,3,205,B1,1,3.0,5
fixedtime,low,3,205,B2,3,34.0,7
fixedtime,low,3,205,C1,2,38.0,5
fixedtime,low,3,205,C2,1,16.0,3
fixedtime,low,3,210,B1,1,8.0,6
fixedtime,low,3,210,B2,3,49.0,7
fixedtime,low,3,210,C1,2,48.0,4
fixedtime,low,3,210,C2,3,26.0,5
