controller,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
fixedtime,medium,1,5,B1,0,0.0,0
fixedtime,medium,1,5,B2,0,0.0,0
fixedtime,medium,1,5,C1,0,0.0,0
fixedtime,medium,1,5,C2,0,0.0,0
fixedtime,medium,1,10,B1,0,0.0,0
fixedtime,medium,1,10,B2,0,0.0,1
fixedtime,medium,1,10,C1,0,0.0,0
fixedtime,medium,1,10,C2,0,0.0,1
fixedtime,medium,1,15,B1,0,0.0,0
fixedtime,medium,1,15,B2,0,0.0,1
fixedtime,medium,1,15,C1,0,0.0,1
fixedtime,medium,1,15,C2,0,0.0,1
fixedtime,medium,1,20,B1,0,0.0,1
fixedtime,medium,1,20,B2,0,0.0,1
fixedtime,medium,1,20,C1,0,0.0,2
fixedtime,medium,1,20,C2,0,0.0,1
fixedtime,medium,1,25,B1,0,0.0,3
fixedtime,medium,1,25,B2,0,0.0,2
fixedtime,medium,1,25,C1,0,0.0,4
fixedtime,medium,1,25,C2,0,0.0,2
fixedtime,medium,1,30,B1,0,0.0,5
fixedtime,medium,1,30,B2,1,2.0,2
fixedtime,medium,1,30,C1,0,0.0,4
fixedtime,medium,1,30,C2,1,5.0,2
fixedtime,medium,1,35,B1,0,0.0,5
fixedtime,medium,1,35,B2,1,7.0,3
fixedtime,medium,1,35,C1,1,4.0,4
fixedtime,medium,1,35,C2,1,10.0,3
fixedtime,medium,1,40,B1,0,0.0,3
fixedtime,medium,1,40,B2,1,12.0,3
fixedtime,medium,1,40,C1,3,17.0,7
fixedtime,medium,1,40,C2,1,15.0,3
fixedtime,medium,1,45,B1,2,6.0,4
fixedtime,medium,1,45,B2,1,17.0,6
fixedtime,medium,1,45,C1,3,32.0,7
fixedtime,medium,1,45,C2,2,22.0,4
fixedtime,medium,1,50,B1,0,0.0,3
fixedtime,medium,1,50,B2,0,0.0,7
fixedtime,medium,1,50,C1,0,0.0,6
fixedtime,medium,1,50,C2,0,0.0,3
fixedtime,medium,1,55,B1,0,0.0,7
fixedtime,medium,1,55,B2,0,0.0,7
fixedtime,medium,1,55,C1,2,6.0,5
fixedtime,medium,1,55,C2,1,5.0,4
fixedtime,medium,1,60,B1,0,0.0,6
fixedtime,medium,1,60,B2,1,1.0,6
fixedtime,medium,1,60,C1,2,16.0,8
fixedtime,medium,1,60,C2,1,10.0,4
