controller,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
ppo,high,12,5,B1,0,0.0,0
ppo,high,12,5,B2,0,0.0,0
ppo,high,12,5,C1,0,0.0,0
ppo,high,12,5,C2,0,0.0,1
ppo,high,12,10,B1,0,0.0,1
ppo,high,12,10,B2,0,0.0,1
ppo,high,12,10,C1,0,0.0,2
ppo,high,12,10,C2,0,0.0,1
ppo,high,12,15,B1,0,0.0,3
ppo,high,12,15,B2,0,0.0,1
ppo,high,12,15,C1,0,0.0,3
ppo,high,12,15,C2,0,0.0,1
ppo,high,12,20,B1,0,0.0,4
ppo,high,12,20,B2,0,0.0,4
ppo,high,12,20,C1,0,0.0,4
ppo,high,12,20,C2,1,1.0,2
ppo,high,12,25,B1,0,0.0,5
ppo,high,12,25,B2,1,2.0,6
ppo,high,12,25,C1,1,1.0,4
ppo,high,12,25,C2,1,6.0,3
ppo,high,12,30,B1,1,2.0,5
ppo,high,12,30,B2,1,7.0,6
ppo,high,12,30,C1,1,6.0,6
ppo,high,12,30,C2,1,11.0,3
ppo,high,12,35,B1,1,7.0,4
ppo,high,12,35,B2,2,13.0,7
ppo,high,12,35,C1,1,11.0,8
ppo,high,12,35,C2,1,16.0,3
ppo,high,12,40,B1,1,12.0,6
ppo,high,12,40,B2,3,27.0,6
ppo,high,12,40,C1,1,16.0,6
ppo,high,12,40,C2,2,26.0,9
ppo,high,12,45,B1,2,19.0,6
ppo,high,12,45,B2,4,45.0,8
ppo,high,12,45,C1,2,23.0,6
ppo,high,12,45,C2,3,38.0,13
ppo,high,12,50,B1,2,29.0,10
ppo,high,12,50,B2,0,0.0,7
ppo,high,12,50,C1,4,40.0,9
ppo,high,12,50,C2,0,0.0,13
ppo,high,12,55,B1,2,39.0,12
ppo,high,12,55,B2,2,2.0,10
ppo,high,12,55,C1,5,63.0,11
ppo,high,12,55,C2,2,6.0,12
ppo,high,12,60,B1,0,0.0,13
ppo,high,12,60,B2,3,16.0,9
ppo,high,12,60,C1,2,22.0,10
ppo,high,12,60,C2,5,23.0,13
ppo,high,12,65,B1,2,9.0,13
ppo,high,12,65,B2,5,34.0,12
ppo,high,12,65,C1,0,0.0,12
ppo,high,12,65,C2,2,4.0,13
ppo,high,12,70,B1,5,28.0,13
ppo,high,12,70,B2,6,62.0,15
ppo,high,12,70,C1,5,16.0,14
ppo,high,12,70,C2,4,10.0,11
ppo,high,12,75,B1,3,24.0,15
ppo,high,12,75,B2,7,97.0,18
ppo,high,12,75,C1,9,53.0,16
ppo,high,12,75,C2,7,38.0,12
ppo,high,12,80,B1,1,1.0,18
ppo,high,12,80,B2,8,134.0,18
ppo,high,12,80,C1,10,102.0,20
ppo,high,12,80,C2,8,76.0,12
ppo,high,12,85,B1,3,13.0,17
ppo,high,12,85,B2,10,180.0,22
ppo,high,12,85,C1,12,160.0,20
ppo,high,12,85,C2,8,116.0,13
ppo,high,12,90,B1,4,17.0,17
ppo,high,12,90,B2,13,240.0,22
ppo,high,12,90,C1,14,226.0,21
ppo,high,12,90,C2,9,159.0,15
ppo,high,12,95,B1,6,18.0,17
ppo,high,12,95,B2,15,311.0,23
ppo,high,12,95,C1,16,301.0,22
ppo,high,12,95,C2,11,213.0,20
ppo,high,12,100,B1,8,43.0,16
ppo,high,12,100,B2,14,220.0,24
ppo,high,12,100,C1,16,381.0,24
ppo,high,12,100,C2,11,268.0,20
ppo,high,12,105,B1,4,25.0,16
ppo,high,12,105,B2,9,54.0,26
ppo,high,12,105,C1,16,461.0,25
ppo,high,12,105,C2,13,329.0,22
ppo,high,12,110,B1,4,14.0,17
ppo,high,12,110,B2,8,41.0,26
ppo,high,12,110,C1,12,370.0,26
ppo,high,12,110,C2,12,240.0,21
ppo,high,12,115,B1,8,47.0,18
ppo,high,12,115,B2,11,76.0,26
ppo,high,12,115,C1,7,61.0,27
ppo,high,12,115,C2,7,40.0,25
ppo,high,12,120,B1,7,55.0,18
ppo,high,12,120,B2,11,125.0,26
ppo,high,12,120,C1,6,32.0,26
ppo,high,12,120,C2,3,17.0,26
ppo,high,12,125,B1,4,23.0,20
ppo,high,12,125,B2,12,164.0,30
ppo,high,12,125,C1,11,75.0,28
ppo,high,12,125,C2,4,11.0,27
ppo,high,12,130,B1,4,28.0,21
ppo,high,12,130,B2,10,125.0,31
ppo,high,12,130,C1,15,139.0,31
ppo,high,12,130,C2,9,46.0,26
ppo,high,12,135,B1,3,14.0,22
ppo,high,12,135,B2,15,168.0,31
ppo,high,12,135,C1,19,226.0,32
ppo,high,12,135,C2,14,110.0,26
ppo,high,12,140,B1,8,30.0,23
ppo,high,12,140,B2,20,255.0,30
ppo,high,12,140,C1,21,327.0,32
ppo,high,12,140,C2,21,203.0,26
ppo,high,12,145,B1,12,81.0,25
ppo,high,12,145,B2,15,172.0,29
ppo,high,12,145,C1,21,432.0,35
ppo,high,12,145,C2,21,308.0,28
ppo,high,12,150,B1,13,96.0,28
ppo,high,12,150,B2,12,59.0,28
ppo,high,12,150,C1,26,554.0,38
ppo,high,12,150,C2,22,415.0,28
ppo,high,12,155,B1,8,47.0,29
ppo,high,12,155,B2,13,97.0,30
ppo,high,12,155,C1,23,413.0,38
ppo,high,12,155,C2,24,530.0,32
ppo,high,12,160,B1,9,46.0,31
ppo,high,12,160,B2,16,172.0,32
ppo,high,12,160,C1,18,180.0,41
ppo,high,12,160,C2,25,653.0,34
ppo,high,12,165,B1,5,13.0,31
ppo,high,12,165,B2,20,267.0,33
ppo,high,12,165,C1,18,112.0,41
ppo,high,12,165,C2,27,783.0,36
ppo,high,12,170,B1,7,24.0,32
ppo,high,12,170,B2,21,370.0,31
ppo,high,12,170,C1,20,160.0,41
ppo,high,12,170,C2,27,739.0,38
ppo,high,12,175,B1,12,74.0,32
ppo,high,12,175,B2,22,441.0,34
ppo,high,12,175,C1,29,288.0,42
ppo,high,12,175,C2,23,433.0,38
ppo,high,12,180,B1,15,98.0,34
ppo,high,12,180,B2,22,508.0,34
ppo,high,12,180,C1,32,442.0,45
ppo,high,12,180,C2,20,207.0,38
ppo,high,12,185,B1,9,52.0,40
ppo,high,12,185,B2,22,605.0,35
ppo,high,12,185,C1,33,604.0,46
ppo,high,12,185,C2,18,156.0,39
ppo,high,12,190,B1,14,73.0,40
ppo,high,12,190,B2,21,531.0,36
ppo,high,12,190,C1,38,782.0,47
ppo,high,12,190,C2,18,191.0,36
ppo,high,12,195,B1,16,75.0,39
ppo,high,12,195,B2,21,262.0,35
ppo,high,12,195,C1,41,981.0,50
ppo,high,12,195,C2,18,234.0,35
ppo,high,12,200,B1,15,59.0,39
ppo,high,12,200,B2,20,173.0,34
ppo,high,12,200,C1,37,868.0,49
ppo,high,12,200,C2,21,333.0,36
ppo,high,12,205,B1,16,102.0,40
ppo,high,12,205,B2,19,188.0,34
ppo,high,12,205,C1,28,546.0,49
ppo,high,12,205,C2,22,386.0,42
ppo,high,12,210,B1,17,115.0,41
ppo,high,12,210,B2,23,296.0,35
ppo,high,12,210,C1,26,393.0,48
ppo,high,12,210,C2,19,366.0,46
ppo,high,12,215,B1,13,67.0,39
ppo,high,12,215,B2,24,413.0,36
ppo,high,12,215,C1,26,341.0,49
ppo,high,12,215,C2,19,195.0,48
ppo,high,12,220,B1,15,95.0,40
ppo,high,12,220,B2,23,473.0,37
ppo,high,12,220,C1,27,339.0,51
ppo,high,12,220,C2,13,41.0,52
ppo,high,12,225,B1,19,110.0,40
ppo,high,12,225,B2,22,509.0,35
ppo,high,12,225,C1,29,369.0,52
ppo,high,12,225,C2,19,97.0,55
ppo,high,12,230,B1,17,93.0,39
ppo,high,12,230,B2,20,601.0,37
ppo,high,12,230,C1,33,529.0,55
ppo,high,12,230,C2,27,212.0,54
ppo,high,12,235,B1,16,101.0,43
ppo,high,12,235,B2,21,527.0,37
ppo,high,12,235,C1,37,706.0,58
ppo,high,12,235,C2,36,371.0,56
ppo,high,12,240,B1,12,97.0,42
ppo,high,12,240,B2,18,262.0,36
ppo,high,12,240,C1,45,916.0,59
ppo,high,12,240,C2,45,578.0,58
ppo,high,12,245,B1,11,46.0,40
ppo,high,12,245,B2,18,138.0,40
ppo,high,12,245,C1,42,833.0,61
ppo,high,12,245,C2,46,808.0,60
ppo,high,12,250,B1,15,80.0,37
ppo,high,12,250,B2,19,159.0,44
ppo,high,12,250,C1,35,541.0,64
ppo,high,12,250,C2,51,1055.0,61
ppo,high,12,255,B1,17,89.0,37
ppo,high,12,255,B2,22,198.0,46
ppo,high,12,255,C1,39,444.0,66
ppo,high,12,255,C2,56,1324.0,60
ppo,high,12,260,B1,13,60.0,39
ppo,high,12,260,B2,22,278.0,45
ppo,high,12,260,C1,41,409.0,66
ppo,high,12,260,C2,53,1279.0,60
ppo,high,12,265,B1,15,89.0,42
ppo,high,12,265,B2,24,391.0,44
ppo,high,12,265,C1,41,394.0,66
ppo,high,12,265,C2,44,937.0,59
ppo,high,12,270,B1,16,100.0,44
ppo,high,12,270,B2,27,521.0,45
ppo,high,12,270,C1,38,474.0,64
ppo,high,12,270,C2,44,732.0,62
ppo,high,12,275,B1,20,114.0,46
ppo,high,12,275,B2,28,660.0,44
ppo,high,12,275,C1,45,683.0,64
ppo,high,12,275,C2,43,494.0,65
ppo,high,12,280,B1,25,203.0,46
ppo,high,12,280,B2,23,513.0,45
ppo,high,12,280,C1,53,935.0,63
ppo,high,12,280,C2,46,510.0,69
ppo,high,12,285,B1,23,204.0,47
ppo,high,12,285,B2,18,250.0,43
ppo,high,12,285,C1,53,1124.0,64
ppo,high,12,285,C2,53,635.0,72
ppo,high,12,290,B1,27,163.0,48
ppo,high,12,290,B2,19,159.0,42
ppo,high,12,290,C1,46,1114.0,62
ppo,high,12,290,C2,59,906.0,73
ppo,high,12,295,B1,26,187.0,47
ppo,high,12,295,B2,22,185.0,41
ppo,high,12,295,C1,41,862.0,62
ppo,high,12,295,C2,66,1229.0,76
ppo,high,12,300,B1,23,156.0,49
ppo,high,12,300,B2,25,305.0,40
ppo,high,12,300,C1,38,656.0,63
ppo,high,12,300,C2,72,1581.0,77
ppo,high,12,305,B1,22,96.0,50
ppo,high,12,305,B2,32,457.0,43
ppo,high,12,305,C1,32,453.0,61
ppo,high,12,305,C2,75,1868.0,76
ppo,high,12,310,B1,25,165.0,48
ppo,high,12,310,B2,37,631.0,46
ppo,high,12,310,C1,29,361.0,62
ppo,high,12,310,C2,70,2016.0,74
ppo,high,12,315,B1,22,143.0,48
ppo,high,12,315,B2,39,808.0,47
ppo,high,12,315,C1,33,372.0,61
ppo,high,12,315,C2,66,2193.0,77
ppo,high,12,320,B1,23,106.0,51
ppo,high,12,320,B2,37,929.0,48
ppo,high,12,320,C1,41,562.0,65
ppo,high,12,320,C2,60,2142.0,72
ppo,high,12,325,B1,23,122.0,51
ppo,high,12,325,B2,32,880.0,51
ppo,high,12,325,C1,48,789.0,69
ppo,high,12,325,C2,53,2184.0,70
ppo,high,12,330,B1,23,138.0,51
ppo,high,12,330,B2,27,608.0,51
ppo,high,12,330,C1,55,1048.0,72
