algorithm,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_C1,reward_C2
dqn,dynamic,1,360,-203.30000000000007,-129.80000000000018,-217.2,-230.20000000000016,-236.00000000000006
dqn,dynamic,2,720,-189.55000000000007,-181.30000000000004,-155.80000000000013,-244.10000000000005,-177.00000000000006
dqn,dynamic,3,1080,-192.65000000000003,-181.5,-133.00000000000006,-272.3999999999999,-183.7000000000002
dqn,dynamic,4,1440,-237.97500000000005,-176.80000000000007,-150.10000000000008,-258.2,-366.80000000000007
dqn,dynamic,5,1800,-175.92500000000004,-133.10000000000002,-139.7000000000001,-257.4999999999999,-173.4000000000002
dqn,dynamic,6,2160,-194.75000000000006,-152.60000000000014,-182.20000000000005,-257.70000000000005,-186.50000000000006
dqn,dynamic,7,2520,-223.35000000000005,-177.50000000000009,-207.60000000000005,-310.0999999999998,-198.20000000000024
dqn,dynamic,8,2880,-187.47500000000002,-163.39999999999995,-162.20000000000005,-242.50000000000014,-181.79999999999998
dqn,dynamic,9,3240,-216.50000000000006,-151.2999999999999,-152.70000000000013,-323.60000000000014,-238.40000000000003
dqn,dynamic,10,3600,-235.14999999999992,-167.7,-163.60000000000014,-280.4999999999999,-328.79999999999967
dqn,dynamic,11,3960,-199.79999999999998,-163.00000000000003,-157.3,-231.60000000000008,-247.29999999999987
dqn,dynamic,12,4320,-198.27500000000003,-126.59999999999994,-160.30000000000007,-290.30000000000007,-215.90000000000006
dqn,dynamic,13,4680,-200.3250000000001,-157.2000000000001,-157.1,-255.7000000000001,-231.30000000000013
dqn,dynamic,14,5040,-251.72499999999994,-191.79999999999998,-139.60000000000005,-317.80000000000007,-357.6999999999997
dqn,dynamic,15,5400,-175.6500000000001,-175.10000000000005,-145.6000000000002,-190.70000000000005,-191.2000000000001
dqn,dynamic,16,5760,-197.07500000000005,-189.89999999999992,-125.1000000000001,-252.40000000000003,-220.9000000000001
dqn,dynamic,17,6120,-209.0750000000001,-154.90000000000012,-127.0000000000001,-255.8000000000001,-298.6000000000001
dqn,dynamic,18,6480,-173.05,-150.30000000000007,-161.49999999999994,-162.39999999999992,-218.00000000000014
dqn,dynamic,19,6840,-169.29999999999998,-169.99999999999997,-141.89999999999998,-163.59999999999994,-201.70000000000007
dqn,dynamic,20,7200,-167.90000000000003,-142.99999999999997,-169.80000000000007,-189.59999999999997,-169.20000000000007
dqn,dynamic,21,7560,-225.85000000000002,-180.20000000000005,-166.6000000000001,-301.7000000000001,-254.89999999999986
dqn,dynamic,22,7920,-130.52500000000003,-121.40000000000006,-112.40000000000003,-142.39999999999998,-145.9000000000001
dqn,dynamic,23,8280,-187.20000000000002,-148.79999999999995,-209.79999999999998,-233.90000000000012,-156.3000000000001
dqn,dynamic,24,8640,-184.925,-156.2,-120.80000000000005,-207.4,-255.29999999999998
dqn,dynamic,25,9000,-160.82499999999996,-192.99999999999994,-147.5,-165.59999999999994,-137.19999999999993
dqn,dynamic,26,9360,-185.12500000000003,-171.40000000000006,-165.90000000000003,-210.40000000000003,-192.8000000000001
dqn,dynamic,27,9720,-839.9499999999999,-636.4000000000001,-144.10000000000008,-2404.6999999999994,-174.59999999999997
dqn,dynamic,28,10080,-177.6,-126.50000000000003,-139.50000000000003,-182.99999999999997,-261.4
dqn,dynamic,29,10440,-186.40000000000003,-148.79999999999995,-164.2999999999999,-211.00000000000003,-221.50000000000023
dqn,dynamic,30,10800,-165.85000000000002,-153.3,-130.29999999999995,-202.6000000000002,-177.2
dqn,dynamic,31,11160,-157.52500000000003,-152.4000000000001,-136.3000000000001,-163.80000000000007,-177.59999999999994
dqn,dynamic,32,11520,-168.05,-123.69999999999999,-138.10000000000002,-228.30000000000004,-182.10000000000005
dqn,dynamic,33,11880,-155.175,-145.99999999999997,-137.40000000000003,-182.70000000000002,-154.59999999999997
dqn,dynamic,34,12240,-197.20000000000005,-221.50000000000006,-165.09999999999994,-221.60000000000016,-180.60000000000008
dqn,dynamic,35,12600,-147.525,-139.49999999999994,-127.90000000000006,-135.00000000000006,-187.69999999999996
dqn,dynamic,36,12960,-151.425,-106.60000000000001,-160.70000000000007,-156.29999999999995,-182.10000000000002
dqn,dynamic,37,13320,-177.62500000000006,-164.99999999999994,-140.50000000000006,-166.19999999999993,-238.8000000000003
dqn,dynamic,38,13680,-152.05,-108.8,-159.2,-154.50000000000009,-185.7
dqn,dynamic,39,14040,-162.22500000000008,-154.3,-180.60000000000008,-142.6000000000001,-171.40000000000003
dqn,dynamic,40,14400,-141.94999999999996,-127.79999999999988,-128.29999999999998,-184.89999999999998,-126.8
dqn,dynamic,41,14760,-160.15000000000003,-152.9,-120.80000000000008,-209.40000000000006,-157.50000000000006
dqn,dynamic,42,15120,-146.0500000000001,-150.3,-145.90000000000015,-118.5,-169.5000000000002
dqn,dynamic,43,15480,-147.52500000000006,-153.60000000000014,-146.10000000000002,-160.00000000000014,-130.39999999999998
dqn,dynamic,44,15840,-148.17500000000004,-116.09999999999997,-143.00000000000003,-158.30000000000004,-175.30000000000007
dqn,dynamic,45,16200,-166.2000000000001,-159.7,-137.20000000000007,-190.29999999999998,-177.60000000000034
dqn,dynamic,46,16560,-142.92499999999995,-136.70000000000002,-139.6999999999999,-142.99999999999997,-152.3
dqn,dynamic,47,16920,-148.35000000000002,-141.20000000000005,-123.80000000000003,-161.5000000000001,-166.89999999999986
dqn,dynamic,48,17280,-138.92500000000004,-122.10000000000004,-123.50000000000006,-149.19999999999996,-160.9000000000001
dqn,dynamic,49,17640,-158.5,-129.00000000000006,-123.29999999999994,-237.40000000000003,-144.3
dqn,dynamic,50,18000,-149.95000000000002,-135.00000000000003,-154.40000000000012,-163.69999999999987,-146.70000000000005
dqn,dynamic,51,18360,-153.87500000000003,-149.89999999999992,-131.60000000000005,-169.00000000000014,-164.99999999999997
dqn,dynamic,52,18720,-127.04999999999995,-117.59999999999991,-116.09999999999994,-121.90000000000006,-152.59999999999994
dqn,dynamic,53,19080,-145.5750000000001,-131.4000000000001,-104.20000000000005,-187.40000000000012,-159.30000000000018
dqn,dynamic,54,19440,-149.8,-132.70000000000007,-126.5,-197.80000000000013,-142.19999999999987
dqn,dynamic,55,19800,-127.52500000000002,-110.80000000000007,-136.3000000000001,-124.19999999999997,-138.79999999999995
dqn,dynamic,56,20160,-156.62500000000006,-144.2,-128.70000000000002,-142.1000000000001,-211.50000000000014
dqn,dynamic,57,20520,-131.90000000000003,-120.7000000000001,-122.39999999999998,-135.2999999999999,-149.2000000000002
dqn,dynamic,58,20880,-138.07500000000002,-144.80000000000004,-117.30000000000005,-138.70000000000002,-151.49999999999997
dqn,dynamic,59,21240,-136.57500000000005,-132.40000000000003,-125.10000000000007,-157.6,-131.20000000000005
dqn,dynamic,60,21600,-156.925,-120.89999999999996,-120.79999999999995,-155.80000000000004,-230.20000000000007
dqn,dynamic,61,21960,-129.47500000000008,-132.40000000000006,-101.39999999999998,-131.70000000000005,-152.40000000000015
dqn,dynamic,62,22320,-142.12500000000009,-155.60000000000014,-114.20000000000009,-138.3,-160.40000000000012
dqn,dynamic,63,22680,-126.00000000000003,-143.80000000000004,-98.0,-133.10000000000005,-129.1
dqn,dynamic,64,23040,-139.875,-122.40000000000003,-130.8000000000001,-156.70000000000007,-149.59999999999985
dqn,dynamic,65,23400,-134.32500000000002,-112.19999999999997,-126.09999999999994,-165.8000000000001,-133.20000000000002
dqn,dynamic,66,23760,-151.6000000000001,-118.70000000000007,-163.40000000000018,-140.8000000000002,-183.49999999999997
dqn,dynamic,67,24120,-135.72500000000002,-145.40000000000003,-122.19999999999997,-116.59999999999998,-158.70000000000007
dqn,dynamic,68,24480,-128.62500000000006,-108.20000000000009,-101.89999999999999,-197.20000000000022,-107.19999999999997
dqn,dynamic,69,24840,-139.42500000000007,-134.90000000000003,-102.4000000000001,-157.50000000000006,-162.90000000000003
dqn,dynamic,70,25200,-119.90000000000002,-126.60000000000005,-109.80000000000008,-130.29999999999993,-112.90000000000005
dqn,dynamic,71,25560,-127.57500000000003,-123.20000000000003,-114.19999999999997,-157.99999999999997,-114.90000000000015
dqn,dynamic,72,25920,-137.10000000000008,-125.40000000000005,-105.80000000000017,-171.20000000000002,-146.00000000000006
dqn,dynamic,73,26280,-141.22500000000005,-139.30000000000004,-116.70000000000005,-159.8,-149.10000000000005
dqn,dynamic,74,26640,-114.99999999999997,-99.50000000000003,-119.60000000000002,-115.5999999999999,-125.29999999999997
dqn,dynamic,75,27000,-132.12500000000006,-133.10000000000002,-109.50000000000007,-132.70000000000002,-153.2000000000001
dqn,dynamic,76,27360,-140.82500000000005,-123.50000000000006,-110.70000000000009,-140.2000000000001,-188.8999999999999
dqn,dynamic,77,27720,-126.07499999999999,-132.2,-132.70000000000005,-115.79999999999997,-123.59999999999995
dqn,dynamic,78,28080,-114.97500000000002,-117.10000000000002,-99.99999999999997,-111.50000000000001,-131.30000000000004
dqn,dynamic,79,28440,-128.37500000000009,-110.69999999999997,-117.40000000000003,-147.1000000000001,-138.30000000000015
dqn,dynamic,80,28800,-129.97500000000002,-119.70000000000006,-118.1,-138.1,-144.0
dqn,dynamic,81,29160,-121.20000000000005,-109.69999999999997,-126.40000000000009,-120.5000000000001,-128.20000000000002
dqn,dynamic,82,29520,-118.19999999999999,-121.79999999999993,-107.50000000000003,-129.89999999999992,-113.60000000000005
dqn,dynamic,83,29880,-125.35,-129.9999999999999,-123.0000000000001,-103.59999999999994,-144.80000000000007
dqn,dynamic,84,30240,-111.37500000000001,-114.20000000000002,-101.89999999999998,-115.60000000000002,-113.8
dqn,dynamic,85,30600,-122.04999999999998,-134.89999999999995,-111.10000000000002,-127.69999999999995,-114.49999999999999
dqn,dynamic,86,30960,-111.625,-114.30000000000004,-114.90000000000003,-115.2999999999999,-102.00000000000001
dqn,dynamic,87,31320,-118.85000000000005,-120.80000000000007,-98.69999999999999,-116.4000000000001,-139.50000000000009
dqn,dynamic,88,31680,-116.82500000000006,-116.50000000000006,-104.40000000000006,-143.90000000000003,-102.50000000000007
dqn,dynamic,89,32040,-120.50000000000003,-114.49999999999999,-128.7,-123.9000000000001,-114.90000000000003
dqn,dynamic,90,32400,-121.12500000000001,-99.8,-115.3,-142.00000000000006,-127.40000000000005
dqn,dynamic,91,32760,-118.37500000000009,-112.5000000000001,-109.4000000000001,-129.10000000000008,-122.50000000000003
dqn,dynamic,92,33120,-111.15000000000003,-99.69999999999995,-103.30000000000004,-122.20000000000002,-119.4000000000001
dqn,dynamic,93,33480,-116.14999999999999,-109.70000000000006,-118.39999999999999,-124.79999999999995,-111.69999999999997
dqn,dynamic,94,33840,-127.04999999999995,-144.79999999999995,-98.30000000000005,-137.3999999999999,-127.69999999999996
dqn,dynamic,95,34200,-109.77500000000003,-103.7999999999999,-107.30000000000013,-117.30000000000004,-110.70000000000005
dqn,dynamic,96,34560,-105.45,-101.69999999999997,-101.1,-104.69999999999997,-114.30000000000005
dqn,dynamic,97,34920,-119.97500000000007,-137.3,-108.70000000000005,-119.10000000000011,-114.80000000000014
dqn,dynamic,98,35280,-108.12500000000003,-104.30000000000003,-129.50000000000006,-101.8,-96.90000000000003
dqn,dynamic,99,35640,-120.12500000000001,-105.50000000000001,-118.10000000000001,-116.30000000000001,-140.60000000000002
dqn,dynamic,100,36000,-101.17500000000004,-101.80000000000005,-90.30000000000014,-109.80000000000003,-102.79999999999998
dqn,dynamic,101,36360,-101.80000000000001,-106.10000000000001,-97.50000000000004,-102.80000000000008,-100.7999999999999
dqn,dynamic,102,36720,-112.45000000000002,-102.90000000000002,-131.70000000000007,-109.70000000000005,-105.49999999999993
dqn,dynamic,103,37080,-107.50000000000001,-95.69999999999999,-104.10000000000008,-115.29999999999994,-114.90000000000003
dqn,dynamic,104,37440,-112.30000000000003,-115.60000000000001,-101.60000000000007,-120.79999999999997,-111.20000000000003
dqn,dynamic,105,37800,-102.82500000000003,-96.30000000000008,-85.60000000000012,-109.39999999999992,-120.0
dqn,dynamic,106,38160,-116.72500000000002,-121.80000000000011,-122.50000000000001,-101.69999999999999,-120.89999999999998
dqn,dynamic,107,38520,-117.85000000000004,-127.50000000000011,-113.60000000000004,-130.9,-99.40000000000003
dqn,dynamic,108,38880,-113.42500000000008,-117.30000000000005,-113.70000000000009,-108.10000000000011,-114.60000000000008
dqn,dynamic,109,39240,-108.22500000000004,-118.2000000000001,-111.10000000000011,-91.39999999999993,-112.2
dqn,dynamic,110,39600,-108.87500000000003,-101.89999999999996,-127.1000000000001,-103.10000000000007,-103.39999999999999
dqn,dynamic,111,39960,-121.55000000000004,-102.70000000000002,-129.70000000000005,-147.70000000000007,-106.1
dqn,dynamic,112,40320,-113.65,-109.19999999999995,-110.8,-114.40000000000002,-120.20000000000002
dqn,dynamic,113,40680,-107.15000000000006,-108.30000000000013,-93.4,-122.90000000000003,-104.00000000000014
dqn,dynamic,114,41040,-109.25,-113.7,-91.79999999999995,-113.4,-118.1
dqn,dynamic,115,41400,-111.02500000000003,-116.6,-88.10000000000005,-136.8000000000001,-102.6
dqn,dynamic,116,41760,-114.275,-104.19999999999997,-102.80000000000001,-152.1,-98.0
dqn,dynamic,117,42120,-127.07499999999996,-131.39999999999992,-100.40000000000009,-141.3999999999999,-135.09999999999994
dqn,dynamic,118,42480,-116.92500000000004,-102.99999999999999,-129.50000000000006,-119.30000000000005,-115.90000000000005
dqn,dynamic,119,42840,-110.77500000000003,-104.20000000000005,-95.20000000000003,-138.4,-105.30000000000004
dqn,dynamic,120,43200,-112.22500000000008,-101.6000000000001,-103.79999999999998,-109.10000000000011,-134.40000000000006
dqn,dynamic,121,43560,-112.62500000000001,-118.69999999999992,-110.10000000000012,-115.30000000000004,-106.39999999999999
dqn,dynamic,122,43920,-104.25,-111.59999999999995,-91.30000000000007,-120.30000000000008,-93.7999999999999
dqn,dynamic,123,44280,-126.22500000000001,-115.59999999999997,-108.50000000000009,-176.00000000000003,-104.79999999999997
dqn,dynamic,124,44640,-114.175,-113.89999999999999,-112.39999999999995,-121.29999999999995,-109.10000000000007
dqn,dynamic,125,45000,-114.07499999999997,-108.49999999999994,-121.90000000000003,-121.60000000000005,-104.29999999999991
dqn,dynamic,126,45360,-113.05000000000008,-106.90000000000002,-111.00000000000011,-117.80000000000013,-116.50000000000006
dqn,dynamic,127,45720,-111.85,-98.00000000000009,-123.19999999999995,-120.89999999999996,-105.29999999999997
dqn,dynamic,128,46080,-119.97500000000001,-100.40000000000003,-120.60000000000011,-126.39999999999993,-132.49999999999994
dqn,dynamic,129,46440,-119.72500000000005,-125.60000000000008,-110.20000000000006,-117.29999999999998,-125.80000000000004
dqn,dynamic,130,46800,-115.75,-106.79999999999993,-114.59999999999998,-129.1,-112.50000000000009
dqn,dynamic,131,47160,-110.04999999999997,-99.3,-112.70000000000002,-111.7,-116.49999999999989
dqn,dynamic,132,47520,-112.25000000000006,-101.10000000000004,-117.50000000000018,-118.30000000000004,-112.09999999999995
dqn,dynamic,133,47880,-119.67500000000001,-112.80000000000001,-120.10000000000005,-137.79999999999995,-108.0
dqn,dynamic,134,48240,-113.69999999999996,-92.69999999999999,-117.70000000000002,-142.19999999999987,-102.1999999999999
dqn,dynamic,135,48600,-103.80000000000003,-101.60000000000004,-91.40000000000008,-118.59999999999997,-103.60000000000001
dqn,dynamic,136,48960,-106.55,-106.1,-105.9000000000001,-107.39999999999993,-106.79999999999994
dqn,dynamic,137,49320,-119.17500000000001,-116.59999999999998,-104.60000000000005,-137.40000000000003,-118.09999999999997
dqn,dynamic,138,49680,-124.90000000000002,-132.60000000000002,-137.90000000000006,-117.7,-111.39999999999998
