algorithm,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_C1,reward_C2
dqn,high,1,360,-11632.349999999986,-9425.200000000003,-10693.699999999986,-14886.699999999986,-11523.799999999965
dqn,high,2,720,-11208.699999999997,-11235.900000000007,-14281.899999999983,-10513.10000000001,-8803.899999999994
dqn,high,3,1080,-10199.650000000007,-11877.799999999997,-8154.800000000023,-11432.000000000015,-9333.99999999999
dqn,high,4,1440,-10206.575000000006,-9974.299999999987,-5649.300000000011,-11868.900000000034,-13333.799999999994
dqn,high,5,1800,-11485.074999999997,-11371.499999999987,-11843.000000000018,-10874.599999999993,-11851.199999999986
dqn,high,6,2160,-11529.799999999992,-14305.299999999988,-9909.000000000013,-11111.299999999981,-10793.599999999988
dqn,high,7,2520,-9546.799999999996,-6802.900000000027,-8953.800000000003,-11199.59999999999,-11230.899999999967
dqn,high,8,2880,-9901.10000000001,-8927.400000000012,-10207.700000000008,-9160.000000000005,-11309.300000000012
dqn,high,9,3240,-10401.524999999983,-8912.800000000007,-11632.099999999968,-11539.999999999978,-9521.19999999998
dqn,high,10,3600,-9659.625000000004,-8536.100000000022,-11057.90000000001,-9663.900000000005,-9380.599999999979
dqn,high,11,3960,-10643.050000000003,-9039.599999999993,-8784.000000000005,-12174.600000000026,-12573.999999999984
dqn,high,12,4320,-9032.82499999999,-9840.299999999976,-7745.999999999987,-9590.199999999997,-8954.799999999996
dqn,high,13,4680,-10698.575000000004,-10130.099999999986,-10229.000000000005,-9494.300000000008,-12940.900000000014
dqn,high,14,5040,-12889.299999999994,-12396.19999999999,-13614.799999999983,-11591.299999999994,-13954.900000000009
dqn,high,15,5400,-8518.749999999993,-7914.2999999999865,-11260.599999999988,-7519.8999999999905,-7380.200000000006
dqn,high,16,5760,-8884.875000000004,-9274.899999999987,-8064.3,-8263.800000000017,-9936.500000000011
dqn,high,17,6120,-10829.225,-10443.600000000015,-15244.999999999987,-8009.200000000009,-9619.09999999999
dqn,high,18,6480,-7461.850000000002,-7571.899999999991,-5829.099999999998,-6546.499999999996,-9899.900000000025
dqn,high,19,6840,-8118.900000000004,-9092.200000000004,-6288.399999999995,-9603.400000000007,-7491.6000000000095
dqn,high,20,7200,-9416.225000000002,-11934.300000000014,-10164.59999999999,-7725.200000000004,-7840.800000000004
dqn,high,21,7560,-10939.400000000012,-10750.9,-9482.0,-11926.700000000008,-11598.00000000004
dqn,high,22,7920,-8841.324999999997,-10161.400000000007,-9151.899999999983,-7768.200000000015,-8283.799999999981
dqn,high,23,8280,-10826.850000000013,-10188.599999999995,-9308.70000000003,-13173.500000000044,-10636.599999999984
