algorithm,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_C1,reward_C2
dqn,medium,1,360,-273.42499999999995,-302.20000000000005,-299.7000000000001,-281.3999999999999,-210.39999999999998
dqn,medium,2,720,-252.6749999999999,-290.3999999999999,-262.3999999999999,-276.29999999999967,-181.60000000000008
dqn,medium,3,1080,-265.675,-292.20000000000005,-245.6000000000001,-302.90000000000015,-221.99999999999983
dqn,medium,4,1440,-279.29999999999995,-243.9,-261.8,-282.2999999999997,-329.2000000000001
dqn,medium,5,1800,-278.3250000000001,-263.6000000000001,-318.7000000000002,-312.3000000000001,-218.70000000000005
dqn,medium,6,2160,-225.72500000000005,-265.5999999999999,-224.10000000000014,-234.20000000000016,-179.00000000000003
dqn,medium,7,2520,-245.47500000000008,-205.80000000000015,-255.20000000000007,-290.9000000000001,-229.99999999999997
dqn,medium,8,2880,-259.07499999999993,-256.4999999999999,-252.80000000000013,-267.5999999999999,-259.3999999999999
dqn,medium,9,3240,-274.22499999999997,-281.59999999999985,-262.70000000000005,-281.7999999999998,-270.8000000000001
dqn,medium,10,3600,-236.7250000000001,-289.3000000000002,-185.39999999999992,-306.7000000000001,-165.50000000000023
dqn,medium,11,3960,-246.82500000000005,-246.8000000000001,-214.40000000000018,-369.5999999999998,-156.50000000000006
dqn,medium,12,4320,-232.90000000000003,-238.09999999999997,-161.10000000000014,-307.69999999999993,-224.7000000000001
dqn,medium,13,4680,-232.95000000000005,-266.90000000000003,-205.5000000000002,-282.69999999999993,-176.70000000000005
dqn,medium,14,5040,-265.84999999999997,-250.00000000000014,-267.70000000000016,-352.09999999999974,-193.5999999999999
dqn,medium,15,5400,-251.52499999999998,-287.09999999999985,-194.00000000000006,-289.79999999999984,-235.2000000000001
dqn,medium,16,5760,-237.89999999999995,-240.89999999999992,-259.09999999999997,-279.9,-171.69999999999993
dqn,medium,17,6120,-232.2,-202.79999999999987,-209.50000000000009,-283.09999999999997,-233.40000000000015
dqn,medium,18,6480,-218.45000000000005,-218.80000000000004,-215.60000000000014,-247.70000000000007,-191.69999999999996
dqn,medium,19,6840,-238.05,-253.99999999999994,-229.40000000000015,-275.69999999999993,-193.10000000000005
dqn,medium,20,7200,-225.42500000000004,-327.8000000000001,-170.4,-251.4,-152.10000000000005
dqn,medium,21,7560,-236.69999999999993,-236.3,-225.99999999999983,-308.8999999999997,-175.6000000000001
dqn,medium,22,7920,-252.32499999999996,-299.0999999999999,-195.59999999999982,-333.40000000000003,-181.2000000000002
dqn,medium,23,8280,-206.22500000000002,-187.9,-231.79999999999993,-250.50000000000006,-154.70000000000005
