algorithm,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_C1,reward_C2
ppo,dynamic,1,360,-203.27499999999998,-155.99999999999997,-147.8000000000001,-186.19999999999993,-323.09999999999985
ppo,dynamic,2,720,-206.42499999999998,-217.10000000000008,-118.50000000000003,-285.59999999999997,-204.4999999999999
ppo,dynamic,3,1080,-144.95000000000005,-133.10000000000002,-105.59999999999998,-178.60000000000002,-162.50000000000023
ppo,dynamic,4,1440,-150.32500000000013,-133.90000000000003,-100.80000000000013,-183.30000000000004,-183.30000000000027
ppo,dynamic,5,1800,-148.87500000000006,-121.09999999999992,-155.1000000000001,-163.10000000000008,-156.20000000000013
ppo,dynamic,6,2160,-150.97500000000008,-136.90000000000003,-120.10000000000008,-185.9000000000001,-161.0000000000001
ppo,dynamic,7,2520,-156.37500000000006,-134.10000000000014,-126.80000000000003,-197.30000000000013,-167.3
ppo,dynamic,8,2880,-133.4750000000001,-119.3,-110.20000000000005,-157.2000000000002,-147.20000000000013
ppo,dynamic,9,3240,-141.25000000000009,-98.10000000000005,-115.60000000000011,-214.80000000000015,-136.50000000000003
ppo,dynamic,10,3600,-145.02500000000003,-146.1000000000001,-127.99999999999994,-162.49999999999997,-143.50000000000014
ppo,dynamic,11,3960,-168.84999999999997,-162.09999999999985,-126.6000000000001,-208.80000000000004,-177.8999999999999
ppo,dynamic,12,4320,-163.24999999999997,-156.79999999999998,-118.4,-202.89999999999992,-174.89999999999998
ppo,dynamic,13,4680,-148.70000000000007,-115.90000000000009,-129.50000000000009,-205.8000000000001,-143.60000000000002
ppo,dynamic,14,5040,-164.175,-146.89999999999995,-140.60000000000008,-201.60000000000002,-167.60000000000002
ppo,dynamic,15,5400,-159.92500000000004,-151.7,-143.60000000000016,-204.39999999999998,-140.00000000000003
ppo,dynamic,16,5760,-142.8,-107.2000000000001,-128.49999999999991,-184.6,-150.90000000000006
ppo,dynamic,17,6120,-157.32500000000005,-124.20000000000006,-135.10000000000005,-162.1000000000001,-207.90000000000003
ppo,dynamic,18,6480,-151.9750000000001,-143.50000000000014,-120.10000000000004,-163.5000000000001,-180.8000000000001
ppo,dynamic,19,6840,-145.95000000000007,-129.9,-113.20000000000009,-166.10000000000005,-174.60000000000014
ppo,dynamic,20,7200,-157.42500000000007,-126.40000000000002,-120.00000000000006,-201.90000000000006,-181.40000000000003
ppo,dynamic,21,7560,-157.15,-121.00000000000004,-119.90000000000003,-184.50000000000003,-203.1999999999999
ppo,dynamic,22,7920,-154.92500000000007,-118.00000000000007,-137.30000000000013,-183.19999999999996,-181.2000000000001
ppo,dynamic,23,8280,-159.2750000000001,-126.40000000000003,-122.60000000000002,-213.90000000000003,-174.20000000000024
ppo,dynamic,24,8640,-156.82500000000005,-138.5,-123.10000000000014,-194.59999999999997,-171.10000000000002
ppo,dynamic,25,9000,-144.05,-125.59999999999998,-107.49999999999999,-179.2000000000001,-163.89999999999995
ppo,dynamic,26,9360,-159.775,-126.49999999999997,-112.70000000000012,-205.30000000000007,-194.59999999999988
ppo,dynamic,27,9720,-146.85000000000005,-112.89999999999996,-127.6000000000001,-180.30000000000013,-166.60000000000005
ppo,dynamic,28,10080,-142.77500000000006,-97.50000000000004,-104.40000000000006,-180.7,-188.5000000000002
ppo,dynamic,29,10440,-154.525,-133.60000000000008,-134.10000000000005,-176.29999999999984,-174.1
ppo,dynamic,30,10800,-144.65000000000012,-120.70000000000006,-132.0000000000001,-204.5000000000002,-121.40000000000006
ppo,dynamic,31,11160,-173.95000000000005,-119.39999999999996,-118.20000000000002,-194.70000000000007,-263.50000000000017
ppo,dynamic,32,11520,-142.675,-126.8000000000001,-135.40000000000006,-176.29999999999998,-132.2
ppo,dynamic,33,11880,-161.25000000000003,-120.59999999999994,-132.20000000000005,-177.89999999999998,-214.30000000000018
ppo,dynamic,34,12240,-158.02500000000003,-124.79999999999998,-104.0000000000001,-200.90000000000015,-202.39999999999986
ppo,dynamic,35,12600,-155.05,-108.4,-120.1,-143.90000000000006,-247.8
ppo,dynamic,36,12960,-170.72500000000008,-120.80000000000004,-112.70000000000013,-187.29999999999995,-262.10000000000014
ppo,dynamic,37,13320,-166.6,-129.00000000000006,-144.5,-168.6000000000001,-224.29999999999984
ppo,dynamic,38,13680,-152.87500000000006,-130.00000000000003,-124.39999999999998,-157.90000000000018,-199.20000000000002
ppo,dynamic,39,14040,-161.50000000000006,-137.39999999999998,-124.20000000000009,-195.2000000000001,-189.20000000000005
ppo,dynamic,40,14400,-164.85000000000002,-102.30000000000001,-139.00000000000009,-210.80000000000004,-207.3
ppo,dynamic,41,14760,-166.20000000000005,-123.50000000000017,-141.70000000000002,-190.40000000000018,-209.19999999999985
ppo,dynamic,42,15120,-172.97500000000008,-131.7000000000001,-146.40000000000015,-192.20000000000002,-221.60000000000008
ppo,dynamic,43,15480,-160.97500000000008,-113.19999999999995,-122.7000000000001,-187.0,-221.00000000000023
ppo,dynamic,44,15840,-160.30000000000007,-133.39999999999998,-134.5,-178.59999999999994,-194.70000000000033
ppo,dynamic,45,16200,-170.32500000000005,-143.2,-126.69999999999993,-166.9000000000001,-244.5000000000002
ppo,dynamic,46,16560,-161.97499999999997,-130.29999999999993,-141.20000000000002,-179.8,-196.59999999999994
ppo,dynamic,47,16920,-151.62500000000006,-135.60000000000002,-109.60000000000005,-197.79999999999998,-163.5000000000002
ppo,dynamic,48,17280,-156.07500000000005,-114.30000000000003,-138.50000000000003,-186.89999999999998,-184.6000000000001
ppo,dynamic,49,17640,-159.22500000000014,-127.7000000000002,-139.50000000000017,-178.60000000000008,-191.10000000000005
ppo,dynamic,50,18000,-164.725,-131.89999999999998,-146.20000000000005,-180.99999999999997,-199.79999999999993
ppo,dynamic,51,18360,-162.8000000000001,-110.90000000000009,-156.60000000000002,-186.2000000000001,-197.5000000000002
ppo,dynamic,52,18720,-173.25,-135.40000000000003,-145.49999999999994,-222.1999999999999,-189.90000000000003
ppo,dynamic,53,19080,-159.3250000000001,-111.4,-142.39999999999998,-173.00000000000003,-210.50000000000043
ppo,dynamic,54,19440,-147.82499999999993,-112.4999999999999,-127.1,-178.99999999999983,-172.69999999999996
ppo,dynamic,55,19800,-182.925,-155.49999999999991,-136.8000000000001,-229.20000000000016,-210.1999999999998
ppo,dynamic,56,20160,-182.925,-155.49999999999991,-136.8000000000001,-229.20000000000016,-210.1999999999998
ppo,dynamic,57,20520,-167.8500000000001,-120.30000000000013,-114.40000000000006,-172.70000000000022,-264.0
ppo,dynamic,58,20880,-167.25000000000014,-142.29999999999998,-139.0000000000001,-182.5000000000001,-205.2000000000004
ppo,dynamic,59,21240,-167.125,-127.39999999999986,-134.2,-194.7000000000002,-212.19999999999987
ppo,dynamic,60,21600,-170.97500000000005,-120.50000000000007,-123.60000000000008,-239.29999999999984,-200.5000000000002
ppo,dynamic,61,21960,-149.15,-118.59999999999998,-136.60000000000005,-177.39999999999995,-163.99999999999997
ppo,dynamic,62,22320,-162.12500000000006,-122.09999999999991,-134.80000000000013,-204.19999999999996,-187.40000000000018
ppo,dynamic,63,22680,-151.90000000000003,-127.5000000000001,-116.50000000000001,-171.6999999999999,-191.90000000000015
ppo,dynamic,64,23040,-154.67500000000007,-113.39999999999995,-133.80000000000007,-156.40000000000018,-215.1000000000001
ppo,dynamic,65,23400,-173.52500000000003,-135.09999999999994,-134.40000000000006,-207.50000000000023,-217.09999999999997
ppo,dynamic,66,23760,-153.72500000000005,-113.60000000000008,-123.10000000000001,-217.29999999999993,-160.90000000000018
ppo,dynamic,67,24120,-182.925,-155.49999999999991,-136.8000000000001,-229.20000000000016,-210.1999999999998
ppo,dynamic,68,24480,-165.025,-116.60000000000001,-133.30000000000004,-209.00000000000003,-201.1999999999999
ppo,dynamic,69,24840,-168.45000000000005,-148.6999999999999,-139.49999999999994,-175.8000000000002,-209.80000000000024
ppo,dynamic,70,25200,-162.0,-121.50000000000003,-139.1,-199.80000000000007,-187.59999999999994
ppo,dynamic,71,25560,-158.62500000000006,-128.5000000000001,-139.60000000000002,-195.5,-170.90000000000003
ppo,dynamic,72,25920,-160.27499999999998,-149.50000000000006,-110.89999999999998,-171.09999999999994,-209.59999999999994
ppo,dynamic,73,26280,-163.52500000000003,-124.30000000000004,-150.60000000000002,-165.20000000000002,-213.99999999999997
ppo,dynamic,74,26640,-163.925,-116.59999999999994,-147.4000000000001,-223.29999999999995,-168.40000000000006
ppo,dynamic,75,27000,-164.275,-113.19999999999993,-152.2000000000001,-188.39999999999998,-203.29999999999998
ppo,dynamic,76,27360,-174.92500000000007,-135.69999999999993,-137.50000000000006,-209.10000000000005,-217.40000000000026
ppo,dynamic,77,27720,-157.5250000000001,-112.60000000000001,-142.40000000000003,-196.4000000000001,-178.70000000000016
ppo,dynamic,78,28080,-176.7,-136.3999999999999,-156.00000000000009,-192.5999999999999,-221.80000000000004
ppo,dynamic,79,28440,-174.82500000000005,-142.79999999999995,-134.60000000000008,-221.40000000000006,-200.5000000000001
ppo,dynamic,80,28800,-164.70000000000005,-112.8,-139.20000000000007,-198.70000000000016,-208.09999999999997
ppo,dynamic,81,29160,-177.62500000000006,-117.59999999999994,-138.60000000000008,-225.8000000000001,-228.50000000000014
ppo,dynamic,82,29520,-165.27499999999998,-139.79999999999998,-158.89999999999995,-185.80000000000007,-176.59999999999988
ppo,dynamic,83,29880,-153.1500000000001,-116.80000000000001,-137.89999999999998,-184.10000000000005,-173.80000000000027
ppo,dynamic,84,30240,-147.65000000000006,-105.80000000000004,-141.90000000000003,-194.4,-148.50000000000014
ppo,dynamic,85,30600,-136.95,-122.09999999999997,-134.20000000000007,-142.10000000000005,-149.39999999999984
ppo,dynamic,86,30960,-146.10000000000016,-118.50000000000001,-132.5,-140.10000000000022,-193.30000000000044
ppo,dynamic,87,31320,-175.87500000000006,-112.50000000000007,-140.60000000000008,-200.19999999999996,-250.20000000000013
ppo,dynamic,88,31680,-146.87500000000003,-109.60000000000004,-129.50000000000006,-190.50000000000006,-157.9
ppo,dynamic,89,32040,-157.42500000000007,-123.2000000000001,-122.4000000000001,-159.8,-224.30000000000004
ppo,dynamic,90,32400,-150.5750000000001,-119.99999999999999,-156.20000000000013,-160.8,-165.30000000000035
ppo,dynamic,91,32760,-161.3250000000001,-138.2,-132.70000000000005,-191.50000000000003,-182.9000000000003
ppo,dynamic,92,33120,-157.57499999999993,-112.19999999999993,-134.6,-198.1999999999999,-185.2999999999999
ppo,dynamic,93,33480,-160.05000000000013,-110.2,-139.9000000000002,-184.7,-205.40000000000026
ppo,dynamic,94,33840,-157.8000000000001,-120.39999999999995,-139.40000000000012,-197.99999999999997,-173.4000000000003
ppo,dynamic,95,34200,-157.35,-119.59999999999982,-140.40000000000003,-198.5,-170.9000000000001
ppo,dynamic,96,34560,-155.925,-108.80000000000001,-171.60000000000005,-183.09999999999988,-160.20000000000007
ppo,dynamic,97,34920,-157.85000000000005,-143.79999999999998,-135.70000000000016,-169.39999999999992,-182.50000000000014
