algorithm,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_C1,reward_C2
ppo,high,1,360,-7989.600000000004,-9542.700000000012,-7274.90000000001,-8406.299999999983,-6734.500000000015
ppo,high,2,720,-10929.200000000004,-11009.400000000005,-13012.000000000002,-6678.100000000001,-13017.300000000003
ppo,high,3,1080,-10145.325000000019,-9032.700000000039,-12253.100000000028,-10284.999999999982,-9010.50000000003
ppo,high,4,1440,-11213.600000000002,-11082.299999999997,-12027.70000000003,-10404.899999999985,-11339.499999999993
ppo,high,5,1800,-8754.100000000004,-10501.90000000002,-9378.599999999991,-8107.699999999996,-7028.200000000009
ppo,high,6,2160,-10482.024999999994,-11636.099999999977,-8663.399999999985,-13162.099999999997,-8466.500000000015
ppo,high,7,2520,-10339.800000000003,-10993.20000000001,-9601.399999999987,-10272.600000000026,-10491.999999999982
ppo,high,8,2880,-8537.074999999999,-10247.199999999999,-8839.799999999985,-6540.900000000017,-8520.399999999996
ppo,high,9,3240,-12174.14999999999,-6242.1999999999925,-14743.400000000005,-14971.999999999964,-12739.0
ppo,high,10,3600,-11672.050000000005,-14045.200000000008,-10936.700000000006,-9803.500000000016,-11902.799999999988
ppo,high,11,3960,-9645.625000000015,-5976.600000000035,-9468.60000000002,-12888.499999999987,-10248.80000000002
ppo,high,12,4320,-10536.724999999988,-9853.899999999996,-10685.099999999977,-12066.599999999995,-9541.299999999988
ppo,high,13,4680,-10211.399999999994,-6727.199999999997,-9379.600000000006,-14370.799999999977,-10367.999999999995
ppo,high,14,5040,-10755.799999999988,-8243.499999999976,-12048.299999999974,-11516.900000000003,-11214.499999999996
ppo,high,15,5400,-11099.875,-8134.200000000001,-8819.599999999986,-12475.300000000003,-14970.40000000001
ppo,high,16,5760,-13473.99999999999,-15071.699999999986,-11725.699999999977,-15981.000000000002,-11117.599999999999
ppo,high,17,6120,-10430.324999999986,-8390.799999999987,-11180.79999999997,-12722.900000000003,-9426.799999999992
ppo,high,18,6480,-7984.675000000004,-7437.799999999997,-6266.399999999971,-10116.700000000012,-8117.800000000035
ppo,high,19,6840,-9127.175,-9202.699999999988,-8142.9000000000215,-9320.799999999981,-9842.30000000001
ppo,high,20,7200,-9753.399999999974,-6385.899999999919,-7333.9,-16456.499999999985,-8837.299999999992
ppo,high,21,7560,-10344.125000000002,-8750.799999999988,-12804.40000000001,-9109.400000000001,-10711.900000000007
ppo,high,22,7920,-10182.900000000012,-12431.700000000032,-10172.300000000012,-9890.099999999999,-8237.500000000004
ppo,high,23,8280,-8972.350000000002,-8279.799999999981,-5944.999999999985,-14590.300000000027,-7074.300000000019
ppo,high,24,8640,-11077.575000000012,-9220.200000000026,-8388.400000000001,-18321.39999999999,-8380.300000000034
ppo,high,25,9000,-8565.150000000014,-8883.800000000005,-7951.200000000011,-7026.900000000012,-10398.700000000032
ppo,high,26,9360,-11264.224999999997,-10907.199999999995,-8330.300000000001,-13839.999999999987,-11979.400000000001
ppo,high,27,9720,-10121.774999999998,-7036.400000000015,-10035.899999999994,-8409.100000000006,-15005.699999999972
ppo,high,28,10080,-8839.375000000002,-7633.799999999984,-10794.500000000027,-7491.700000000004,-9437.499999999993
ppo,high,29,10440,-11072.824999999993,-6141.199999999987,-8794.700000000015,-14443.999999999975,-14911.399999999994
ppo,high,30,10800,-11265.475000000006,-11740.400000000009,-5873.900000000021,-11757.4,-15690.199999999993
ppo,high,31,11160,-11002.899999999996,-13964.19999999998,-11816.300000000028,-9021.90000000001,-9209.19999999997
ppo,high,32,11520,-9197.925000000007,-8032.100000000014,-7716.200000000006,-9943.600000000028,-11099.799999999976
ppo,high,33,11880,-11207.600000000004,-10866.400000000014,-7827.1000000000095,-17022.5,-9114.399999999992
ppo,high,34,12240,-9979.449999999997,-9783.299999999996,-9671.000000000015,-14361.49999999998,-6102.000000000003
ppo,high,35,12600,-9775.424999999994,-9226.29999999997,-8791.299999999988,-11654.40000000003,-9429.699999999988
ppo,high,36,12960,-10509.275000000005,-10536.700000000004,-11640.00000000001,-9914.400000000007,-9945.999999999996
ppo,high,37,13320,-10758.975000000004,-10614.000000000004,-10571.20000000002,-10013.9,-11836.79999999999
ppo,high,38,13680,-9511.049999999992,-8991.200000000006,-9189.899999999985,-8261.399999999976,-11601.699999999999
ppo,high,39,14040,-12135.149999999981,-12100.699999999973,-11269.799999999988,-9318.399999999987,-15851.699999999977
ppo,high,40,14400,-10084.549999999992,-9333.299999999988,-11731.999999999993,-9966.299999999992,-9306.599999999991
ppo,high,41,14760,-11173.999999999985,-9523.600000000013,-11914.59999999998,-13453.499999999953,-9804.299999999997
ppo,high,42,15120,-12464.675000000007,-9863.400000000018,-13781.000000000004,-15741.800000000007,-10472.499999999996
ppo,high,43,15480,-12390.124999999989,-12633.399999999969,-13746.500000000007,-12879.499999999998,-10301.099999999986
ppo,high,44,15840,-10902.875000000004,-11435.599999999997,-9637.29999999999,-13635.30000000002,-8903.30000000001
ppo,high,45,16200,-8698.224999999988,-7431.699999999979,-8887.399999999985,-7333.900000000001,-11139.899999999985
ppo,high,46,16560,-8278.525000000005,-9491.4,-9812.89999999998,-6135.90000000004,-7673.900000000005
ppo,high,47,16920,-14025.000000000015,-13705.80000000002,-14498.300000000027,-17153.900000000027,-10741.999999999987
ppo,high,48,17280,-10212.375000000002,-6238.29999999999,-11163.000000000018,-14082.49999999998,-9365.700000000017
ppo,high,49,17640,-10525.050000000007,-7842.4000000000015,-9802.199999999984,-12796.100000000028,-11659.500000000013
ppo,high,50,18000,-11163.67500000001,-12895.599999999991,-10902.300000000028,-7875.800000000034,-12980.999999999989
ppo,high,51,18360,-12256.224999999984,-9115.900000000003,-14774.099999999953,-13434.400000000007,-11700.499999999967
ppo,high,52,18720,-10307.800000000001,-10303.800000000005,-8977.800000000007,-12145.99999999998,-9803.600000000011
ppo,high,53,19080,-12076.749999999996,-10704.000000000015,-10877.800000000003,-16125.599999999986,-10599.599999999984
