algorithm,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_C1,reward_C2
ppo,medium,1,360,-292.9249999999999,-294.5999999999999,-249.99999999999986,-330.2999999999996,-296.8000000000001
ppo,medium,2,720,-255.09999999999997,-235.69999999999996,-205.7999999999999,-329.09999999999974,-249.80000000000015
ppo,medium,3,1080,-225.30000000000013,-213.5000000000001,-246.1,-247.40000000000018,-194.20000000000022
ppo,medium,4,1440,-207.00000000000006,-226.79999999999998,-180.5000000000001,-260.7000000000001,-159.99999999999997
ppo,medium,5,1800,-186.77500000000003,-225.90000000000003,-173.30000000000007,-217.99999999999997,-129.9000000000001
ppo,medium,6,2160,-189.40000000000003,-229.60000000000014,-168.99999999999994,-223.5,-135.49999999999997
ppo,medium,7,2520,-184.4,-166.3,-183.0,-238.6,-149.70000000000002
ppo,medium,8,2880,-175.05000000000004,-193.50000000000003,-161.6000000000001,-236.99999999999994,-108.10000000000005
ppo,medium,9,3240,-173.25,-150.9,-127.10000000000004,-279.70000000000005,-135.29999999999998
ppo,medium,10,3600,-185.27500000000015,-193.10000000000025,-196.60000000000025,-200.00000000000003,-151.40000000000006
ppo,medium,11,3960,-159.95000000000005,-171.50000000000003,-143.89999999999998,-201.80000000000007,-122.60000000000008
ppo,medium,12,4320,-189.29999999999995,-157.80000000000004,-145.4000000000001,-319.5999999999997,-134.4
ppo,medium,13,4680,-175.25,-159.70000000000002,-185.10000000000008,-214.80000000000013,-141.3999999999999
ppo,medium,14,5040,-189.17499999999998,-157.0,-149.5,-302.5000000000001,-147.69999999999985
ppo,medium,15,5400,-184.60000000000014,-167.00000000000014,-192.89999999999998,-230.60000000000022,-147.90000000000015
ppo,medium,16,5760,-173.975,-214.7,-161.39999999999986,-188.0,-131.80000000000007
ppo,medium,17,6120,-170.55000000000004,-172.20000000000005,-186.49999999999997,-218.4000000000001,-105.10000000000007
ppo,medium,18,6480,-172.45000000000007,-163.00000000000014,-160.80000000000007,-217.2999999999999,-148.70000000000013
ppo,medium,19,6840,-174.95000000000005,-173.40000000000003,-142.4,-228.99999999999974,-155.00000000000028
ppo,medium,20,7200,-177.275,-152.19999999999996,-168.70000000000005,-257.29999999999995,-130.90000000000006
ppo,medium,21,7560,-184.75,-195.20000000000024,-157.09999999999982,-230.99999999999986,-155.7000000000001
ppo,medium,22,7920,-167.25,-169.49999999999997,-162.20000000000002,-185.90000000000006,-151.40000000000003
ppo,medium,23,8280,-169.2250000000001,-180.8000000000003,-167.3,-200.20000000000007,-128.60000000000005
ppo,medium,24,8640,-191.65000000000015,-175.00000000000006,-210.50000000000026,-225.90000000000015,-155.20000000000002
ppo,medium,25,9000,-186.37500000000009,-170.9000000000001,-183.29999999999998,-248.80000000000013,-142.5000000000001
ppo,medium,26,9360,-174.6250000000001,-177.10000000000016,-162.49999999999997,-228.70000000000016,-130.20000000000016
ppo,medium,27,9720,-162.75,-159.09999999999997,-158.99999999999983,-201.10000000000005,-131.80000000000013
ppo,medium,28,10080,-194.55,-171.40000000000015,-229.50000000000009,-220.49999999999994,-156.79999999999998
ppo,medium,29,10440,-198.67499999999998,-194.4,-205.2,-241.1999999999998,-153.90000000000006
ppo,medium,30,10800,-171.32500000000002,-162.5,-201.60000000000002,-176.99999999999997,-144.20000000000002
ppo,medium,31,11160,-206.9,-183.7,-230.60000000000005,-295.79999999999984,-117.5000000000001
ppo,medium,32,11520,-188.425,-192.99999999999977,-166.70000000000016,-201.1,-192.90000000000015
ppo,medium,33,11880,-173.15000000000003,-132.90000000000012,-196.9999999999998,-210.70000000000027,-152.00000000000006
ppo,medium,34,12240,-153.32500000000007,-160.00000000000017,-157.09999999999997,-170.6,-125.60000000000014
ppo,medium,35,12600,-178.19999999999996,-163.5999999999999,-174.39999999999992,-212.40000000000003,-162.39999999999995
ppo,medium,36,12960,-167.87500000000009,-185.4999999999999,-169.90000000000015,-205.00000000000028,-111.10000000000001
ppo,medium,37,13320,-171.25000000000003,-167.1,-172.99999999999994,-224.10000000000008,-120.80000000000004
ppo,medium,38,13680,-183.25000000000003,-179.6000000000001,-153.69999999999996,-240.2,-159.50000000000009
ppo,medium,39,14040,-175.12500000000009,-168.40000000000003,-179.7000000000002,-208.60000000000005,-143.8000000000001
ppo,medium,40,14400,-185.25,-204.30000000000004,-184.69999999999976,-225.7000000000002,-126.30000000000005
ppo,medium,41,14760,-176.22500000000005,-173.1,-187.00000000000014,-186.89999999999995,-157.9000000000001
ppo,medium,42,15120,-174.92499999999998,-164.49999999999997,-166.99999999999994,-223.0,-145.20000000000005
ppo,medium,43,15480,-192.47499999999997,-165.20000000000016,-186.59999999999997,-266.79999999999984,-151.29999999999995
ppo,medium,44,15840,-182.95000000000005,-203.50000000000023,-175.29999999999995,-204.20000000000007,-148.79999999999995
ppo,medium,45,16200,-181.9750000000001,-166.70000000000007,-220.6000000000002,-208.8,-131.8000000000001
ppo,medium,46,16560,-170.325,-183.29999999999995,-150.70000000000005,-200.49999999999997,-146.79999999999998
ppo,medium,47,16920,-178.75000000000006,-169.90000000000006,-179.00000000000014,-211.6,-154.50000000000006
ppo,medium,48,17280,-188.50000000000003,-177.19999999999987,-193.80000000000013,-237.0,-146.00000000000014
ppo,medium,49,17640,-185.4000000000001,-181.79999999999998,-183.60000000000014,-217.90000000000012,-158.30000000000018
ppo,medium,50,18000,-170.65000000000003,-156.3,-181.70000000000005,-210.29999999999998,-134.30000000000013
ppo,medium,51,18360,-182.40000000000003,-192.6999999999999,-164.00000000000006,-234.00000000000009,-138.90000000000006
ppo,medium,52,18720,-181.75000000000003,-180.50000000000003,-174.80000000000007,-234.69999999999993,-137.00000000000009
ppo,medium,53,19080,-177.12500000000006,-159.9000000000001,-172.3,-220.40000000000003,-155.90000000000012
ppo,medium,54,19440,-181.20000000000005,-205.70000000000013,-185.20000000000002,-202.39999999999998,-131.50000000000006
ppo,medium,55,19800,-172.6000000000001,-199.20000000000002,-160.99999999999997,-192.30000000000032,-137.90000000000006
ppo,medium,56,20160,-171.8500000000001,-186.10000000000005,-168.7,-201.10000000000025,-131.5000000000001
ppo,medium,57,20520,-170.7250000000001,-156.9,-153.8000000000001,-240.8000000000003,-131.39999999999998
ppo,medium,58,20880,-181.20000000000005,-234.7999999999998,-165.1000000000001,-167.60000000000022,-157.30000000000013
ppo,medium,59,21240,-207.77500000000003,-205.20000000000022,-136.49999999999991,-330.79999999999984,-158.60000000000008
ppo,medium,60,21600,-181.39999999999995,-160.29999999999995,-204.2999999999999,-227.60000000000002,-133.4
ppo,medium,61,21960,-176.87500000000003,-167.8,-187.99999999999991,-227.90000000000006,-123.80000000000008
ppo,medium,62,22320,-175.97500000000005,-190.19999999999996,-187.20000000000005,-198.2000000000001,-128.30000000000007
