algorithm,grid,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
dqn,3x3,medium,1,360,-181.3777777777778,-130.79999999999995,-221.1000000000001,-197.20000000000002,-172.5,-220.90000000000003,-228.59999999999988,-163.6,-171.20000000000007,-126.50000000000011
dqn,3x3,medium,2,720,-167.64444444444456,-170.80000000000018,-123.60000000000008,-130.4000000000001,-241.80000000000015,-195.10000000000025,-152.4999999999999,-163.8000000000001,-160.90000000000006,-169.90000000000006
dqn,3x3,medium,3,1080,-150.6777777777778,-104.60000000000005,-140.20000000000005,-183.90000000000015,-132.30000000000004,-169.10000000000008,-197.69999999999985,-163.99999999999997,-129.29999999999995,-135.00000000000006
dqn,3x3,medium,4,1440,-171.4666666666667,-125.90000000000009,-160.79999999999998,-181.29999999999998,-225.20000000000007,-230.6000000000002,-178.19999999999996,-127.7,-188.39999999999998,-125.10000000000018
dqn,3x3,medium,5,1800,-173.91111111111113,-154.39999999999998,-136.6999999999998,-182.30000000000004,-182.70000000000013,-203.20000000000007,-215.89999999999998,-154.1000000000001,-171.69999999999993,-164.19999999999996
dqn,3x3,medium,6,2160,-161.34444444444452,-131.29999999999998,-158.4000000000002,-187.10000000000014,-162.20000000000002,-176.10000000000002,-132.70000000000005,-172.60000000000008,-211.90000000000012,-119.80000000000001
dqn,3x3,medium,7,2520,-161.80000000000004,-131.10000000000002,-131.1,-183.0999999999999,-175.30000000000013,-160.10000000000008,-182.0,-174.2999999999999,-186.20000000000013,-133.00000000000009
dqn,3x3,medium,8,2880,-167.83333333333337,-109.60000000000015,-154.99999999999994,-176.29999999999998,-144.50000000000006,-294.0999999999999,-159.50000000000006,-147.50000000000014,-173.80000000000004,-150.20000000000024
dqn,3x3,medium,9,3240,-154.97777777777785,-124.6,-142.89999999999998,-191.80000000000007,-151.20000000000033,-156.20000000000016,-170.80000000000007,-178.99999999999991,-146.8,-131.50000000000003
dqn,3x3,medium,10,3600,-167.34444444444452,-159.6000000000002,-180.49999999999994,-112.40000000000002,-226.3,-183.10000000000016,-173.4000000000001,-176.2,-141.10000000000005,-153.50000000000017
dqn,3x3,medium,11,3960,-152.64444444444447,-141.50000000000006,-117.60000000000007,-155.3000000000001,-169.5,-225.5,-181.49999999999977,-131.00000000000006,-120.60000000000011,-131.30000000000013
dqn,3x3,medium,12,4320,-157.4333333333333,-164.5,-143.49999999999994,-122.50000000000001,-152.1,-128.40000000000006,-201.7,-185.19999999999987,-158.40000000000018,-160.59999999999997
dqn,3x3,medium,13,4680,-164.36666666666676,-153.80000000000007,-150.10000000000014,-149.80000000000004,-181.49999999999991,-186.80000000000027,-153.80000000000007,-210.40000000000018,-142.99999999999994,-150.10000000000008
dqn,3x3,medium,14,5040,-160.4555555555556,-144.59999999999997,-176.6,-169.60000000000016,-135.3000000000001,-205.60000000000016,-164.89999999999992,-119.00000000000004,-167.39999999999992,-161.10000000000008
dqn,3x3,medium,15,5400,-484.6333333333335,-144.89999999999984,-177.09999999999997,-3048.0000000000014,-198.60000000000008,-135.2,-229.10000000000014,-177.7000000000001,-132.00000000000003,-119.10000000000001
dqn,3x3,medium,16,5760,-160.06666666666672,-141.60000000000002,-155.10000000000005,-154.8,-158.10000000000005,-146.70000000000013,-170.39999999999995,-185.9000000000001,-170.40000000000003,-157.6
