algorithm,grid,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
ppo,3x3,medium,1,360,-158.18888888888893,-135.10000000000008,-132.1999999999999,-188.10000000000005,-131.70000000000005,-213.5,-201.70000000000013,-126.30000000000005,-135.3000000000001,-159.79999999999995
ppo,3x3,medium,2,720,-155.37777777777785,-140.4,-122.19999999999999,-150.3000000000001,-162.10000000000002,-165.90000000000026,-157.79999999999998,-184.20000000000007,-168.90000000000006,-146.59999999999994
ppo,3x3,medium,3,1080,-152.8111111111112,-150.19999999999996,-130.90000000000006,-131.40000000000003,-137.4000000000001,-174.70000000000022,-211.00000000000017,-145.20000000000002,-155.20000000000002,-139.30000000000013
ppo,3x3,medium,4,1440,-136.43333333333337,-117.60000000000002,-111.39999999999998,-140.20000000000005,-162.00000000000006,-160.20000000000002,-156.4000000000002,-101.49999999999994,-132.70000000000002,-145.90000000000018
ppo,3x3,medium,5,1800,-117.66666666666674,-100.10000000000005,-103.30000000000004,-123.8000000000001,-122.9,-132.30000000000024,-140.6,-123.80000000000003,-102.80000000000008,-109.40000000000003
ppo,3x3,medium,6,2160,-124.62222222222229,-134.5,-93.30000000000013,-106.70000000000013,-133.8,-149.2000000000001,-118.40000000000009,-104.20000000000013,-121.50000000000009,-159.99999999999997
ppo,3x3,medium,7,2520,-129.44444444444446,-125.49999999999994,-105.80000000000001,-112.40000000000005,-128.5000000000001,-177.80000000000015,-129.39999999999986,-133.6,-109.80000000000011,-142.20000000000005
ppo,3x3,medium,8,2880,-124.03333333333336,-112.60000000000002,-117.4000000000001,-120.09999999999997,-118.50000000000013,-164.50000000000003,-125.50000000000003,-116.50000000000004,-126.99999999999997,-114.2
ppo,3x3,medium,9,3240,-124.27777777777777,-101.60000000000002,-117.09999999999998,-131.60000000000005,-131.40000000000006,-144.80000000000004,-119.89999999999992,-134.7000000000001,-125.89999999999992,-111.50000000000007
ppo,3x3,medium,10,3600,-122.90000000000002,-103.39999999999996,-126.09999999999998,-113.10000000000005,-138.4000000000001,-143.10000000000002,-115.99999999999999,-120.6,-146.60000000000005,-98.8
ppo,3x3,medium,11,3960,-126.0666666666667,-93.80000000000007,-117.60000000000007,-119.10000000000004,-143.89999999999998,-156.10000000000002,-148.90000000000003,-121.39999999999993,-129.20000000000007,-104.6000000000001
ppo,3x3,medium,12,4320,-125.65555555555554,-104.69999999999996,-105.40000000000003,-129.09999999999994,-176.0,-143.59999999999994,-127.59999999999991,-109.9,-114.19999999999997,-120.40000000000008
ppo,3x3,medium,13,4680,-121.56666666666668,-96.19999999999993,-111.10000000000007,-125.3,-127.19999999999997,-163.40000000000015,-123.90000000000002,-107.50000000000001,-117.99999999999997,-121.50000000000003
ppo,3x3,medium,14,5040,-126.0555555555556,-87.8,-120.70000000000007,-117.7000000000001,-134.5,-152.50000000000009,-129.70000000000005,-169.20000000000005,-107.10000000000008,-115.3
ppo,3x3,medium,15,5400,-124.90000000000009,-103.90000000000013,-126.70000000000002,-114.00000000000018,-151.00000000000009,-131.50000000000006,-151.9000000000001,-129.40000000000006,-106.09999999999998,-109.60000000000004
ppo,3x3,medium,16,5760,-113.32222222222221,-96.60000000000004,-101.59999999999988,-108.69999999999995,-107.7,-129.99999999999997,-146.50000000000003,-111.60000000000004,-109.70000000000003,-107.49999999999991
