algorithm,grid,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_B3,reward_B4,reward_C1,reward_C2,reward_C3,reward_C4,reward_D1,reward_D2,reward_D3,reward_D4,reward_E1,reward_E2,reward_E3,reward_E4
dqn,4x4,medium,1,360,-116.38750000000005,-92.20000000000003,-93.10000000000005,-117.90000000000005,-100.80000000000014,-112.50000000000013,-119.59999999999991,-112.60000000000004,-124.50000000000011,-114.60000000000001,-131.20000000000013,-140.70000000000007,-122.30000000000003,-79.80000000000004,-102.9,-197.39999999999998,-100.09999999999997
dqn,4x4,medium,2,720,-111.31250000000004,-82.50000000000007,-105.6,-96.70000000000007,-121.60000000000007,-105.3000000000001,-98.79999999999994,-109.70000000000006,-138.40000000000015,-114.3,-99.19999999999993,-115.90000000000008,-137.40000000000006,-109.89999999999993,-91.40000000000006,-148.00000000000023,-106.30000000000003
dqn,4x4,medium,3,1080,-114.95000000000005,-103.70000000000012,-92.10000000000001,-77.50000000000001,-97.20000000000005,-87.20000000000003,-137.4,-150.5,-123.20000000000009,-120.09999999999998,-121.20000000000002,-116.20000000000007,-148.3,-83.30000000000001,-110.49999999999999,-114.9000000000002,-155.9
dqn,4x4,medium,4,1440,-114.23750000000005,-72.99999999999996,-96.90000000000002,-101.30000000000015,-114.70000000000007,-155.10000000000002,-120.40000000000002,-125.40000000000016,-125.7000000000001,-126.70000000000002,-123.90000000000016,-118.60000000000007,-103.89999999999999,-100.40000000000002,-100.70000000000005,-129.40000000000006,-111.69999999999999
dqn,4x4,medium,5,1800,-111.60625000000003,-73.10000000000005,-87.1,-99.89999999999999,-98.9000000000001,-111.30000000000013,-116.90000000000008,-137.0,-145.9000000000001,-122.20000000000007,-137.50000000000006,-101.59999999999997,-115.49999999999991,-76.69999999999995,-108.19999999999996,-145.10000000000002,-108.8000000000001
dqn,4x4,medium,6,2160,-114.15000000000009,-103.10000000000014,-108.4000000000001,-112.10000000000002,-91.80000000000008,-107.60000000000008,-124.80000000000007,-141.4000000000002,-109.30000000000003,-138.8,-139.50000000000017,-109.60000000000008,-129.10000000000005,-96.30000000000007,-103.80000000000003,-107.50000000000006,-103.30000000000011
dqn,4x4,medium,7,2520,-106.32500000000005,-91.60000000000005,-121.59999999999998,-74.39999999999998,-111.5000000000001,-126.70000000000006,-125.70000000000002,-95.39999999999998,-118.00000000000011,-105.30000000000005,-105.00000000000009,-114.3000000000001,-122.70000000000002,-88.50000000000001,-92.70000000000003,-104.1,-103.70000000000012
dqn,4x4,medium,8,2880,-110.41250000000005,-97.10000000000005,-109.29999999999998,-107.10000000000005,-113.00000000000013,-104.20000000000005,-137.2000000000001,-121.90000000000002,-98.80000000000008,-105.40000000000005,-134.80000000000007,-141.60000000000008,-78.6,-86.80000000000004,-98.6,-134.49999999999997,-97.70000000000005
dqn,4x4,medium,9,3240,-101.14375000000003,-79.90000000000009,-90.10000000000001,-87.10000000000001,-85.89999999999998,-96.30000000000005,-137.00000000000006,-129.1,-115.10000000000011,-113.80000000000001,-95.79999999999991,-106.20000000000002,-119.2,-84.2,-101.79999999999998,-101.40000000000022,-75.40000000000005
dqn,4x4,medium,10,3600,-103.95000000000002,-77.3,-95.80000000000008,-91.7000000000001,-77.3,-101.40000000000009,-121.50000000000004,-124.59999999999998,-104.19999999999997,-104.10000000000005,-118.70000000000006,-126.00000000000003,-120.60000000000002,-93.69999999999996,-91.69999999999997,-123.20000000000005,-91.4
dqn,4x4,medium,11,3960,-101.40625000000006,-76.50000000000001,-90.10000000000002,-113.99999999999996,-90.80000000000004,-90.0,-135.20000000000007,-111.4000000000001,-91.70000000000012,-102.30000000000007,-120.10000000000007,-99.50000000000004,-102.40000000000002,-83.30000000000004,-100.00000000000001,-109.30000000000013,-105.90000000000009
dqn,4x4,medium,12,4320,-107.175,-88.89999999999993,-128.79999999999998,-91.19999999999999,-97.60000000000004,-89.29999999999998,-146.3999999999999,-159.89999999999998,-125.59999999999998,-103.3,-96.20000000000002,-106.30000000000011,-115.30000000000008,-89.89999999999996,-98.00000000000001,-92.90000000000009,-85.19999999999997
dqn,4x4,medium,13,4680,-108.65625,-76.20000000000003,-98.90000000000005,-111.00000000000013,-96.59999999999998,-83.00000000000004,-106.29999999999997,-159.99999999999997,-111.3,-130.30000000000007,-134.1,-125.89999999999992,-117.30000000000008,-77.29999999999993,-102.39999999999999,-114.50000000000001,-93.40000000000005
dqn,4x4,medium,14,5040,-99.46875000000006,-67.4,-103.1000000000001,-85.70000000000006,-85.70000000000007,-75.00000000000001,-115.00000000000001,-163.30000000000007,-113.5000000000001,-97.29999999999995,-109.30000000000005,-110.49999999999999,-104.30000000000004,-96.4000000000001,-101.10000000000004,-87.40000000000005,-76.50000000000004
dqn,4x4,medium,15,5400,-99.23125000000006,-77.50000000000009,-88.80000000000003,-90.60000000000004,-107.00000000000007,-99.60000000000002,-111.5,-126.70000000000019,-98.20000000000012,-99.90000000000003,-98.30000000000005,-108.90000000000015,-102.29999999999993,-95.19999999999999,-87.39999999999999,-109.10000000000018,-86.70000000000006
dqn,4x4,medium,16,5760,-103.38749999999999,-81.69999999999997,-105.99999999999997,-106.29999999999995,-88.69999999999997,-96.19999999999999,-103.49999999999997,-108.6000000000001,-117.00000000000001,-107.80000000000001,-125.20000000000007,-119.40000000000005,-109.20000000000007,-84.59999999999998,-91.10000000000001,-114.19999999999997,-94.69999999999993
