algorithm,grid,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_B3,reward_B4,reward_C1,reward_C2,reward_C3,reward_C4,reward_D1,reward_D2,reward_D3,reward_D4,reward_E1,reward_E2,reward_E3,reward_E4
ppo,4x4,medium,1,360,-117.05000000000003,-72.70000000000002,-96.70000000000002,-92.79999999999995,-98.90000000000012,-108.40000000000015,-137.69999999999993,-138.20000000000005,-85.80000000000005,-123.99999999999996,-132.1,-122.50000000000006,-130.20000000000002,-128.8,-115.50000000000007,-186.50000000000006,-101.99999999999997
ppo,4x4,medium,2,720,-105.38750000000003,-80.00000000000001,-98.30000000000005,-78.20000000000003,-116.0000000000001,-86.30000000000003,-122.49999999999997,-133.30000000000013,-112.70000000000007,-116.99999999999999,-100.79999999999994,-103.5000000000001,-108.40000000000003,-78.59999999999992,-158.50000000000009,-94.10000000000005,-98.00000000000004
ppo,4x4,medium,3,1080,-96.12500000000003,-94.29999999999995,-75.99999999999999,-85.70000000000007,-95.70000000000007,-86.89999999999996,-116.70000000000007,-97.50000000000001,-108.30000000000008,-90.90000000000002,-89.90000000000002,-97.70000000000003,-106.40000000000002,-81.80000000000001,-110.70000000000009,-113.5000000000001,-86.0000000000001
ppo,4x4,medium,4,1440,-96.65000000000002,-68.90000000000002,-94.79999999999993,-78.19999999999995,-95.60000000000007,-76.99999999999999,-143.79999999999998,-96.8000000000001,-106.50000000000007,-99.00000000000001,-97.69999999999997,-116.5000000000001,-93.49999999999993,-80.80000000000007,-111.99999999999993,-100.60000000000014,-84.70000000000009
ppo,4x4,medium,5,1800,-89.04374999999999,-71.29999999999998,-76.5,-79.9,-83.79999999999995,-72.30000000000004,-110.60000000000001,-94.19999999999997,-89.0,-101.30000000000005,-89.79999999999997,-90.69999999999993,-91.50000000000004,-82.09999999999991,-94.59999999999998,-105.50000000000001,-91.6
ppo,4x4,medium,6,2160,-89.49374999999998,-76.09999999999998,-79.69999999999995,-82.40000000000003,-91.70000000000007,-86.39999999999998,-118.29999999999993,-90.99999999999994,-98.80000000000001,-80.09999999999998,-104.49999999999994,-88.39999999999992,-102.29999999999995,-81.29999999999995,-87.9,-80.29999999999998,-82.69999999999995
ppo,4x4,medium,7,2520,-84.84375,-88.70000000000002,-71.09999999999992,-81.19999999999999,-85.60000000000002,-79.10000000000001,-110.10000000000001,-82.19999999999996,-85.50000000000009,-82.70000000000006,-94.7,-96.50000000000001,-90.50000000000004,-82.79999999999998,-74.60000000000001,-74.49999999999993,-77.69999999999997
ppo,4x4,medium,8,2880,-84.94375,-62.39999999999994,-76.89999999999999,-79.19999999999995,-91.0,-81.6000000000001,-109.49999999999996,-95.79999999999994,-90.4000000000001,-84.89999999999998,-96.80000000000007,-85.50000000000003,-90.60000000000002,-73.69999999999993,-68.0999999999999,-97.40000000000009,-75.30000000000001
ppo,4x4,medium,9,3240,-90.21875000000003,-79.20000000000006,-79.60000000000002,-69.99999999999996,-96.10000000000005,-85.30000000000004,-119.69999999999999,-90.1,-96.70000000000006,-86.59999999999997,-110.10000000000008,-94.70000000000005,-89.89999999999998,-81.59999999999991,-78.00000000000006,-97.20000000000007,-88.69999999999997
ppo,4x4,medium,10,3600,-83.33124999999998,-75.80000000000005,-78.79999999999993,-70.4,-88.80000000000003,-72.09999999999991,-107.20000000000003,-85.29999999999997,-85.99999999999999,-78.3,-86.40000000000002,-99.69999999999993,-95.09999999999998,-71.29999999999995,-73.89999999999999,-81.69999999999995,-82.50000000000003
ppo,4x4,medium,11,3960,-84.5625,-77.09999999999997,-74.8,-76.89999999999995,-84.00000000000003,-83.10000000000005,-90.29999999999997,-99.69999999999997,-81.00000000000001,-92.40000000000002,-104.90000000000008,-97.80000000000001,-80.39999999999996,-82.69999999999993,-78.10000000000005,-78.0,-71.79999999999998
ppo,4x4,medium,12,4320,-84.10000000000002,-69.99999999999996,-81.70000000000006,-68.29999999999994,-86.90000000000012,-83.30000000000005,-94.99999999999993,-118.1,-87.70000000000005,-80.50000000000001,-94.30000000000014,-96.70000000000007,-89.60000000000004,-69.09999999999995,-77.3,-69.89999999999996,-77.19999999999997
