algorithm,grid,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_B3,reward_B4,reward_B5,reward_C1,reward_C2,reward_C3,reward_C4,reward_C5,reward_D1,reward_D2,reward_D3,reward_D4,reward_D5,reward_E1,reward_E2,reward_E3,reward_E4,reward_E5,reward_F1,reward_F2,reward_F3,reward_F4,reward_F5
dqn,5x5,medium,1,360,-75.32800000000002,-65.09999999999997,-61.099999999999945,-72.60000000000001,-66.00000000000004,-69.99999999999999,-70.5,-89.00000000000009,-88.30000000000013,-78.90000000000003,-90.39999999999999,-88.39999999999999,-64.69999999999993,-88.60000000000002,-84.00000000000006,-72.00000000000003,-82.40000000000006,-72.00000000000003,-65.2,-90.60000000000004,-90.0,-56.29999999999996,-69.60000000000002,-57.99999999999994,-76.40000000000005,-73.1
dqn,5x5,medium,2,720,-74.27999999999999,-65.99999999999997,-71.19999999999999,-59.09999999999997,-69.79999999999993,-68.0,-77.90000000000003,-68.29999999999998,-76.89999999999998,-91.50000000000013,-59.699999999999946,-70.99999999999996,-80.60000000000002,-79.10000000000007,-80.20000000000002,-87.0,-69.60000000000001,-93.60000000000007,-80.59999999999995,-91.39999999999996,-77.40000000000002,-60.29999999999997,-69.59999999999997,-77.79999999999995,-62.699999999999974,-67.69999999999996
dqn,5x5,medium,3,1080,-71.45200000000001,-55.69999999999996,-61.69999999999993,-82.2000000000001,-67.59999999999995,-73.0,-74.79999999999998,-68.20000000000003,-69.49999999999993,-78.80000000000004,-61.89999999999997,-69.70000000000005,-82.10000000000004,-79.70000000000003,-85.40000000000008,-77.50000000000007,-70.60000000000001,-76.40000000000003,-68.99999999999996,-73.60000000000004,-72.80000000000004,-54.79999999999993,-70.90000000000006,-57.799999999999976,-74.59999999999998,-78.0
dqn,5x5,medium,4,1440,-72.056,-70.10000000000008,-64.59999999999998,-65.59999999999994,-89.70000000000003,-57.79999999999997,-66.90000000000008,-75.99999999999993,-69.19999999999996,-79.60000000000011,-75.7,-74.19999999999999,-76.80000000000004,-75.00000000000011,-80.1,-86.10000000000014,-67.09999999999995,-71.39999999999998,-71.19999999999996,-70.7,-98.10000000000002,-58.69999999999997,-54.300000000000004,-62.79999999999995,-66.19999999999999,-73.49999999999999
dqn,5x5,medium,5,1800,-74.428,-59.89999999999991,-64.29999999999995,-84.20000000000007,-64.29999999999995,-69.70000000000003,-68.0,-113.99999999999999,-84.10000000000001,-64.7,-85.6000000000001,-74.80000000000008,-80.8,-81.5,-77.30000000000008,-73.09999999999994,-69.19999999999997,-78.00000000000004,-73.7,-85.69999999999999,-72.69999999999999,-59.49999999999992,-59.699999999999946,-73.79999999999998,-76.60000000000005,-65.50000000000001
dqn,5x5,medium,6,2160,-71.71599999999998,-67.29999999999998,-65.69999999999992,-60.40000000000002,-76.29999999999997,-63.69999999999995,-76.0,-92.49999999999997,-75.70000000000002,-90.30000000000005,-74.69999999999997,-66.20000000000003,-74.69999999999999,-65.89999999999996,-72.50000000000003,-87.10000000000002,-71.3,-64.99999999999996,-69.79999999999995,-62.89999999999999,-102.70000000000002,-51.49999999999995,-70.2,-64.99999999999997,-67.50000000000004,-57.999999999999964
dqn,5x5,medium,7,2520,-70.72800000000001,-55.69999999999996,-64.99999999999993,-64.19999999999992,-61.59999999999996,-62.300000000000004,-58.59999999999991,-74.09999999999994,-78.90000000000006,-67.89999999999999,-78.00000000000011,-65.50000000000001,-78.9,-90.10000000000005,-80.3000000000001,-79.60000000000007,-62.89999999999992,-69.19999999999996,-69.8,-92.89999999999996,-65.49999999999997,-59.999999999999986,-86.70000000000009,-67.00000000000004,-73.29999999999997,-60.199999999999946
dqn,5x5,medium,8,2880,-71.976,-54.59999999999997,-64.99999999999994,-67.4,-63.39999999999992,-69.39999999999996,-65.30000000000004,-72.30000000000005,-69.6,-57.599999999999945,-75.30000000000008,-69.39999999999996,-68.49999999999997,-70.3,-86.60000000000005,-87.8,-68.09999999999998,-68.60000000000002,-97.90000000000005,-85.69999999999997,-81.09999999999995,-63.7,-58.4999999999999,-70.0,-84.89999999999995,-78.39999999999999
dqn,5x5,medium,9,3240,-71.32000000000001,-58.599999999999994,-59.49999999999996,-73.89999999999999,-71.70000000000007,-70.99999999999994,-59.99999999999994,-73.69999999999996,-79.10000000000012,-76.3000000000001,-81.49999999999993,-68.5,-69.1,-85.70000000000007,-74.30000000000004,-75.30000000000004,-76.99999999999997,-73.99999999999996,-69.2,-86.50000000000009,-76.0000000000001,-55.79999999999997,-57.69999999999997,-73.4,-73.89999999999995,-61.3
dqn,5x5,medium,10,3600,-72.49999999999999,-60.2,-53.19999999999991,-72.3,-73.90000000000002,-69.89999999999998,-77.1,-80.59999999999997,-67.3,-70.60000000000005,-104.90000000000003,-94.00000000000007,-74.00000000000003,-75.4,-83.69999999999989,-73.50000000000003,-62.29999999999993,-74.19999999999992,-71.69999999999996,-86.00000000000003,-71.0,-64.59999999999995,-53.89999999999997,-66.60000000000001,-70.3,-61.299999999999926
