algorithm,grid,scenario,episode,step,avg_reward,reward_B1,reward_B2,reward_B3,reward_B4,reward_B5,reward_C1,reward_C2,reward_C3,reward_C4,reward_C5,reward_D1,reward_D2,reward_D3,reward_D4,reward_D5,reward_E1,reward_E2,reward_E3,reward_E4,reward_E5,reward_F1,reward_F2,reward_F3,reward_F4,reward_F5
ppo,5x5,medium,1,360,-73.28399999999999,-50.99999999999994,-60.89999999999996,-73.00000000000001,-64.29999999999998,-66.10000000000002,-60.69999999999994,-65.40000000000002,-92.50000000000006,-68.39999999999998,-67.8,-76.29999999999998,-111.20000000000006,-79.50000000000003,-76.09999999999998,-78.90000000000005,-69.89999999999996,-80.39999999999999,-82.20000000000002,-86.90000000000002,-87.30000000000001,-62.89999999999995,-62.29999999999993,-56.399999999999956,-82.49999999999996,-69.19999999999997
ppo,5x5,medium,2,720,-73.57199999999999,-54.09999999999997,-69.7999999999999,-69.79999999999997,-64.29999999999998,-55.69999999999996,-69.2,-75.10000000000002,-63.59999999999994,-86.50000000000011,-70.80000000000001,-95.00000000000007,-99.89999999999993,-95.09999999999995,-79.90000000000008,-100.90000000000003,-71.2,-65.49999999999993,-78.10000000000004,-65.69999999999999,-79.3000000000001,-53.299999999999955,-74.4,-73.2,-66.59999999999994,-62.29999999999989
ppo,5x5,medium,3,1080,-69.032,-68.19999999999997,-72.39999999999999,-70.40000000000003,-55.99999999999994,-63.59999999999991,-64.8,-80.8,-72.3,-66.89999999999999,-60.49999999999992,-74.70000000000006,-71.49999999999993,-78.00000000000007,-76.50000000000006,-82.70000000000005,-68.5,-72.09999999999997,-65.19999999999996,-75.0000000000001,-71.50000000000007,-58.09999999999992,-63.19999999999995,-57.59999999999987,-65.39999999999999,-69.90000000000003
ppo,5x5,medium,4,1440,-67.24399999999997,-55.499999999999986,-67.19999999999999,-68.69999999999997,-57.099999999999966,-57.699999999999946,-67.4,-70.09999999999994,-76.30000000000004,-67.89999999999998,-65.79999999999998,-72.90000000000002,-60.99999999999995,-78.39999999999999,-78.79999999999998,-71.59999999999997,-73.49999999999999,-66.39999999999993,-71.90000000000008,-73.29999999999997,-60.19999999999998,-63.499999999999964,-55.69999999999998,-66.29999999999994,-65.89999999999995,-67.99999999999997
ppo,5x5,medium,5,1800,-68.51999999999997,-57.09999999999991,-62.29999999999993,-62.29999999999995,-56.29999999999995,-59.49999999999994,-70.10000000000004,-75.40000000000002,-71.59999999999995,-72.39999999999996,-65.19999999999997,-75.70000000000002,-76.79999999999997,-77.59999999999995,-82.70000000000003,-77.50000000000003,-79.99999999999999,-68.19999999999992,-62.99999999999994,-77.40000000000003,-67.5,-63.199999999999925,-63.79999999999994,-61.99999999999994,-65.5,-59.89999999999997
ppo,5x5,medium,6,2160,-66.91199999999998,-63.999999999999964,-69.59999999999992,-64.09999999999998,-69.19999999999996,-61.199999999999896,-61.299999999999926,-67.4999999999999,-63.69999999999996,-68.29999999999995,-73.59999999999998,-66.20000000000002,-64.4999999999999,-66.29999999999995,-65.89999999999999,-70.29999999999994,-71.79999999999997,-74.00000000000003,-67.19999999999992,-67.89999999999996,-72.49999999999993,-65.99999999999999,-58.89999999999995,-68.09999999999995,-69.80000000000001,-60.89999999999998
ppo,5x5,medium,7,2520,-67.94399999999996,-63.09999999999991,-58.09999999999996,-67.09999999999995,-67.69999999999996,-61.89999999999996,-61.699999999999946,-77.39999999999995,-76.50000000000001,-71.49999999999999,-71.79999999999993,-70.59999999999998,-71.69999999999993,-69.2,-67.79999999999991,-66.99999999999997,-67.19999999999995,-65.89999999999992,-68.89999999999992,-79.79999999999995,-65.09999999999998,-61.19999999999995,-69.19999999999996,-59.199999999999946,-74.09999999999998,-64.89999999999998
ppo,5x5,medium,8,2880,-66.43999999999997,-61.79999999999995,-66.9,-60.299999999999976,-67.79999999999995,-59.599999999999916,-61.59999999999993,-82.40000000000002,-78.00000000000009,-64.69999999999995,-66.09999999999997,-70.5,-63.89999999999999,-62.99999999999993,-68.89999999999996,-72.39999999999996,-66.8,-68.79999999999997,-74.89999999999999,-77.99999999999997,-73.09999999999997,-53.999999999999915,-57.79999999999993,-59.89999999999989,-61.79999999999991,-57.99999999999993
ppo,5x5,medium,9,3240,-67.21999999999997,-61.599999999999916,-62.29999999999993,-66.99999999999997,-66.79999999999993,-65.59999999999992,-68.3999999999999,-78.70000000000006,-66.39999999999996,-71.29999999999995,-66.29999999999994,-63.1999999999999,-69.69999999999997,-70.79999999999998,-74.3,-75.20000000000007,-55.29999999999993,-69.49999999999999,-68.49999999999993,-67.50000000000001,-64.29999999999998,-61.99999999999998,-64.19999999999996,-72.50000000000003,-63.59999999999995,-65.49999999999996
ppo,5x5,medium,10,3600,-67.26399999999995,-59.09999999999993,-59.29999999999991,-65.39999999999995,-64.99999999999999,-59.199999999999925,-65.49999999999997,-70.69999999999996,-64.3999999999999,-68.29999999999998,-62.89999999999991,-68.40000000000003,-71.09999999999992,-68.09999999999992,-68.1,-68.6999999999999,-68.19999999999996,-76.69999999999993,-73.29999999999994,-74.00000000000001,-73.39999999999998,-66.29999999999998,-68.39999999999999,-61.99999999999993,-69.60000000000007,-65.49999999999997
