controller,scenario,seed,completed_trips,avg_travel_time,avg_waiting_time,avg_time_loss,num_agents,loaded_vehicles,completion_rate_pct,grid
fixedtime,medium,11,1397,122.87,36.92,60.37,4,1500,93.13333333333334,
fixedtime,medium,12,1395,121.89,35.88,59.08,4,1500,93.0,
fixedtime,medium,13,1398,123.06,36.62,60.12,4,1500,93.2,
fixedtime,medium,14,1383,125.09,38.19,62.46,4,1500,92.2,
fixedtime,medium,15,1398,118.21,33.57,55.77,4,1500,93.2,
dqn,medium,11,1415,97.64,14.81,35.15,4,1500,94.33333333333333,
dqn,medium,12,1417,99.04,15.92,36.3,4,1500,94.46666666666667,
dqn,medium,13,1415,98.99,15.52,36.05,4,1500,94.33333333333333,
dqn,medium,14,1417,98.8,15.64,36.13,4,1500,94.46666666666667,
dqn,medium,15,1412,100.61,17.1,38.23,4,1500,94.13333333333334,
ppo,medium,11,1422,98.61,15.83,36.09,4,1500,94.8,
ppo,medium,12,1411,99.72,16.3,37.09,4,1500,94.06666666666666,
ppo,medium,13,1415,101.41,17.02,38.46,4,1500,94.33333333333333,
ppo,medium,14,1410,101.66,17.6,39.05,4,1500,94.0,
ppo,medium,15,1413,100.58,16.81,38.22,4,1500,94.2,
fixedtime,medium,11,1651,136.48,40.6,64.52,9,1800,91.72222222222223,3x3
fixedtime,medium,12,1652,139.59,42.85,67.42,9,1800,91.77777777777777,3x3
fixedtime,medium,13,1650,136.36,39.82,64.0,9,1800,91.66666666666667,3x3
fixedtime,medium,14,1650,134.81,39.23,62.66,9,1800,91.66666666666667,3x3
fixedtime,medium,15,1649,132.44,37.8,60.61,9,1800,91.61111111111111,3x3
dqn,medium,11,1685,111.26,16.64,39.24,9,1800,93.61111111111111,3x3
dqn,medium,12,1683,110.85,16.2,38.59,9,1800,93.5,3x3
dqn,medium,13,1690,113.97,18.23,41.49,9,1800,93.88888888888889,3x3
dqn,medium,14,1683,110.56,16.16,38.31,9,1800,93.5,3x3
dqn,medium,15,1688,110.39,16.27,38.35,9,1800,93.77777777777777,3x3
ppo,medium,11,1683,113.97,18.51,41.92,9,1800,93.5,3x3
ppo,medium,12,1684,113.99,18.48,41.72,9,1800,93.55555555555556,3x3
ppo,medium,13,1680,114.25,18.56,41.79,9,1800,93.33333333333333,3x3
ppo,medium,14,1680,112.76,17.87,40.55,9,1800,93.33333333333333,3x3
ppo,medium,15,1689,115.06,19.44,43.06,9,1800,93.83333333333333,3x3
fixedtime,medium,11,1834,144.7,40.41,62.9,16,2000,91.7,4x4
fixedtime,medium,12,1828,144.17,39.83,62.02,16,2000,91.4,4x4
fixedtime,medium,13,1835,143.71,39.26,61.58,16,2000,91.75,4x4
fixedtime,medium,14,1834,144.84,40.3,62.76,16,2000,91.7,4x4
fixedtime,medium,15,1826,145.31,40.69,63.45,16,2000,91.3,4x4
dqn,medium,11,1858,121.21,16.44,39.33,16,2000,92.9,4x4
dqn,medium,12,1861,120.74,15.8,38.53,16,2000,93.05,4x4
dqn,medium,13,1854,120.58,15.56,38.22,16,2000,92.7,4x4
dqn,medium,14,1861,120.47,15.59,38.26,16,2000,93.05,4x4
dqn,medium,15,1859,121.27,16.47,39.36,16,2000,92.95,4x4
ppo,medium,11,1850,122.42,17.38,40.6,16,2000,92.5,4x4
ppo,medium,12,1850,123.44,17.72,41.25,16,2000,92.5,4x4
ppo,medium,13,1851,124.43,18.33,42.05,16,2000,92.55,4x4
ppo,medium,14,1851,123.25,17.59,41.1,16,2000,92.55,4x4
ppo,medium,15,1853,123.41,17.97,41.53,16,2000,92.65,4x4
fixedtime,medium,11,1431,155.75,42.97,64.67,25,1566,91.37931034482759,5x5
fixedtime,medium,12,1423,156.07,43.08,64.78,25,1566,90.8684546615581,5x5
fixedtime,medium,13,1431,158.06,44.42,66.42,25,1566,91.37931034482759,5x5
fixedtime,medium,14,1430,156.09,42.91,64.61,25,1566,91.3154533844189,5x5
fixedtime,medium,15,1431,155.05,42.31,63.96,25,1566,91.37931034482759,5x5
dqn,medium,11,1449,129.63,15.36,38.46,25,1566,92.52873563218391,5x5
dqn,medium,12,1451,129.04,14.65,37.56,25,1566,92.65644955300128,5x5
dqn,medium,13,1449,129.68,14.95,38.03,25,1566,92.52873563218391,5x5
dqn,medium,14,1449,129.79,15.36,38.36,25,1566,92.52873563218391,5x5
dqn,medium,15,1450,129.04,14.82,37.79,25,1566,92.5925925925926,5x5
ppo,medium,11,1447,131.02,16.45,39.81,25,1566,92.40102171136654,5x5
ppo,medium,12,1451,130.6,15.98,38.93,25,1566,92.65644955300128,5x5
ppo,medium,13,1446,131.18,16.33,39.53,25,1566,92.33716475095785,5x5
ppo,medium,14,1447,131.33,16.38,39.89,25,1566,92.40102171136654,5x5
ppo,medium,15,1448,130.65,16.11,39.49,25,1566,92.46487867177522,5x5
