grid,num_agents,controller,metric,mean,std,ci95_lower,ci95_upper,pct_change_vs_fixed,t_stat,p_value,paired_cohens_dz,significant_p05
2x2,4,dqn,avg_travel_time,99.02,1.06,97.7,100.33,-19.0,-15.318,0.0001,-6.851,True
2x2,4,dqn,avg_waiting_time,15.8,0.83,14.76,16.83,-56.4,-18.788,0.0,-8.402,True
2x2,4,dqn,completed_trips,1415.2,2.05,1412.66,1417.74,1.5,6.012,0.0039,2.689,True
2x2,4,dqn,completion_rate_pct,94.35,0.14,94.18,94.52,1.5,6.012,0.0039,2.689,True
2x2,4,ppo,avg_travel_time,100.4,1.26,98.84,101.96,-17.9,-19.052,0.0,-8.52,True
2x2,4,ppo,avg_waiting_time,16.71,0.68,15.87,17.55,-53.9,-26.047,0.0,-11.648,True
2x2,4,ppo,completed_trips,1414.2,4.76,1408.28,1420.12,1.4,8.032,0.0013,3.592,True
2x2,4,ppo,completion_rate_pct,94.28,0.32,93.89,94.67,1.4,8.032,0.0013,3.592,True
3x3,9,dqn,avg_travel_time,111.41,1.47,109.58,113.23,-18.0,-20.368,0.0,-9.109,True
3x3,9,dqn,avg_waiting_time,16.7,0.88,15.61,17.79,-58.3,-24.796,0.0,-11.089,True
3x3,9,dqn,completed_trips,1685.8,3.11,1681.93,1689.67,2.1,20.237,0.0,9.05,True
3x3,9,dqn,completion_rate_pct,93.66,0.17,93.44,93.87,2.1,20.237,0.0,9.05,True
3x3,9,ppo,avg_travel_time,114.01,0.83,112.98,115.03,-16.1,-16.684,0.0001,-7.461,True
3x3,9,ppo,avg_waiting_time,18.57,0.56,17.88,19.27,-53.6,-22.329,0.0,-9.986,True
3x3,9,ppo,completed_trips,1683.2,3.7,1678.6,1687.8,2.0,17.685,0.0001,7.909,True
3x3,9,ppo,completion_rate_pct,93.51,0.21,93.26,93.77,2.0,17.685,0.0001,7.909,True
4x4,16,dqn,avg_travel_time,120.85,0.37,120.4,121.31,-16.4,-105.633,0.0,-47.241,True
4x4,16,dqn,avg_waiting_time,15.97,0.45,15.41,16.53,-60.2,-143.551,0.0,-64.198,True
4x4,16,dqn,completed_trips,1858.6,2.88,1855.02,1862.18,1.5,10.109,0.0005,4.521,True
4x4,16,dqn,completion_rate_pct,92.93,0.14,92.75,93.11,1.5,10.109,0.0005,4.521,True
4x4,16,ppo,avg_travel_time,123.39,0.72,122.5,124.28,-14.6,-39.608,0.0,-17.713,True
4x4,16,ppo,avg_waiting_time,17.8,0.37,17.34,18.25,-55.6,-59.702,0.0,-26.699,True
4x4,16,ppo,completed_trips,1851.0,1.22,1849.48,1852.52,1.1,9.08,0.0008,4.06,True
4x4,16,ppo,completion_rate_pct,92.55,0.06,92.47,92.63,1.1,9.08,0.0008,4.06,True
5x5,25,dqn,avg_travel_time,129.44,0.37,128.98,129.89,-17.1,-60.768,0.0,-27.176,True
5x5,25,dqn,avg_waiting_time,15.03,0.32,14.63,15.43,-65.2,-73.82,0.0,-33.014,True
5x5,25,dqn,completed_trips,1449.6,0.89,1448.49,1450.71,1.4,10.663,0.0004,4.769,True
5x5,25,dqn,completion_rate_pct,92.57,0.06,92.5,92.64,1.4,10.663,0.0004,4.769,True
5x5,25,ppo,avg_travel_time,130.96,0.32,130.56,131.36,-16.2,-56.897,0.0,-25.445,True
5x5,25,ppo,avg_waiting_time,16.25,0.2,16.0,16.5,-62.3,-80.583,0.0,-36.038,True
5x5,25,ppo,completed_trips,1447.8,1.92,1445.41,1450.19,1.3,7.818,0.0014,3.496,True
5x5,25,ppo,completion_rate_pct,92.45,0.12,92.3,92.6,1.3,7.818,0.0014,3.496,True
