controller,grid,scenario,seed,simulation_duration_s,loaded_vehicles,departed_vehicles,completed_trips,completion_rate_pct,completion_of_departed_pct,avg_travel_time,avg_waiting_time,avg_time_loss,mean_queue_length,max_queue_length,mean_step_waiting_time,mean_vehicle_count,teleports_started,teleports_ended,active_at_end,min_expected_at_end,tls_count,active_program,peak_process_tree_ram_mb,simulation_loop_runtime_s,total_wall_runtime_s,tripinfo_arrival_match,step_file,tripinfo_file,status,controller_final,algorithm_family,agent_count,mean_agent_predict_ms,p95_agent_predict_ms,mean_joint_decision_ms,p95_joint_decision_ms,model_size_total_mb,wall_runtime_s
actuated,2x2,medium,11,1800,1500,1499,1418,94.53333333333333,94.59639759839892,97.30677009873061,15.405500705218618,34.80427362482369,2.1430555555555557,13,17.586805555555557,8.889583333333333,0,0,81,82,4,0,92.375,8.411154458066449,9.4616049999604,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_medium_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_medium_seed11_tripinfo.xml,PASS,actuated,conventional,4,,,,,,
actuated,2x2,medium,12,1800,1500,1500,1417,94.46666666666667,94.46666666666667,96.89978828510938,15.18772053634439,34.17618207480593,2.120138888888889,13,16.91875,8.902083333333334,0,0,83,83,4,0,93.03125,8.599390208953992,9.642861416912638,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_medium_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_medium_seed12_tripinfo.xml,PASS,actuated,conventional,4,,,,,,
actuated,2x2,medium,13,1800,1500,1498,1414,94.26666666666667,94.39252336448598,96.85007072135785,14.918670438472418,33.954526166902404,2.134027777777778,15,17.91111111111111,8.948611111111111,0,0,84,86,4,0,92.546875,8.58352508302778,9.618173750001006,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_medium_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_medium_seed13_tripinfo.xml,PASS,actuated,conventional,4,,,,,,
actuated,2x2,medium,14,1800,1500,1498,1410,94.0,94.12550066755674,96.6645390070922,14.59290780141844,33.92585815602837,2.209722222222222,14,17.70486111111111,9.057638888888889,0,0,88,90,4,0,93.140625,8.589547874988057,9.638002582942136,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_medium_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_medium_seed14_tripinfo.xml,PASS,actuated,conventional,4,,,,,,
actuated,2x2,medium,15,1800,1500,1499,1423,94.86666666666666,94.92995330220147,95.39002108222066,14.161630358397751,32.900295151089246,2.0319444444444446,13,15.559027777777779,8.739583333333334,0,0,76,77,4,0,92.90625,8.567867083940655,9.61566191597376,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_medium_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/actuated_medium_seed15_tripinfo.xml,PASS,actuated,conventional,4,,,,,,
original_fixed,2x2,medium,11,1800,1500,1498,1397,93.13333333333334,93.25767690253672,122.8704366499642,36.92412312097351,60.36526127415891,6.51875,23,105.43819444444445,14.141666666666667,0,0,101,103,4,0,87.125,8.437426374992356,9.47584354202263,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_medium_seed11_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_medium_seed11_tripinfo.xml,PASS,original_fixed,conventional,4,,,,,,
original_fixed,2x2,medium,12,1800,1500,1500,1395,93.0,93.0,121.88960573476703,35.88028673835125,59.07793548387097,6.563888888888889,26,104.61111111111111,14.192361111111111,0,0,105,105,4,0,91.234375,8.532808708027005,9.580780792050064,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_medium_seed12_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_medium_seed12_tripinfo.xml,PASS,original_fixed,conventional,4,,,,,,
original_fixed,2x2,medium,13,1800,1500,1498,1398,93.2,93.32443257676903,123.05722460658083,36.61587982832618,60.1175321888412,6.664583333333334,24,106.68680555555555,14.36111111111111,0,0,100,102,4,0,92.375,8.913446375052445,9.956356041016988,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_medium_seed13_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_medium_seed13_tripinfo.xml,PASS,original_fixed,conventional,4,,,,,,
original_fixed,2x2,medium,14,1800,1500,1499,1383,92.2,92.26150767178119,125.0947216196674,38.186550976138825,62.462610267534345,6.860416666666667,25,110.24930555555555,14.649305555555555,0,0,116,117,4,0,93.453125,8.71206558297854,9.76292300003115,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_medium_seed14_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_medium_seed14_tripinfo.xml,PASS,original_fixed,conventional,4,,,,,,
original_fixed,2x2,medium,15,1800,1500,1498,1398,93.2,93.32443257676903,118.21387696709586,33.57367668097282,55.771280400572245,5.959722222222222,27,92.72777777777777,13.36111111111111,0,0,100,102,4,0,92.703125,8.647676874999888,9.690322624985129,True,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_medium_seed15_steps.csv,/Users/venushambhuhullukattenataraju/thesis_project/results_v2/conventional/grid2x2/original_fixed_medium_seed15_tripinfo.xml,PASS,original_fixed,conventional,4,,,,,,
