controller,grid,scenario,tls_id,type,phase_count,cycle_seconds,green_min_seconds,green_max_seconds,yellow_seconds,status
original_fixed,2x2,all,B1,static,4,90.0,,,3.0,PASS
original_fixed,2x2,all,B2,static,4,90.0,,,3.0,PASS
original_fixed,2x2,all,C1,static,4,90.0,,,3.0,PASS
original_fixed,2x2,all,C2,static,4,90.0,,,3.0,PASS
original_fixed,3x3,all,B1,static,4,90.0,,,3.0,PASS
original_fixed,3x3,all,B2,static,4,90.0,,,3.0,PASS
original_fixed,3x3,all,B3,static,4,90.0,,,3.0,PASS
original_fixed,3x3,all,C1,static,4,90.0,,,3.0,PASS
original_fixed,3x3,all,C2,static,4,90.0,,,3.0,PASS
original_fixed,3x3,all,C3,static,4,90.0,,,3.0,PASS
original_fixed,3x3,all,D1,static,4,90.0,,,3.0,PASS
original_fixed,3x3,all,D2,static,4,90.0,,,3.0,PASS
original_fixed,3x3,all,D3,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,B1,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,B2,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,B3,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,B4,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,C1,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,C2,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,C3,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,C4,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,D1,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,D2,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,D3,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,D4,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,E1,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,E2,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,E3,static,4,90.0,,,3.0,PASS
original_fixed,4x4,all,E4,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,B1,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,B2,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,B3,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,B4,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,B5,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,C1,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,C2,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,C3,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,C4,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,C5,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,D1,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,D2,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,D3,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,D4,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,D5,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,E1,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,E2,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,E3,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,E4,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,E5,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,F1,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,F2,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,F3,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,F4,static,4,90.0,,,3.0,PASS
original_fixed,5x5,all,F5,static,4,90.0,,,3.0,PASS
webster_fixed,2x2,low,B1,static,4,26.0,,,3.0,PASS
webster_fixed,2x2,low,B2,static,4,26.0,,,3.0,PASS
webster_fixed,2x2,low,C1,static,4,26.0,,,3.0,PASS
webster_fixed,2x2,low,C2,static,4,26.0,,,3.0,PASS
webster_fixed,2x2,medium,B1,static,4,26.0,,,3.0,PASS
webster_fixed,2x2,medium,B2,static,4,26.0,,,3.0,PASS
webster_fixed,2x2,medium,C1,static,4,26.0,,,3.0,PASS
webster_fixed,2x2,medium,C2,static,4,26.0,,,3.0,PASS
webster_fixed,2x2,high,B1,static,4,34.0,,,3.0,PASS
webster_fixed,2x2,high,B2,static,4,33.0,,,3.0,PASS
webster_fixed,2x2,high,C1,static,4,34.0,,,3.0,PASS
webster_fixed,2x2,high,C2,static,4,34.0,,,3.0,PASS
webster_fixed,2x2,dynamic,B1,static,4,26.0,,,3.0,PASS
webster_fixed,2x2,dynamic,B2,static,4,26.0,,,3.0,PASS
webster_fixed,2x2,dynamic,C1,static,4,28.0,,,3.0,PASS
webster_fixed,2x2,dynamic,C2,static,4,26.0,,,3.0,PASS
webster_fixed,3x3,medium,B1,static,4,26.0,,,3.0,PASS
webster_fixed,3x3,medium,B2,static,4,26.0,,,3.0,PASS
webster_fixed,3x3,medium,B3,static,4,26.0,,,3.0,PASS
webster_fixed,3x3,medium,C1,static,4,26.0,,,3.0,PASS
webster_fixed,3x3,medium,C2,static,4,26.0,,,3.0,PASS
webster_fixed,3x3,medium,C3,static,4,26.0,,,3.0,PASS
webster_fixed,3x3,medium,D1,static,4,26.0,,,3.0,PASS
webster_fixed,3x3,medium,D2,static,4,26.0,,,3.0,PASS
webster_fixed,3x3,medium,D3,static,4,26.0,,,3.0,PASS
webster_fixed,4x4,medium,B1,static,4,26.0,,,3.0,PASS
