controller,grid,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
actuated,2x2,high,14,5,B1,0,0.0,0
actuated,2x2,high,14,5,B2,0,0.0,0
actuated,2x2,high,14,5,C1,0,0.0,0
actuated,2x2,high,14,5,C2,0,0.0,1
actuated,2x2,high,14,10,B1,0,0.0,1
actuated,2x2,high,14,10,B2,0,0.0,1
actuated,2x2,high,14,10,C1,0,0.0,2
actuated,2x2,high,14,10,C2,0,0.0,1
actuated,2x2,high,14,15,B1,0,0.0,3
actuated,2x2,high,14,15,B2,0,0.0,1
actuated,2x2,high,14,15,C1,0,0.0,3
actuated,2x2,high,14,15,C2,0,0.0,1
actuated,2x2,high,14,20,B1,0,0.0,5
actuated,2x2,high,14,20,B2,0,0.0,4
actuated,2x2,high,14,20,C1,0,0.0,5
actuated,2x2,high,14,20,C2,0,0.0,0
actuated,2x2,high,14,25,B1,0,0.0,6
actuated,2x2,high,14,25,B2,0,0.0,5
actuated,2x2,high,14,25,C1,0,0.0,4
actuated,2x2,high,14,25,C2,0,0.0,2
actuated,2x2,high,14,30,B1,1,1.0,6
actuated,2x2,high,14,30,B2,0,0.0,5
actuated,2x2,high,14,30,C1,0,0.0,6
actuated,2x2,high,14,30,C2,0,0.0,2
actuated,2x2,high,14,35,B1,2,7.0,5
actuated,2x2,high,14,35,B2,0,0.0,6
actuated,2x2,high,14,35,C1,0,0.0,8
actuated,2x2,high,14,35,C2,0,0.0,4
actuated,2x2,high,14,40,B1,2,17.0,7
actuated,2x2,high,14,40,B2,2,8.0,6
actuated,2x2,high,14,40,C1,2,5.0,7
actuated,2x2,high,14,40,C2,0,0.0,7
actuated,2x2,high,14,45,B1,1,1.0,9
actuated,2x2,high,14,45,B2,1,1.0,6
actuated,2x2,high,14,45,C1,1,3.0,5
actuated,2x2,high,14,45,C2,0,0.0,8
actuated,2x2,high,14,50,B1,1,6.0,11
actuated,2x2,high,14,50,B2,2,10.0,8
actuated,2x2,high,14,50,C1,3,13.0,7
actuated,2x2,high,14,50,C2,1,1.0,9
actuated,2x2,high,14,55,B1,1,11.0,14
actuated,2x2,high,14,55,B2,1,9.0,8
actuated,2x2,high,14,55,C1,2,14.0,8
actuated,2x2,high,14,55,C2,3,9.0,11
actuated,2x2,high,14,60,B1,0,0.0,15
actuated,2x2,high,14,60,B2,1,5.0,5
actuated,2x2,high,14,60,C1,0,0.0,8
actuated,2x2,high,14,60,C2,1,4.0,10
actuated,2x2,high,14,65,B1,3,7.0,19
actuated,2x2,high,14,65,B2,3,15.0,9
actuated,2x2,high,14,65,C1,0,0.0,7
actuated,2x2,high,14,65,C2,2,12.0,12
actuated,2x2,high,14,70,B1,5,27.0,21
actuated,2x2,high,14,70,B2,2,15.0,10
actuated,2x2,high,14,70,C1,1,4.0,6
actuated,2x2,high,14,70,C2,2,22.0,13
actuated,2x2,high,14,75,B1,6,57.0,22
actuated,2x2,high,14,75,B2,2,4.0,14
actuated,2x2,high,14,75,C1,1,9.0,7
actuated,2x2,high,14,75,C2,2,2.0,12
actuated,2x2,high,14,80,B1,10,97.0,19
actuated,2x2,high,14,80,B2,4,21.0,18
actuated,2x2,high,14,80,C1,1,3.0,9
actuated,2x2,high,14,80,C2,4,15.0,11
actuated,2x2,high,14,85,B1,13,157.0,21
actuated,2x2,high,14,85,B2,7,52.0,21
