controller,grid,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
actuated,2x2,medium,13,5,B1,0,0.0,0
actuated,2x2,medium,13,5,B2,0,0.0,0
actuated,2x2,medium,13,5,C1,0,0.0,0
actuated,2x2,medium,13,5,C2,0,0.0,0
actuated,2x2,medium,13,10,B1,0,0.0,0
actuated,2x2,medium,13,10,B2,0,0.0,1
actuated,2x2,medium,13,10,C1,0,0.0,0
actuated,2x2,medium,13,10,C2,0,0.0,1
actuated,2x2,medium,13,15,B1,0,0.0,0
actuated,2x2,medium,13,15,B2,0,0.0,1
actuated,2x2,medium,13,15,C1,0,0.0,1
actuated,2x2,medium,13,15,C2,0,0.0,1
actuated,2x2,medium,13,20,B1,0,0.0,1
actuated,2x2,medium,13,20,B2,0,0.0,1
actuated,2x2,medium,13,20,C1,0,0.0,3
actuated,2x2,medium,13,20,C2,0,0.0,1
actuated,2x2,medium,13,25,B1,0,0.0,4
actuated,2x2,medium,13,25,B2,0,0.0,1
actuated,2x2,medium,13,25,C1,0,0.0,5
actuated,2x2,medium,13,25,C2,0,0.0,1
actuated,2x2,medium,13,30,B1,0,0.0,6
actuated,2x2,medium,13,30,B2,0,0.0,1
actuated,2x2,medium,13,30,C1,0,0.0,6
actuated,2x2,medium,13,30,C2,0,0.0,1
actuated,2x2,medium,13,35,B1,0,0.0,5
actuated,2x2,medium,13,35,B2,0,0.0,2
actuated,2x2,medium,13,35,C1,1,1.0,5
actuated,2x2,medium,13,35,C2,0,0.0,2
actuated,2x2,medium,13,40,B1,1,1.0,5
actuated,2x2,medium,13,40,B2,0,0.0,3
actuated,2x2,medium,13,40,C1,3,14.0,5
actuated,2x2,medium,13,40,C2,0,0.0,2
actuated,2x2,medium,13,45,B1,1,1.0,5
actuated,2x2,medium,13,45,B2,0,0.0,6
actuated,2x2,medium,13,45,C1,0,0.0,4
actuated,2x2,medium,13,45,C2,0,0.0,2
actuated,2x2,medium,13,50,B1,1,6.0,6
actuated,2x2,medium,13,50,B2,0,0.0,6
actuated,2x2,medium,13,50,C1,1,5.0,5
actuated,2x2,medium,13,50,C2,0,0.0,3
actuated,2x2,medium,13,55,B1,1,11.0,6
actuated,2x2,medium,13,55,B2,1,3.0,6
actuated,2x2,medium,13,55,C1,0,0.0,5
actuated,2x2,medium,13,55,C2,0,0.0,2
actuated,2x2,medium,13,60,B1,0,0.0,7
actuated,2x2,medium,13,60,B2,1,1.0,6
actuated,2x2,medium,13,60,C1,1,2.0,5
actuated,2x2,medium,13,60,C2,1,5.0,5
actuated,2x2,medium,13,65,B1,2,8.0,8
actuated,2x2,medium,13,65,B2,3,10.0,6
actuated,2x2,medium,13,65,C1,2,11.0,5
actuated,2x2,medium,13,65,C2,2,14.0,6
