controller,grid,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
original_fixed,2x2,dynamic,12,5,B1,0,0.0,2
original_fixed,2x2,dynamic,12,5,B2,0,0.0,0
original_fixed,2x2,dynamic,12,5,C1,0,0.0,1
original_fixed,2x2,dynamic,12,5,C2,0,0.0,0
original_fixed,2x2,dynamic,12,10,B1,0,0.0,2
original_fixed,2x2,dynamic,12,10,B2,0,0.0,0
original_fixed,2x2,dynamic,12,10,C1,0,0.0,2
original_fixed,2x2,dynamic,12,10,C2,0,0.0,0
original_fixed,2x2,dynamic,12,15,B1,0,0.0,3
original_fixed,2x2,dynamic,12,15,B2,0,0.0,0
original_fixed,2x2,dynamic,12,15,C1,0,0.0,2
original_fixed,2x2,dynamic,12,15,C2,0,0.0,0
original_fixed,2x2,dynamic,12,20,B1,0,0.0,2
original_fixed,2x2,dynamic,12,20,B2,0,0.0,0
original_fixed,2x2,dynamic,12,20,C1,0,0.0,1
original_fixed,2x2,dynamic,12,20,C2,0,0.0,0
original_fixed,2x2,dynamic,12,25,B1,1,5.0,2
original_fixed,2x2,dynamic,12,25,B2,0,0.0,0
original_fixed,2x2,dynamic,12,25,C1,1,3.0,1
original_fixed,2x2,dynamic,12,25,C2,0,0.0,1
original_fixed,2x2,dynamic,12,30,B1,2,12.0,2
original_fixed,2x2,dynamic,12,30,B2,0,0.0,0
original_fixed,2x2,dynamic,12,30,C1,1,8.0,2
original_fixed,2x2,dynamic,12,30,C2,0,0.0,1
original_fixed,2x2,dynamic,12,35,B1,2,22.0,2
original_fixed,2x2,dynamic,12,35,B2,0,0.0,0
original_fixed,2x2,dynamic,12,35,C1,1,13.0,3
original_fixed,2x2,dynamic,12,35,C2,0,0.0,2
original_fixed,2x2,dynamic,12,40,B1,2,32.0,4
original_fixed,2x2,dynamic,12,40,B2,0,0.0,0
original_fixed,2x2,dynamic,12,40,C1,1,18.0,5
original_fixed,2x2,dynamic,12,40,C2,0,0.0,1
original_fixed,2x2,dynamic,12,45,B1,2,42.0,7
original_fixed,2x2,dynamic,12,45,B2,0,0.0,0
original_fixed,2x2,dynamic,12,45,C1,1,23.0,6
original_fixed,2x2,dynamic,12,45,C2,0,0.0,1
original_fixed,2x2,dynamic,12,50,B1,0,0.0,8
original_fixed,2x2,dynamic,12,50,B2,0,0.0,0
original_fixed,2x2,dynamic,12,50,C1,0,0.0,5
original_fixed,2x2,dynamic,12,50,C2,1,4.0,2
original_fixed,2x2,dynamic,12,55,B1,0,0.0,8
original_fixed,2x2,dynamic,12,55,B2,0,0.0,3
original_fixed,2x2,dynamic,12,55,C1,1,5.0,6
original_fixed,2x2,dynamic,12,55,C2,1,9.0,2
original_fixed,2x2,dynamic,12,60,B1,2,7.0,8
original_fixed,2x2,dynamic,12,60,B2,0,0.0,4
original_fixed,2x2,dynamic,12,60,C1,2,13.0,6
original_fixed,2x2,dynamic,12,60,C2,1,14.0,4
original_fixed,2x2,dynamic,12,65,B1,3,20.0,6
original_fixed,2x2,dynamic,12,65,B2,0,0.0,5
original_fixed,2x2,dynamic,12,65,C1,4,29.0,8
original_fixed,2x2,dynamic,12,65,C2,2,20.0,5
original_fixed,2x2,dynamic,12,70,B1,3,35.0,8
original_fixed,2x2,dynamic,12,70,B2,0,0.0,4
original_fixed,2x2,dynamic,12,70,C1,4,49.0,8
original_fixed,2x2,dynamic,12,70,C2,2,30.0,5
original_fixed,2x2,dynamic,12,75,B1,3,50.0,7
original_fixed,2x2,dynamic,12,75,B2,1,2.0,4
original_fixed,2x2,dynamic,12,75,C1,4,69.0,9
original_fixed,2x2,dynamic,12,75,C2,2,40.0,3
original_fixed,2x2,dynamic,12,80,B1,4,67.0,8
original_fixed,2x2,dynamic,12,80,B2,2,9.0,4
original_fixed,2x2,dynamic,12,80,C1,5,93.0,9
original_fixed,2x2,dynamic,12,80,C2,2,50.0,3
original_fixed,2x2,dynamic,12,85,B1,5,88.0,6
original_fixed,2x2,dynamic,12,85,B2,3,24.0,6
original_fixed,2x2,dynamic,12,85,C1,6,119.0,9
original_fixed,2x2,dynamic,12,85,C2,2,60.0,4
original_fixed,2x2,dynamic,12,90,B1,5,113.0,6
original_fixed,2x2,dynamic,12,90,B2,3,39.0,8
original_fixed,2x2,dynamic,12,90,C1,6,149.0,8
original_fixed,2x2,dynamic,12,90,C2,2,70.0,5
original_fixed,2x2,dynamic,12,95,B1,1,2.0,4
original_fixed,2x2,dynamic,12,95,B2,0,0.0,8
original_fixed,2x2,dynamic,12,95,C1,1,11.0,8
original_fixed,2x2,dynamic,12,95,C2,0,0.0,6
original_fixed,2x2,dynamic,12,100,B1,0,0.0,4
original_fixed,2x2,dynamic,12,100,B2,0,0.0,8
original_fixed,2x2,dynamic,12,100,C1,1,2.0,9
original_fixed,2x2,dynamic,12,100,C2,2,5.0,11
original_fixed,2x2,dynamic,12,105,B1,0,0.0,3
original_fixed,2x2,dynamic,12,105,B2,1,3.0,7
original_fixed,2x2,dynamic,12,105,C1,1,7.0,11
original_fixed,2x2,dynamic,12,105,C2,2,15.0,12
original_fixed,2x2,dynamic,12,110,B1,0,0.0,5
original_fixed,2x2,dynamic,12,110,B2,2,9.0,8
original_fixed,2x2,dynamic,12,110,C1,1,12.0,11
original_fixed,2x2,dynamic,12,110,C2,2,25.0,13
original_fixed,2x2,dynamic,12,115,B1,0,0.0,7
original_fixed,2x2,dynamic,12,115,B2,4,26.0,11
original_fixed,2x2,dynamic,12,115,C1,4,23.0,11
original_fixed,2x2,dynamic,12,115,C2,3,36.0,11
original_fixed,2x2,dynamic,12,120,B1,0,0.0,7
original_fixed,2x2,dynamic,12,120,B2,7,52.0,12
original_fixed,2x2,dynamic,12,120,C1,6,49.0,11
