controller,grid,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
original_fixed,2x2,high,15,5,B1,0,0.0,0
original_fixed,2x2,high,15,5,B2,0,0.0,0
original_fixed,2x2,high,15,5,C1,0,0.0,0
original_fixed,2x2,high,15,5,C2,0,0.0,1
original_fixed,2x2,high,15,10,B1,0,0.0,1
original_fixed,2x2,high,15,10,B2,0,0.0,1
original_fixed,2x2,high,15,10,C1,0,0.0,2
original_fixed,2x2,high,15,10,C2,0,0.0,1
original_fixed,2x2,high,15,15,B1,0,0.0,3
original_fixed,2x2,high,15,15,B2,0,0.0,1
original_fixed,2x2,high,15,15,C1,0,0.0,3
original_fixed,2x2,high,15,15,C2,0,0.0,1
original_fixed,2x2,high,15,20,B1,0,0.0,3
original_fixed,2x2,high,15,20,B2,0,0.0,4
original_fixed,2x2,high,15,20,C1,0,0.0,4
original_fixed,2x2,high,15,20,C2,1,1.0,2
original_fixed,2x2,high,15,25,B1,0,0.0,4
original_fixed,2x2,high,15,25,B2,1,3.0,6
original_fixed,2x2,high,15,25,C1,1,2.0,4
original_fixed,2x2,high,15,25,C2,1,6.0,3
original_fixed,2x2,high,15,30,B1,0,0.0,4
original_fixed,2x2,high,15,30,B2,1,8.0,6
original_fixed,2x2,high,15,30,C1,2,8.0,6
original_fixed,2x2,high,15,30,C2,1,11.0,4
original_fixed,2x2,high,15,35,B1,1,2.0,4
original_fixed,2x2,high,15,35,B2,2,15.0,8
original_fixed,2x2,high,15,35,C1,3,20.0,9
original_fixed,2x2,high,15,35,C2,1,16.0,4
original_fixed,2x2,high,15,40,B1,1,7.0,5
original_fixed,2x2,high,15,40,B2,3,29.0,6
original_fixed,2x2,high,15,40,C1,4,39.0,9
original_fixed,2x2,high,15,40,C2,2,25.0,8
original_fixed,2x2,high,15,45,B1,3,18.0,6
original_fixed,2x2,high,15,45,B2,4,49.0,9
original_fixed,2x2,high,15,45,C1,5,60.0,9
original_fixed,2x2,high,15,45,C2,3,39.0,12
original_fixed,2x2,high,15,50,B1,0,0.0,9
original_fixed,2x2,high,15,50,B2,0,0.0,9
original_fixed,2x2,high,15,50,C1,2,5.0,8
original_fixed,2x2,high,15,50,C2,0,0.0,11
original_fixed,2x2,high,15,55,B1,0,0.0,14
original_fixed,2x2,high,15,55,B2,2,7.0,10
original_fixed,2x2,high,15,55,C1,3,20.0,9
original_fixed,2x2,high,15,55,C2,2,4.0,12
original_fixed,2x2,high,15,60,B1,1,1.0,14
original_fixed,2x2,high,15,60,B2,4,22.0,10
original_fixed,2x2,high,15,60,C1,3,35.0,11
original_fixed,2x2,high,15,60,C2,4,20.0,15
original_fixed,2x2,high,15,65,B1,1,6.0,14
original_fixed,2x2,high,15,65,B2,5,43.0,11
original_fixed,2x2,high,15,65,C1,5,56.0,14
original_fixed,2x2,high,15,65,C2,7,52.0,16
original_fixed,2x2,high,15,70,B1,4,23.0,17
original_fixed,2x2,high,15,70,B2,7,76.0,14
original_fixed,2x2,high,15,70,C1,7,85.0,15
original_fixed,2x2,high,15,70,C2,9,93.0,14
original_fixed,2x2,high,15,75,B1,7,50.0,19
original_fixed,2x2,high,15,75,B2,8,116.0,17
original_fixed,2x2,high,15,75,C1,8,122.0,15
original_fixed,2x2,high,15,75,C2,12,133.0,17
original_fixed,2x2,high,15,80,B1,9,90.0,20
original_fixed,2x2,high,15,80,B2,8,156.0,19
original_fixed,2x2,high,15,80,C1,10,171.0,15
original_fixed,2x2,high,15,80,C2,8,133.0,16
