controller,grid,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
webster_fixed,2x2,high,14,5,B1,0,0.0,0
webster_fixed,2x2,high,14,5,B2,0,0.0,0
webster_fixed,2x2,high,14,5,C1,0,0.0,0
webster_fixed,2x2,high,14,5,C2,0,0.0,1
webster_fixed,2x2,high,14,10,B1,0,0.0,1
webster_fixed,2x2,high,14,10,B2,0,0.0,1
webster_fixed,2x2,high,14,10,C1,0,0.0,2
webster_fixed,2x2,high,14,10,C2,0,0.0,1
webster_fixed,2x2,high,14,15,B1,0,0.0,3
webster_fixed,2x2,high,14,15,B2,0,0.0,1
webster_fixed,2x2,high,14,15,C1,0,0.0,3
webster_fixed,2x2,high,14,15,C2,0,0.0,1
webster_fixed,2x2,high,14,20,B1,0,0.0,5
webster_fixed,2x2,high,14,20,B2,0,0.0,4
webster_fixed,2x2,high,14,20,C1,0,0.0,5
webster_fixed,2x2,high,14,20,C2,0,0.0,0
webster_fixed,2x2,high,14,25,B1,0,0.0,6
webster_fixed,2x2,high,14,25,B2,0,0.0,5
webster_fixed,2x2,high,14,25,C1,0,0.0,4
webster_fixed,2x2,high,14,25,C2,0,0.0,2
webster_fixed,2x2,high,14,30,B1,1,4.0,6
webster_fixed,2x2,high,14,30,B2,0,0.0,5
webster_fixed,2x2,high,14,30,C1,1,3.0,7
webster_fixed,2x2,high,14,30,C2,0,0.0,2
webster_fixed,2x2,high,14,35,B1,0,0.0,4
webster_fixed,2x2,high,14,35,B2,0,0.0,5
webster_fixed,2x2,high,14,35,C1,0,0.0,8
webster_fixed,2x2,high,14,35,C2,0,0.0,2
webster_fixed,2x2,high,14,40,B1,1,5.0,6
webster_fixed,2x2,high,14,40,B2,2,8.0,6
webster_fixed,2x2,high,14,40,C1,2,5.0,7
webster_fixed,2x2,high,14,40,C2,1,1.0,8
webster_fixed,2x2,high,14,45,B1,3,14.0,7
webster_fixed,2x2,high,14,45,B2,3,22.0,7
webster_fixed,2x2,high,14,45,C1,2,15.0,6
webster_fixed,2x2,high,14,45,C2,2,8.0,11
webster_fixed,2x2,high,14,50,B1,3,29.0,9
webster_fixed,2x2,high,14,50,B2,2,10.0,7
webster_fixed,2x2,high,14,50,C1,3,30.0,6
webster_fixed,2x2,high,14,50,C2,2,18.0,13
webster_fixed,2x2,high,14,55,B1,0,0.0,13
webster_fixed,2x2,high,14,55,B2,2,4.0,8
webster_fixed,2x2,high,14,55,C1,0,0.0,6
webster_fixed,2x2,high,14,55,C2,1,1.0,12
webster_fixed,2x2,high,14,60,B1,1,4.0,14
webster_fixed,2x2,high,14,60,B2,2,14.0,8
webster_fixed,2x2,high,14,60,C1,0,0.0,6
webster_fixed,2x2,high,14,60,C2,5,17.0,15
webster_fixed,2x2,high,14,65,B1,3,15.0,18
webster_fixed,2x2,high,14,65,B2,3,20.0,10
webster_fixed,2x2,high,14,65,C1,2,7.0,7
webster_fixed,2x2,high,14,65,C2,8,53.0,16
webster_fixed,2x2,high,14,70,B1,1,1.0,20
webster_fixed,2x2,high,14,70,B2,2,6.0,10
webster_fixed,2x2,high,14,70,C1,1,1.0,7
webster_fixed,2x2,high,14,70,C2,5,29.0,16
webster_fixed,2x2,high,14,75,B1,5,15.0,24
webster_fixed,2x2,high,14,75,B2,4,20.0,12
webster_fixed,2x2,high,14,75,C1,0,0.0,8
webster_fixed,2x2,high,14,75,C2,4,13.0,17
webster_fixed,2x2,high,14,80,B1,12,63.0,24
webster_fixed,2x2,high,14,80,B2,4,40.0,15
webster_fixed,2x2,high,14,80,C1,1,3.0,10
webster_fixed,2x2,high,14,80,C2,9,47.0,18
webster_fixed,2x2,high,14,85,B1,14,113.0,23
webster_fixed,2x2,high,14,85,B2,0,0.0,16
webster_fixed,2x2,high,14,85,C1,2,10.0,13
webster_fixed,2x2,high,14,85,C2,8,61.0,20
webster_fixed,2x2,high,14,90,B1,11,48.0,24
webster_fixed,2x2,high,14,90,B2,2,8.0,15
webster_fixed,2x2,high,14,90,C1,2,4.0,13
webster_fixed,2x2,high,14,90,C2,3,11.0,22
webster_fixed,2x2,high,14,95,B1,6,36.0,27
webster_fixed,2x2,high,14,95,B2,5,29.0,18
webster_fixed,2x2,high,14,95,C1,5,22.0,16
webster_fixed,2x2,high,14,95,C2,9,46.0,24
webster_fixed,2x2,high,14,100,B1,11,84.0,27
webster_fixed,2x2,high,14,100,B2,4,26.0,22
webster_fixed,2x2,high,14,100,C1,6,52.0,19
webster_fixed,2x2,high,14,100,C2,12,102.0,26
webster_fixed,2x2,high,14,105,B1,12,66.0,28
webster_fixed,2x2,high,14,105,B2,4,16.0,22
webster_fixed,2x2,high,14,105,C1,2,13.0,18
webster_fixed,2x2,high,14,105,C2,8,58.0,27
webster_fixed,2x2,high,14,110,B1,11,60.0,26
webster_fixed,2x2,high,14,110,B2,10,53.0,26
webster_fixed,2x2,high,14,110,C1,4,15.0,20
webster_fixed,2x2,high,14,110,C2,10,36.0,27
webster_fixed,2x2,high,14,115,B1,9,77.0,23
webster_fixed,2x2,high,14,115,B2,16,124.0,28
webster_fixed,2x2,high,14,115,C1,9,47.0,22
webster_fixed,2x2,high,14,115,C2,15,99.0,27
webster_fixed,2x2,high,14,120,B1,8,90.0,20
webster_fixed,2x2,high,14,120,B2,9,63.0,28
webster_fixed,2x2,high,14,120,C1,7,42.0,21
webster_fixed,2x2,high,14,120,C2,15,136.0,26
webster_fixed,2x2,high,14,125,B1,8,20.0,23
webster_fixed,2x2,high,14,125,B2,6,22.0,27
webster_fixed,2x2,high,14,125,C1,6,15.0,21
webster_fixed,2x2,high,14,125,C2,9,58.0,28
webster_fixed,2x2,high,14,130,B1,11,62.0,26
webster_fixed,2x2,high,14,130,B2,8,39.0,28
webster_fixed,2x2,high,14,130,C1,8,42.0,24
webster_fixed,2x2,high,14,130,C2,13,70.0,27
webster_fixed,2x2,high,14,135,B1,12,115.0,27
webster_fixed,2x2,high,14,135,B2,4,16.0,26
webster_fixed,2x2,high,14,135,C1,11,82.0,26
webster_fixed,2x2,high,14,135,C2,13,117.0,31
webster_fixed,2x2,high,14,140,B1,8,53.0,31
webster_fixed,2x2,high,14,140,B2,4,10.0,24
webster_fixed,2x2,high,14,140,C1,7,27.0,26
webster_fixed,2x2,high,14,140,C2,8,52.0,32
webster_fixed,2x2,high,14,145,B1,8,38.0,28
webster_fixed,2x2,high,14,145,B2,10,50.0,23
webster_fixed,2x2,high,14,145,C1,8,46.0,28
webster_fixed,2x2,high,14,145,C2,13,61.0,36
webster_fixed,2x2,high,14,150,B1,11,83.0,27
webster_fixed,2x2,high,14,150,B2,10,61.0,22
webster_fixed,2x2,high,14,150,C1,13,104.0,32
webster_fixed,2x2,high,14,150,C2,20,147.0,37
webster_fixed,2x2,high,14,155,B1,11,86.0,27
webster_fixed,2x2,high,14,155,B2,9,38.0,24
webster_fixed,2x2,high,14,155,C1,14,88.0,34
webster_fixed,2x2,high,14,155,C2,20,169.0,40
webster_fixed,2x2,high,14,160,B1,11,59.0,31
webster_fixed,2x2,high,14,160,B2,8,53.0,25
webster_fixed,2x2,high,14,160,C1,8,31.0,32
webster_fixed,2x2,high,14,160,C2,16,111.0,39
webster_fixed,2x2,high,14,165,B1,15,91.0,33
webster_fixed,2x2,high,14,165,B2,9,97.0,25
webster_fixed,2x2,high,14,165,C1,12,78.0,30
webster_fixed,2x2,high,14,165,C2,17,100.0,37
webster_fixed,2x2,high,14,170,B1,17,146.0,35
webster_fixed,2x2,high,14,170,B2,4,13.0,24
webster_fixed,2x2,high,14,170,C1,17,156.0,28
webster_fixed,2x2,high,14,170,C2,23,152.0,38
webster_fixed,2x2,high,14,175,B1,13,62.0,34
webster_fixed,2x2,high,14,175,B2,9,38.0,24
webster_fixed,2x2,high,14,175,C1,14,84.0,31
webster_fixed,2x2,high,14,175,C2,12,54.0,38
webster_fixed,2x2,high,14,180,B1,11,56.0,33
webster_fixed,2x2,high,14,180,B2,17,102.0,27
webster_fixed,2x2,high,14,180,C1,12,74.0,32
webster_fixed,2x2,high,14,180,C2,16,74.0,39
webster_fixed,2x2,high,14,185,B1,19,136.0,36
webster_fixed,2x2,high,14,185,B2,13,74.0,27
webster_fixed,2x2,high,14,185,C1,14,105.0,35
webster_fixed,2x2,high,14,185,C2,23,179.0,41
webster_fixed,2x2,high,14,190,B1,19,122.0,36
webster_fixed,2x2,high,14,190,B2,12,83.0,25
webster_fixed,2x2,high,14,190,C1,12,46.0,40
webster_fixed,2x2,high,14,190,C2,20,146.0,43
webster_fixed,2x2,high,14,195,B1,15,82.0,40
webster_fixed,2x2,high,14,195,B2,12,97.0,23
webster_fixed,2x2,high,14,195,C1,16,60.0,43
webster_fixed,2x2,high,14,195,C2,17,110.0,44
webster_fixed,2x2,high,14,200,B1,19,106.0,43
webster_fixed,2x2,high,14,200,B2,11,101.0,22
webster_fixed,2x2,high,14,200,C1,21,129.0,44
webster_fixed,2x2,high,14,200,C2,20,113.0,43
webster_fixed,2x2,high,14,205,B1,20,111.0,43
webster_fixed,2x2,high,14,205,B2,10,53.0,22
webster_fixed,2x2,high,14,205,C1,24,172.0,43
webster_fixed,2x2,high,14,205,C2,20,134.0,43
webster_fixed,2x2,high,14,210,B1,14,68.0,43
webster_fixed,2x2,high,14,210,B2,10,60.0,23
webster_fixed,2x2,high,14,210,C1,22,106.0,44
webster_fixed,2x2,high,14,210,C2,16,80.0,46
webster_fixed,2x2,high,14,215,B1,18,99.0,44
webster_fixed,2x2,high,14,215,B2,7,53.0,24
webster_fixed,2x2,high,14,215,C1,16,109.0,43
webster_fixed,2x2,high,14,215,C2,14,73.0,49
webster_fixed,2x2,high,14,220,B1,24,192.0,46
webster_fixed,2x2,high,14,220,B2,7,19.0,27
webster_fixed,2x2,high,14,220,C1,20,147.0,44
webster_fixed,2x2,high,14,220,C2,20,148.0,51
webster_fixed,2x2,high,14,225,B1,22,156.0,46
webster_fixed,2x2,high,14,225,B2,14,74.0,26
webster_fixed,2x2,high,14,225,C1,16,88.0,43
webster_fixed,2x2,high,14,225,C2,25,148.0,53
webster_fixed,2x2,high,14,230,B1,23,136.0,45
webster_fixed,2x2,high,14,230,B2,17,151.0,29
webster_fixed,2x2,high,14,230,C1,16,82.0,43
webster_fixed,2x2,high,14,230,C2,28,179.0,53
webster_fixed,2x2,high,14,235,B1,19,137.0,48
webster_fixed,2x2,high,14,235,B2,13,100.0,28
webster_fixed,2x2,high,14,235,C1,22,161.0,44
webster_fixed,2x2,high,14,235,C2,32,205.0,55
webster_fixed,2x2,high,14,240,B1,16,129.0,47
webster_fixed,2x2,high,14,240,B2,11,54.0,30
webster_fixed,2x2,high,14,240,C1,23,172.0,44
webster_fixed,2x2,high,14,240,C2,24,166.0,57
