controller,grid,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
original_fixed,3x3,medium,11,5,B1,0,0.0,0
original_fixed,3x3,medium,11,5,B2,0,0.0,0
original_fixed,3x3,medium,11,5,B3,0,0.0,1
original_fixed,3x3,medium,11,5,C1,0,0.0,0
original_fixed,3x3,medium,11,5,C2,0,0.0,0
original_fixed,3x3,medium,11,5,C3,0,0.0,0
original_fixed,3x3,medium,11,5,D1,0,0.0,0
original_fixed,3x3,medium,11,5,D2,0,0.0,0
original_fixed,3x3,medium,11,5,D3,0,0.0,1
original_fixed,3x3,medium,11,10,B1,0,0.0,0
original_fixed,3x3,medium,11,10,B2,0,0.0,0
original_fixed,3x3,medium,11,10,B3,0,0.0,1
original_fixed,3x3,medium,11,10,C1,0,0.0,0
original_fixed,3x3,medium,11,10,C2,0,0.0,0
original_fixed,3x3,medium,11,10,C3,0,0.0,0
original_fixed,3x3,medium,11,10,D1,0,0.0,0
original_fixed,3x3,medium,11,10,D2,0,0.0,0
original_fixed,3x3,medium,11,10,D3,0,0.0,1
original_fixed,3x3,medium,11,15,B1,0,0.0,0
original_fixed,3x3,medium,11,15,B2,0,0.0,1
original_fixed,3x3,medium,11,15,B3,0,0.0,1
original_fixed,3x3,medium,11,15,C1,0,0.0,0
original_fixed,3x3,medium,11,15,C2,0,0.0,0
original_fixed,3x3,medium,11,15,C3,0,0.0,1
original_fixed,3x3,medium,11,15,D1,0,0.0,0
original_fixed,3x3,medium,11,15,D2,0,0.0,0
original_fixed,3x3,medium,11,15,D3,0,0.0,1
original_fixed,3x3,medium,11,20,B1,0,0.0,0
original_fixed,3x3,medium,11,20,B2,0,0.0,2
original_fixed,3x3,medium,11,20,B3,0,0.0,1
original_fixed,3x3,medium,11,20,C1,0,0.0,0
original_fixed,3x3,medium,11,20,C2,0,0.0,0
original_fixed,3x3,medium,11,20,C3,0,0.0,1
original_fixed,3x3,medium,11,20,D1,0,0.0,0
original_fixed,3x3,medium,11,20,D2,0,0.0,1
original_fixed,3x3,medium,11,20,D3,0,0.0,0
original_fixed,3x3,medium,11,25,B1,0,0.0,1
original_fixed,3x3,medium,11,25,B2,0,0.0,3
original_fixed,3x3,medium,11,25,B3,0,0.0,1
original_fixed,3x3,medium,11,25,C1,0,0.0,0
original_fixed,3x3,medium,11,25,C2,0,0.0,1
original_fixed,3x3,medium,11,25,C3,0,0.0,1
original_fixed,3x3,medium,11,25,D1,0,0.0,2
original_fixed,3x3,medium,11,25,D2,0,0.0,2
original_fixed,3x3,medium,11,25,D3,0,0.0,0
original_fixed,3x3,medium,11,30,B1,0,0.0,2
original_fixed,3x3,medium,11,30,B2,0,0.0,2
original_fixed,3x3,medium,11,30,B3,0,0.0,2
original_fixed,3x3,medium,11,30,C1,0,0.0,0
