controller,grid,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
dqn,2x2,high,11,5,B1,0,0.0,0
dqn,2x2,high,11,5,B2,0,0.0,0
dqn,2x2,high,11,5,C1,0,0.0,0
dqn,2x2,high,11,5,C2,0,0.0,1
dqn,2x2,high,11,10,B1,0,0.0,1
dqn,2x2,high,11,10,B2,0,0.0,1
dqn,2x2,high,11,10,C1,0,0.0,2
dqn,2x2,high,11,10,C2,0,0.0,1
dqn,2x2,high,11,15,B1,0,0.0,3
dqn,2x2,high,11,15,B2,0,0.0,1
dqn,2x2,high,11,15,C1,0,0.0,3
dqn,2x2,high,11,15,C2,0,0.0,1
dqn,2x2,high,11,20,B1,0,0.0,4
dqn,2x2,high,11,20,B2,0,0.0,3
dqn,2x2,high,11,20,C1,0,0.0,5
dqn,2x2,high,11,20,C2,0,0.0,1
dqn,2x2,high,11,25,B1,0,0.0,5
dqn,2x2,high,11,25,B2,0,0.0,5
dqn,2x2,high,11,25,C1,0,0.0,4
dqn,2x2,high,11,25,C2,0,0.0,2
dqn,2x2,high,11,30,B1,0,0.0,5
dqn,2x2,high,11,30,B2,0,0.0,5
dqn,2x2,high,11,30,C1,0,0.0,6
dqn,2x2,high,11,30,C2,0,0.0,2
dqn,2x2,high,11,35,B1,0,0.0,5
dqn,2x2,high,11,35,B2,1,1.0,6
dqn,2x2,high,11,35,C1,0,0.0,7
dqn,2x2,high,11,35,C2,0,0.0,4
dqn,2x2,high,11,40,B1,1,4.0,8
dqn,2x2,high,11,40,B2,3,11.0,5
dqn,2x2,high,11,40,C1,2,5.0,6
dqn,2x2,high,11,40,C2,2,5.0,8
dqn,2x2,high,11,45,B1,0,0.0,6
dqn,2x2,high,11,45,B2,0,0.0,5
dqn,2x2,high,11,45,C1,0,0.0,6
dqn,2x2,high,11,45,C2,0,0.0,10
dqn,2x2,high,11,50,B1,0,0.0,10
dqn,2x2,high,11,50,B2,1,2.0,8
dqn,2x2,high,11,50,C1,2,4.0,5
dqn,2x2,high,11,50,C2,1,2.0,12
dqn,2x2,high,11,55,B1,0,0.0,10
dqn,2x2,high,11,55,B2,1,7.0,8
dqn,2x2,high,11,55,C1,3,15.0,9
dqn,2x2,high,11,55,C2,4,16.0,15
dqn,2x2,high,11,60,B1,0,0.0,12
dqn,2x2,high,11,60,B2,1,2.0,6
dqn,2x2,high,11,60,C1,0,0.0,10
dqn,2x2,high,11,60,C2,2,8.0,15
dqn,2x2,high,11,65,B1,3,7.0,13
dqn,2x2,high,11,65,B2,3,11.0,9
dqn,2x2,high,11,65,C1,0,0.0,11
dqn,2x2,high,11,65,C2,3,12.0,15
dqn,2x2,high,11,70,B1,4,23.0,14
dqn,2x2,high,11,70,B2,4,30.0,10
dqn,2x2,high,11,70,C1,3,10.0,13
dqn,2x2,high,11,70,C2,4,32.0,16
dqn,2x2,high,11,75,B1,3,8.0,16
dqn,2x2,high,11,75,B2,1,9.0,13
dqn,2x2,high,11,75,C1,1,7.0,10
dqn,2x2,high,11,75,C2,6,26.0,16
dqn,2x2,high,11,80,B1,6,21.0,21
dqn,2x2,high,11,80,B2,2,5.0,14
dqn,2x2,high,11,80,C1,4,13.0,9
dqn,2x2,high,11,80,C2,5,16.0,18
dqn,2x2,high,11,85,B1,8,55.0,22
dqn,2x2,high,11,85,B2,5,29.0,16
dqn,2x2,high,11,85,C1,5,37.0,9
dqn,2x2,high,11,85,C2,10,52.0,20
dqn,2x2,high,11,90,B1,7,45.0,22
dqn,2x2,high,11,90,B2,2,7.0,16
dqn,2x2,high,11,90,C1,2,12.0,10
dqn,2x2,high,11,90,C2,6,35.0,22
dqn,2x2,high,11,95,B1,8,27.0,23
dqn,2x2,high,11,95,B2,6,25.0,16
dqn,2x2,high,11,95,C1,2,3.0,10
dqn,2x2,high,11,95,C2,6,22.0,20
dqn,2x2,high,11,100,B1,11,75.0,22
dqn,2x2,high,11,100,B2,10,65.0,20
