controller,grid,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
dqn,2x2,low,11,5,B1,0,0.0,0
dqn,2x2,low,11,5,B2,0,0.0,0
dqn,2x2,low,11,5,C1,0,0.0,0
dqn,2x2,low,11,5,C2,0,0.0,0
dqn,2x2,low,11,10,B1,0,0.0,0
dqn,2x2,low,11,10,B2,0,0.0,0
dqn,2x2,low,11,10,C1,0,0.0,0
dqn,2x2,low,11,10,C2,0,0.0,0
dqn,2x2,low,11,15,B1,0,0.0,0
dqn,2x2,low,11,15,B2,0,0.0,0
dqn,2x2,low,11,15,C1,0,0.0,0
dqn,2x2,low,11,15,C2,0,0.0,1
dqn,2x2,low,11,20,B1,0,0.0,0
dqn,2x2,low,11,20,B2,0,0.0,0
dqn,2x2,low,11,20,C1,0,0.0,1
dqn,2x2,low,11,20,C2,0,0.0,1
dqn,2x2,low,11,25,B1,0,0.0,1
dqn,2x2,low,11,25,B2,0,0.0,2
dqn,2x2,low,11,25,C1,0,0.0,1
dqn,2x2,low,11,25,C2,0,0.0,1
dqn,2x2,low,11,30,B1,0,0.0,1
dqn,2x2,low,11,30,B2,0,0.0,2
dqn,2x2,low,11,30,C1,0,0.0,1
dqn,2x2,low,11,30,C2,0,0.0,2
dqn,2x2,low,11,35,B1,0,0.0,1
dqn,2x2,low,11,35,B2,0,0.0,2
dqn,2x2,low,11,35,C1,0,0.0,2
dqn,2x2,low,11,35,C2,1,5.0,2
dqn,2x2,low,11,40,B1,0,0.0,3
dqn,2x2,low,11,40,B2,1,2.0,1
dqn,2x2,low,11,40,C1,1,3.0,2
dqn,2x2,low,11,40,C2,0,0.0,1
dqn,2x2,low,11,45,B1,1,5.0,3
dqn,2x2,low,11,45,B2,0,0.0,1
dqn,2x2,low,11,45,C1,0,0.0,3
dqn,2x2,low,11,45,C2,0,0.0,1
dqn,2x2,low,11,50,B1,0,0.0,5
dqn,2x2,low,11,50,B2,0,0.0,1
dqn,2x2,low,11,50,C1,0,0.0,4
dqn,2x2,low,11,50,C2,0,0.0,1
dqn,2x2,low,11,55,B1,0,0.0,7
dqn,2x2,low,11,55,B2,0,0.0,1
dqn,2x2,low,11,55,C1,0,0.0,4
dqn,2x2,low,11,55,C2,0,0.0,1
dqn,2x2,low,11,60,B1,1,4.0,7
dqn,2x2,low,11,60,B2,0,0.0,0
dqn,2x2,low,11,60,C1,1,1.0,5
dqn,2x2,low,11,60,C2,0,0.0,0
dqn,2x2,low,11,65,B1,2,4.0,5
dqn,2x2,low,11,65,B2,0,0.0,0
dqn,2x2,low,11,65,C1,0,0.0,3
dqn,2x2,low,11,65,C2,0,0.0,0
dqn,2x2,low,11,70,B1,3,15.0,6
dqn,2x2,low,11,70,B2,0,0.0,1
dqn,2x2,low,11,70,C1,0,0.0,2
dqn,2x2,low,11,70,C2,0,0.0,2
dqn,2x2,low,11,75,B1,4,32.0,6
dqn,2x2,low,11,75,B2,0,0.0,1
dqn,2x2,low,11,75,C1,0,0.0,2
dqn,2x2,low,11,75,C2,0,0.0,2
dqn,2x2,low,11,80,B1,0,0.0,4
dqn,2x2,low,11,80,B2,0,0.0,1
dqn,2x2,low,11,80,C1,0,0.0,1
dqn,2x2,low,11,80,C2,0,0.0,3
dqn,2x2,low,11,85,B1,0,0.0,1
dqn,2x2,low,11,85,B2,0,0.0,4
dqn,2x2,low,11,85,C1,0,0.0,3
dqn,2x2,low,11,85,C2,1,3.0,3
dqn,2x2,low,11,90,B1,0,0.0,0
dqn,2x2,low,11,90,B2,1,5.0,5
dqn,2x2,low,11,90,C1,0,0.0,3
