controller,grid,scenario,seed,time,intersection,queue_length,waiting_time,vehicle_count
ppo,2x2,high,15,5,B1,0,0.0,0
ppo,2x2,high,15,5,B2,0,0.0,0
ppo,2x2,high,15,5,C1,0,0.0,0
ppo,2x2,high,15,5,C2,0,0.0,1
ppo,2x2,high,15,10,B1,0,0.0,1
ppo,2x2,high,15,10,B2,0,0.0,1
ppo,2x2,high,15,10,C1,0,0.0,2
ppo,2x2,high,15,10,C2,0,0.0,1
ppo,2x2,high,15,15,B1,0,0.0,3
ppo,2x2,high,15,15,B2,0,0.0,1
ppo,2x2,high,15,15,C1,0,0.0,3
ppo,2x2,high,15,15,C2,0,0.0,1
ppo,2x2,high,15,20,B1,0,0.0,3
ppo,2x2,high,15,20,B2,0,0.0,4
ppo,2x2,high,15,20,C1,0,0.0,5
ppo,2x2,high,15,20,C2,0,0.0,1
ppo,2x2,high,15,25,B1,0,0.0,5
ppo,2x2,high,15,25,B2,0,0.0,5
ppo,2x2,high,15,25,C1,1,2.0,5
ppo,2x2,high,15,25,C2,0,0.0,2
ppo,2x2,high,15,30,B1,0,0.0,5
ppo,2x2,high,15,30,B2,0,0.0,5
ppo,2x2,high,15,30,C1,2,8.0,7
ppo,2x2,high,15,30,C2,0,0.0,3
ppo,2x2,high,15,35,B1,1,2.0,5
ppo,2x2,high,15,35,B2,1,4.0,7
ppo,2x2,high,15,35,C1,3,20.0,10
ppo,2x2,high,15,35,C2,0,0.0,2
ppo,2x2,high,15,40,B1,1,7.0,6
ppo,2x2,high,15,40,B2,2,13.0,7
ppo,2x2,high,15,40,C1,4,39.0,9
ppo,2x2,high,15,40,C2,0,0.0,6
ppo,2x2,high,15,45,B1,3,18.0,8
ppo,2x2,high,15,45,B2,0,0.0,8
ppo,2x2,high,15,45,C1,4,59.0,8
ppo,2x2,high,15,45,C2,1,4.0,10
ppo,2x2,high,15,50,B1,3,33.0,12
ppo,2x2,high,15,50,B2,1,3.0,8
ppo,2x2,high,15,50,C1,5,84.0,7
ppo,2x2,high,15,50,C2,1,9.0,13
ppo,2x2,high,15,55,B1,4,49.0,16
ppo,2x2,high,15,55,B2,2,12.0,9
ppo,2x2,high,15,55,C1,5,109.0,11
ppo,2x2,high,15,55,C2,3,17.0,14
ppo,2x2,high,15,60,B1,6,75.0,18
ppo,2x2,high,15,60,B2,1,1.0,7
ppo,2x2,high,15,60,C1,5,134.0,12
ppo,2x2,high,15,60,C2,4,36.0,15
ppo,2x2,high,15,65,B1,8,112.0,20
