algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_C1,reward_C2
dqn,2x2,dynamic,1,360,-201.0250000000001,0.9902557142857142,-165.7000000000001,-186.59999999999994,-203.7000000000002,-248.10000000000008
dqn,2x2,dynamic,2,720,-185.525,0.9804842857142857,-154.3,-166.59999999999997,-180.00000000000003,-241.20000000000002
dqn,2x2,dynamic,3,1080,-224.39999999999998,0.9707128571428572,-156.50000000000014,-204.5999999999999,-260.3999999999999,-276.0999999999999
dqn,2x2,dynamic,4,1440,-187.175,0.9609414285714286,-158.59999999999997,-170.90000000000006,-248.10000000000014,-171.09999999999994
dqn,2x2,dynamic,5,1800,-198.3500000000001,0.95117,-188.20000000000007,-184.00000000000014,-183.70000000000016,-237.50000000000014
dqn,2x2,dynamic,6,2160,-179.85000000000008,0.9413985714285714,-161.1,-192.3000000000001,-199.6,-166.40000000000015
dqn,2x2,dynamic,7,2520,-203.3750000000001,0.9316271428571429,-190.80000000000004,-133.90000000000018,-170.60000000000025,-318.19999999999993
dqn,2x2,dynamic,8,2880,-175.825,0.9218557142857142,-141.59999999999997,-157.10000000000002,-222.10000000000002,-182.50000000000003
dqn,2x2,dynamic,9,3240,-203.7000000000001,0.9120842857142857,-133.1,-177.90000000000006,-234.00000000000006,-269.8000000000003
dqn,2x2,dynamic,10,3600,-171.05000000000007,0.9023128571428571,-136.39999999999998,-166.50000000000034,-177.79999999999995,-203.50000000000006
dqn,2x2,dynamic,11,3960,-185.69999999999996,0.8925414285714286,-131.89999999999998,-141.39999999999998,-263.8999999999999,-205.6
dqn,2x2,dynamic,12,4320,-188.32500000000005,0.88277,-189.79999999999976,-173.6000000000002,-185.50000000000014,-204.40000000000015
dqn,2x2,dynamic,13,4680,-160.40000000000003,0.8729985714285714,-139.3,-157.60000000000008,-182.0,-162.7
dqn,2x2,dynamic,14,5040,-234.70000000000005,0.8632271428571429,-191.40000000000026,-207.7000000000001,-230.89999999999995,-308.7999999999999
dqn,2x2,dynamic,15,5400,-218.97500000000008,0.8534557142857143,-134.00000000000006,-204.00000000000014,-337.8000000000001,-200.09999999999994
dqn,2x2,dynamic,16,5760,-197.00000000000003,0.8436842857142858,-226.2999999999999,-132.80000000000004,-147.30000000000007,-281.60000000000014
dqn,2x2,dynamic,17,6120,-169.87499999999994,0.8339128571428571,-160.3,-142.0,-235.39999999999992,-141.7999999999998
dqn,2x2,dynamic,18,6480,-199.10000000000002,0.8241414285714286,-175.49999999999997,-158.1999999999999,-194.6,-268.10000000000025
dqn,2x2,dynamic,19,6840,-177.27499999999995,0.81437,-166.09999999999988,-195.99999999999994,-171.20000000000005,-175.79999999999995
dqn,2x2,dynamic,20,7200,-196.6500000000001,0.8045985714285715,-143.00000000000003,-246.60000000000022,-182.5000000000001,-214.5
dqn,2x2,dynamic,21,7560,-185.7000000000001,0.7948271428571428,-147.5,-184.2000000000002,-244.20000000000005,-166.90000000000015
dqn,2x2,dynamic,22,7920,-187.57500000000005,0.7850557142857143,-145.30000000000015,-120.60000000000004,-261.3999999999999,-222.99999999999994
dqn,2x2,dynamic,23,8280,-208.95000000000005,0.7752842857142858,-171.80000000000007,-140.80000000000004,-241.50000000000009,-281.6999999999999
dqn,2x2,dynamic,24,8640,-221.30000000000004,0.7655128571428571,-155.89999999999986,-156.20000000000002,-224.3000000000002,-348.80000000000007
dqn,2x2,dynamic,25,9000,-152.37500000000003,0.7557414285714286,-132.0999999999999,-150.00000000000009,-149.90000000000012,-177.50000000000003
dqn,2x2,dynamic,26,9360,-181.5000000000001,0.74597,-164.89999999999998,-186.7000000000003,-187.3000000000002,-187.1
dqn,2x2,dynamic,27,9720,-177.02500000000012,0.7361985714285715,-169.3,-186.10000000000005,-186.1000000000001,-166.60000000000025
dqn,2x2,dynamic,28,10080,-154.72500000000002,0.7264271428571429,-153.0000000000001,-138.79999999999995,-186.20000000000007,-140.89999999999995
dqn,2x2,dynamic,29,10440,-172.92499999999993,0.7166557142857144,-167.39999999999992,-177.19999999999985,-186.90000000000003,-160.19999999999993
dqn,2x2,dynamic,30,10800,-157.2,0.7068842857142857,-143.20000000000007,-166.20000000000007,-174.99999999999986,-144.40000000000003
dqn,2x2,dynamic,31,11160,-179.10000000000005,0.6971128571428572,-185.3,-187.0,-184.20000000000007,-159.90000000000006
dqn,2x2,dynamic,32,11520,-168.02500000000003,0.6873414285714285,-175.79999999999998,-163.80000000000004,-228.39999999999998,-104.1000000000001
dqn,2x2,dynamic,33,11880,-164.75000000000003,0.67757,-164.9000000000001,-149.20000000000005,-174.20000000000002,-170.69999999999996
dqn,2x2,dynamic,34,12240,-138.27500000000003,0.6677985714285715,-170.79999999999987,-122.50000000000001,-148.40000000000012,-111.40000000000003
dqn,2x2,dynamic,35,12600,-158.3500000000001,0.6580271428571429,-146.90000000000006,-121.50000000000009,-171.60000000000014,-193.40000000000012
dqn,2x2,dynamic,36,12960,-152.07500000000002,0.6482557142857144,-133.4,-144.40000000000012,-154.50000000000003,-175.9999999999999
dqn,2x2,dynamic,37,13320,-156.07500000000007,0.6384842857142857,-158.20000000000005,-175.00000000000003,-140.30000000000007,-150.80000000000018
dqn,2x2,dynamic,38,13680,-169.60000000000002,0.6287128571428572,-141.40000000000006,-134.99999999999991,-274.10000000000014,-127.89999999999999
