algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_C1,reward_C2
dqn,2x2,high,1,360,-10566.499999999998,0.9902557142857142,-8646.999999999967,-7715.500000000006,-18478.600000000013,-7424.899999999999
dqn,2x2,high,2,720,-7908.025000000006,0.9804842857142857,-7557.700000000011,-6552.699999999997,-7837.400000000003,-9684.300000000014
dqn,2x2,high,3,1080,-11804.174999999987,0.9707128571428572,-10457.29999999999,-10889.099999999982,-14648.599999999982,-11221.69999999999
dqn,2x2,high,4,1440,-10713.15000000001,0.9609414285714286,-6503.000000000018,-12531.199999999984,-9369.700000000017,-14448.70000000002
dqn,2x2,high,5,1800,-9707.024999999998,0.95117,-9111.199999999993,-8154.200000000008,-9586.600000000002,-11976.09999999999
dqn,2x2,high,6,2160,-10893.499999999995,0.9413985714285714,-15298.899999999987,-9590.000000000018,-8854.499999999993,-9830.599999999986
dqn,2x2,high,7,2520,-10302.025000000001,0.9316271428571429,-10318.30000000001,-11285.000000000002,-8344.599999999993,-11260.200000000003
dqn,2x2,high,8,2880,-10834.325000000008,0.9218557142857142,-13333.29999999999,-9066.800000000007,-12706.500000000018,-8230.700000000008
dqn,2x2,high,9,3240,-9832.500000000007,0.9120842857142857,-9009.500000000013,-9842.999999999993,-10617.399999999983,-9860.100000000039
dqn,2x2,high,10,3600,-11071.699999999992,0.9023128571428571,-9641.999999999975,-8758.299999999985,-16458.899999999976,-9427.600000000028
dqn,2x2,high,11,3960,-9828.4,0.8925414285714286,-8550.399999999974,-10818.099999999988,-12681.200000000032,-7263.900000000001
dqn,2x2,high,12,4320,-9131.324999999999,0.88277,-7782.599999999983,-7163.1000000000195,-8242.800000000008,-13336.799999999987
dqn,2x2,high,13,4680,-9050.299999999988,0.8729985714285714,-7563.099999999998,-12014.599999999982,-8201.799999999996,-8421.699999999979
dqn,2x2,high,14,5040,-10152.775000000003,0.8632271428571429,-9537.500000000007,-9160.700000000003,-10996.10000000001,-10916.799999999992
dqn,2x2,high,15,5400,-9075.400000000005,0.8534557142857143,-6845.099999999993,-8397.000000000005,-8970.400000000029,-12089.099999999991
dqn,2x2,high,16,5760,-11676.825000000004,0.8436842857142858,-10818.400000000018,-8248.199999999992,-15195.599999999986,-12445.100000000024
dqn,2x2,high,17,6120,-10732.449999999999,0.8339128571428571,-12552.700000000024,-11582.09999999997,-7793.600000000025,-11001.399999999978
dqn,2x2,high,18,6480,-11239.449999999997,0.8241414285714286,-9243.299999999994,-9683.000000000002,-12614.899999999981,-13416.60000000001
dqn,2x2,high,19,6840,-9387.574999999986,0.81437,-9915.599999999975,-11557.499999999978,-8966.39999999999,-7110.800000000003
dqn,2x2,high,20,7200,-10139.324999999999,0.8045985714285715,-10109.999999999978,-11846.49999999999,-9804.300000000003,-8796.50000000002
dqn,2x2,high,21,7560,-10340.25,0.7948271428571428,-9757.299999999997,-12757.100000000019,-7868.79999999999,-10977.799999999994
dqn,2x2,high,22,7920,-9971.749999999985,0.7850557142857143,-9793.300000000001,-7572.9000000000015,-11313.499999999985,-11207.299999999952
dqn,2x2,high,23,8280,-9288.075,0.7752842857142858,-7777.0,-9132.300000000003,-9851.399999999978,-10391.60000000002
dqn,2x2,high,24,8640,-10116.350000000004,0.7655128571428571,-11167.499999999989,-10304.900000000025,-9332.400000000023,-9660.599999999977
dqn,2x2,high,25,9000,-9857.749999999996,0.7557414285714286,-13170.00000000001,-10399.999999999985,-7378.300000000006,-8482.699999999984
dqn,2x2,high,26,9360,-10701.325000000012,0.74597,-12251.800000000021,-10158.300000000008,-9723.000000000011,-10672.200000000004
dqn,2x2,high,27,9720,-9968.049999999997,0.7361985714285715,-13055.900000000005,-8678.900000000009,-10634.600000000008,-7502.799999999969
dqn,2x2,high,28,10080,-11908.424999999996,0.7264271428571429,-13757.500000000005,-12646.699999999997,-10635.199999999977,-10594.3
dqn,2x2,high,29,10440,-10199.949999999993,0.7166557142857144,-10214.400000000007,-6571.6,-10435.999999999956,-13577.800000000014
dqn,2x2,high,30,10800,-11427.47500000001,0.7068842857142857,-14145.499999999989,-9567.900000000005,-11781.300000000043,-10215.199999999999
dqn,2x2,high,31,11160,-8270.199999999999,0.6971128571428572,-8663.09999999999,-9826.899999999994,-7194.600000000011,-7396.199999999997
dqn,2x2,high,32,11520,-9136.924999999994,0.6873414285714285,-7792.599999999987,-9743.19999999999,-8971.099999999973,-10040.800000000023
dqn,2x2,high,33,11880,-10699.44999999999,0.67757,-9537.29999999999,-8865.799999999987,-14734.099999999995,-9660.599999999988
dqn,2x2,high,34,12240,-10506.874999999998,0.6677985714285715,-8764.29999999999,-16169.499999999975,-9451.800000000017,-7641.9000000000115
dqn,2x2,high,35,12600,-9041.800000000007,0.6580271428571429,-9945.200000000003,-8011.799999999997,-10073.999999999998,-8136.2000000000235
dqn,2x2,high,36,12960,-9188.625,0.6482557142857144,-11436.200000000013,-6783.499999999995,-10686.699999999995,-7848.1
dqn,2x2,high,37,13320,-9590.625000000007,0.6384842857142857,-8062.699999999993,-9565.79999999999,-7248.900000000014,-13485.100000000031
dqn,2x2,high,38,13680,-9517.399999999998,0.6287128571428572,-7189.599999999996,-7819.599999999994,-8786.500000000022,-14273.899999999981
dqn,2x2,high,39,14040,-10190.024999999985,0.6189414285714285,-11198.79999999998,-11435.299999999974,-10303.099999999991,-7822.899999999994
dqn,2x2,high,40,14400,-8832.799999999997,0.60917,-9377.800000000008,-10646.300000000023,-7328.799999999955,-7978.300000000001
dqn,2x2,high,41,14760,-9578.450000000004,0.5993985714285714,-8101.30000000001,-5987.3,-11243.200000000008,-12982.0
dqn,2x2,high,42,15120,-9447.500000000011,0.5896271428571429,-5480.000000000026,-9258.299999999981,-12759.900000000023,-10291.800000000012
dqn,2x2,high,43,15480,-11298.724999999999,0.5798557142857144,-10581.500000000007,-11354.8,-11414.29999999999,-11844.3
dqn,2x2,high,44,15840,-10246.774999999996,0.5700842857142858,-10484.099999999993,-10320.199999999999,-9888.000000000004,-10294.79999999999
dqn,2x2,high,45,16200,-8058.475000000004,0.5603128571428572,-8910.700000000015,-7232.300000000016,-7287.599999999996,-8803.299999999988
dqn,2x2,high,46,16560,-9042.624999999996,0.5505414285714285,-8671.599999999999,-8326.699999999984,-10264.400000000005,-8907.799999999997
dqn,2x2,high,47,16920,-9837.499999999996,0.54077,-8935.599999999986,-7492.899999999989,-11067.40000000004,-11854.099999999971
dqn,2x2,high,48,17280,-8786.10000000001,0.5309985714285714,-11084.59999999999,-6951.300000000028,-9073.900000000012,-8034.600000000012
dqn,2x2,high,49,17640,-11446.350000000006,0.5212271428571429,-14320.10000000002,-6897.199999999988,-13788.199999999993,-10779.900000000027
dqn,2x2,high,50,18000,-11366.14999999999,0.5114557142857143,-10574.699999999997,-10142.5,-14734.499999999969,-10012.899999999994
dqn,2x2,high,51,18360,-9069.324999999999,0.5016842857142858,-11919.999999999976,-9874.700000000023,-7021.799999999999,-7460.7999999999965
dqn,2x2,high,52,18720,-9625.124999999989,0.49191285714285715,-8231.299999999992,-10636.89999999999,-11526.299999999994,-8105.9999999999745
dqn,2x2,high,53,19080,-9734.325000000008,0.4821414285714286,-7982.300000000015,-7603.000000000008,-15669.200000000006,-7682.800000000003
dqn,2x2,high,54,19440,-9686.850000000008,0.47237000000000007,-9605.800000000017,-11880.500000000004,-8149.400000000004,-9111.700000000004
dqn,2x2,high,55,19800,-12938.29999999999,0.4625985714285715,-8973.000000000007,-8197.60000000001,-18467.299999999974,-16115.299999999965
dqn,2x2,high,56,20160,-11957.500000000004,0.4528271428571429,-13538.599999999999,-12012.899999999985,-10231.30000000001,-12047.20000000002
dqn,2x2,high,57,20520,-8850.900000000001,0.44305571428571433,-7184.500000000042,-7900.500000000008,-11667.699999999983,-8650.899999999974
dqn,2x2,high,58,20880,-9860.499999999989,0.4332842857142857,-6125.499999999976,-9446.400000000003,-13001.600000000008,-10868.499999999973
dqn,2x2,high,59,21240,-12194.449999999988,0.42351285714285725,-9288.099999999999,-14337.699999999999,-10199.69999999998,-14952.299999999974
dqn,2x2,high,60,21600,-9781.775000000001,0.4137414285714286,-8544.400000000014,-9484.099999999973,-9632.600000000008,-11466.000000000018
