algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_C1,reward_C2
dqn,2x2,low,1,360,-78.29999999999997,0.9902557142857142,-63.39999999999994,-72.69999999999999,-101.39999999999996,-75.69999999999999
dqn,2x2,low,2,720,-67.67499999999997,0.9804842857142857,-60.79999999999998,-64.59999999999997,-75.8,-69.49999999999993
dqn,2x2,low,3,1080,-68.22499999999997,0.9707128571428572,-64.29999999999997,-63.09999999999993,-79.89999999999993,-65.6
dqn,2x2,low,4,1440,-77.5,0.9609414285714286,-73.30000000000007,-70.79999999999998,-107.20000000000003,-58.69999999999995
dqn,2x2,low,5,1800,-75.275,0.95117,-92.19999999999996,-73.2,-59.499999999999915,-76.20000000000013
dqn,2x2,low,6,2160,-72.25,0.9413985714285714,-69.39999999999992,-73.70000000000003,-87.30000000000007,-58.59999999999996
dqn,2x2,low,7,2520,-70.92499999999998,0.9316271428571429,-86.19999999999992,-69.5,-62.40000000000004,-65.6
dqn,2x2,low,8,2880,-69.69999999999997,0.9218557142857142,-69.09999999999998,-61.99999999999999,-85.09999999999998,-62.59999999999995
dqn,2x2,low,9,3240,-70.97499999999998,0.9120842857142857,-78.59999999999995,-67.89999999999999,-74.89999999999999,-62.49999999999998
dqn,2x2,low,10,3600,-72.6,0.9023128571428571,-74.29999999999998,-63.69999999999993,-90.1000000000001,-62.299999999999955
dqn,2x2,low,11,3960,-66.14999999999995,0.8925414285714286,-62.99999999999995,-69.2,-74.99999999999994,-57.39999999999991
dqn,2x2,low,12,4320,-68.90000000000002,0.88277,-74.00000000000003,-65.60000000000001,-77.60000000000008,-58.39999999999997
dqn,2x2,low,13,4680,-65.29999999999998,0.8729985714285714,-59.79999999999998,-58.39999999999995,-76.49999999999999,-66.49999999999997
dqn,2x2,low,14,5040,-68.09999999999997,0.8632271428571429,-57.79999999999997,-64.69999999999993,-82.29999999999998,-67.59999999999995
dqn,2x2,low,15,5400,-71.77499999999999,0.8534557142857143,-69.59999999999994,-64.39999999999998,-86.40000000000003,-66.7
dqn,2x2,low,16,5760,-79.50000000000003,0.8436842857142858,-117.8,-66.59999999999997,-63.80000000000005,-69.8000000000001
dqn,2x2,low,17,6120,-69.02499999999998,0.8339128571428571,-62.69999999999996,-56.59999999999997,-85.49999999999999,-71.30000000000003
dqn,2x2,low,18,6480,-66.34999999999998,0.8241414285714286,-75.50000000000003,-58.59999999999992,-80.9,-50.399999999999956
dqn,2x2,low,19,6840,-68.62499999999999,0.81437,-67.30000000000001,-55.99999999999997,-92.6,-58.59999999999997
dqn,2x2,low,20,7200,-64.04999999999995,0.8045985714285715,-57.399999999999906,-70.09999999999997,-72.30000000000003,-56.3999999999999
dqn,2x2,low,21,7560,-71.52499999999999,0.7948271428571428,-63.89999999999996,-62.49999999999998,-95.70000000000006,-63.999999999999964
dqn,2x2,low,22,7920,-62.274999999999956,0.7850557142857143,-59.09999999999987,-54.4,-67.29999999999997,-68.29999999999998
dqn,2x2,low,23,8280,-63.47499999999997,0.7752842857142858,-66.09999999999998,-54.29999999999997,-67.49999999999994,-66.0
dqn,2x2,low,24,8640,-64.99999999999996,0.7655128571428571,-63.79999999999994,-66.89999999999996,-74.29999999999997,-54.99999999999992
dqn,2x2,low,25,9000,-59.799999999999955,0.7557414285714286,-59.49999999999993,-56.79999999999997,-62.499999999999986,-60.39999999999993
dqn,2x2,low,26,9360,-61.67499999999999,0.74597,-58.599999999999994,-68.9,-67.99999999999999,-51.19999999999997
dqn,2x2,low,27,9720,-59.924999999999955,0.7361985714285715,-56.39999999999996,-50.99999999999996,-64.99999999999993,-67.29999999999995
dqn,2x2,low,28,10080,-59.12499999999996,0.7264271428571429,-54.29999999999994,-45.799999999999976,-76.29999999999998,-60.09999999999993
dqn,2x2,low,29,10440,-63.59999999999995,0.7166557142857144,-53.1999999999999,-58.99999999999999,-76.49999999999996,-65.69999999999995
dqn,2x2,low,30,10800,-55.62499999999996,0.7068842857142857,-58.59999999999989,-51.79999999999997,-60.19999999999995,-51.9
dqn,2x2,low,31,11160,-57.849999999999945,0.6971128571428572,-56.499999999999915,-57.79999999999992,-66.7,-50.39999999999995
dqn,2x2,low,32,11520,-63.52499999999994,0.6873414285714285,-74.79999999999994,-55.699999999999974,-60.29999999999993,-63.299999999999926
dqn,2x2,low,33,11880,-57.42499999999994,0.67757,-53.899999999999956,-54.799999999999955,-66.7999999999999,-54.19999999999997
dqn,2x2,low,34,12240,-62.324999999999974,0.6677985714285715,-61.1,-55.39999999999999,-72.79999999999998,-59.99999999999993
dqn,2x2,low,35,12600,-57.724999999999966,0.6580271428571429,-56.19999999999995,-52.39999999999998,-67.79999999999993,-54.499999999999986
dqn,2x2,low,36,12960,-62.724999999999945,0.6482557142857144,-60.69999999999992,-62.199999999999925,-74.90000000000002,-53.09999999999994
dqn,2x2,low,37,13320,-58.74999999999996,0.6384842857142857,-56.099999999999945,-63.499999999999986,-61.79999999999997,-53.599999999999916
dqn,2x2,low,38,13680,-59.99999999999996,0.6287128571428572,-46.09999999999993,-69.00000000000001,-72.09999999999994,-52.799999999999955
dqn,2x2,low,39,14040,-62.72499999999994,0.6189414285714285,-61.79999999999994,-50.19999999999992,-77.69999999999996,-61.19999999999993
dqn,2x2,low,40,14400,-58.299999999999955,0.60917,-57.79999999999996,-47.999999999999936,-74.39999999999995,-52.999999999999964
dqn,2x2,low,41,14760,-56.64999999999994,0.5993985714285714,-58.99999999999995,-50.99999999999992,-64.69999999999995,-51.899999999999956
dqn,2x2,low,42,15120,-56.49999999999999,0.5896271428571429,-47.3,-54.19999999999998,-72.10000000000007,-52.39999999999994
dqn,2x2,low,43,15480,-52.82499999999993,0.5798557142857144,-50.19999999999988,-53.49999999999996,-54.49999999999995,-53.09999999999992
dqn,2x2,low,44,15840,-55.424999999999955,0.5700842857142858,-61.999999999999936,-48.599999999999945,-63.89999999999997,-47.19999999999995
dqn,2x2,low,45,16200,-55.49999999999996,0.5603128571428572,-54.89999999999992,-51.999999999999964,-62.79999999999999,-52.29999999999997
dqn,2x2,low,46,16560,-54.924999999999976,0.5505414285714285,-53.49999999999997,-44.39999999999993,-66.89999999999999,-54.9
dqn,2x2,low,47,16920,-52.69999999999995,0.54077,-47.29999999999992,-57.69999999999996,-58.49999999999999,-47.29999999999992
dqn,2x2,low,48,17280,-59.924999999999955,0.5309985714285714,-61.19999999999994,-56.59999999999991,-70.10000000000001,-51.79999999999996
dqn,2x2,low,49,17640,-51.024999999999935,0.5212271428571429,-49.99999999999991,-44.4999999999999,-65.89999999999996,-43.699999999999974
dqn,2x2,low,50,18000,-48.72499999999995,0.5114557142857143,-48.79999999999998,-57.59999999999997,-48.49999999999993,-39.99999999999996
dqn,2x2,low,51,18360,-57.574999999999946,0.5016842857142858,-46.199999999999925,-50.99999999999998,-77.49999999999997,-55.599999999999916
dqn,2x2,low,52,18720,-57.57499999999995,0.49191285714285715,-54.09999999999996,-58.19999999999997,-57.59999999999997,-60.39999999999992
dqn,2x2,low,53,19080,-55.64999999999996,0.4821414285714286,-56.79999999999994,-46.49999999999995,-65.89999999999999,-53.39999999999996
dqn,2x2,low,54,19440,-56.624999999999964,0.47237000000000007,-58.49999999999998,-49.899999999999956,-65.69999999999996,-52.39999999999994
dqn,2x2,low,55,19800,-51.74999999999994,0.4625985714285715,-44.99999999999993,-46.79999999999994,-69.49999999999996,-45.69999999999993
dqn,2x2,low,56,20160,-52.72499999999996,0.4528271428571429,-53.29999999999995,-50.799999999999976,-60.499999999999964,-46.299999999999955
dqn,2x2,low,57,20520,-57.87499999999994,0.44305571428571433,-64.89999999999992,-51.099999999999945,-67.8,-47.699999999999946
dqn,2x2,low,58,20880,-54.94999999999996,0.4332842857142857,-54.59999999999995,-53.19999999999999,-57.69999999999994,-54.299999999999955
dqn,2x2,low,59,21240,-58.92499999999995,0.42351285714285725,-62.09999999999997,-54.39999999999994,-71.39999999999995,-47.799999999999926
dqn,2x2,low,60,21600,-52.049999999999926,0.4137414285714286,-53.999999999999915,-51.39999999999993,-57.69999999999993,-45.099999999999945
dqn,2x2,low,61,21960,-53.99999999999997,0.40397000000000005,-62.09999999999999,-43.79999999999999,-59.49999999999996,-50.59999999999996
dqn,2x2,low,62,22320,-50.474999999999966,0.3941985714285714,-57.19999999999997,-46.79999999999997,-58.19999999999996,-39.69999999999996
dqn,2x2,low,63,22680,-52.774999999999935,0.38442714285714297,-45.39999999999991,-55.79999999999992,-52.89999999999997,-56.99999999999994
dqn,2x2,low,64,23040,-45.999999999999964,0.3746557142857143,-54.09999999999996,-45.29999999999998,-45.39999999999996,-39.19999999999996
dqn,2x2,low,65,23400,-46.77499999999995,0.36488428571428577,-54.49999999999994,-41.59999999999998,-44.39999999999994,-46.59999999999993
dqn,2x2,low,66,23760,-52.02499999999994,0.3551128571428571,-58.29999999999991,-43.99999999999995,-52.29999999999992,-53.49999999999998
dqn,2x2,low,67,24120,-53.349999999999966,0.3453414285714287,-47.39999999999997,-42.19999999999992,-67.59999999999998,-56.199999999999974
dqn,2x2,low,68,24480,-49.074999999999974,0.33557000000000003,-48.69999999999997,-43.79999999999997,-55.999999999999986,-47.79999999999996
dqn,2x2,low,69,24840,-55.12499999999998,0.3257985714285715,-53.09999999999997,-43.79999999999994,-79.80000000000008,-43.79999999999993
dqn,2x2,low,70,25200,-52.14999999999995,0.31602714285714284,-53.099999999999916,-46.59999999999994,-67.4,-41.49999999999996
dqn,2x2,low,71,25560,-50.14999999999996,0.3062557142857143,-52.19999999999996,-43.400000000000006,-57.99999999999995,-46.99999999999996
dqn,2x2,low,72,25920,-48.87499999999994,0.29648428571428576,-70.29999999999993,-39.59999999999996,-48.399999999999956,-37.199999999999946
dqn,2x2,low,73,26280,-41.67499999999995,0.2867128571428572,-42.59999999999995,-30.199999999999964,-57.899999999999935,-35.99999999999994
dqn,2x2,low,74,26640,-49.99999999999994,0.27694142857142856,-55.599999999999945,-43.49999999999994,-59.99999999999996,-40.89999999999992
