algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_C1,reward_C2
dqn,2x2,medium,1,360,-259.6,0.9902557142857142,-357.3999999999998,-206.49999999999994,-235.30000000000013,-239.20000000000024
dqn,2x2,medium,2,720,-262.9750000000001,0.9804842857142857,-217.40000000000012,-247.80000000000007,-318.7000000000002,-268.00000000000006
dqn,2x2,medium,3,1080,-269.67500000000007,0.9707128571428572,-366.0000000000003,-225.5,-294.5999999999999,-192.6000000000001
dqn,2x2,medium,4,1440,-275.6500000000001,0.9609414285714286,-286.20000000000016,-225.49999999999994,-335.69999999999993,-255.20000000000036
dqn,2x2,medium,5,1800,-230.27500000000006,0.95117,-235.20000000000005,-211.50000000000017,-263.5,-210.9
dqn,2x2,medium,6,2160,-272.37499999999994,0.9413985714285714,-283.6,-257.8,-341.0999999999998,-206.99999999999986
dqn,2x2,medium,7,2520,-263.34999999999997,0.9316271428571429,-311.2999999999999,-210.29999999999998,-279.5999999999998,-252.20000000000013
dqn,2x2,medium,8,2880,-246.175,0.9218557142857142,-230.00000000000017,-256.00000000000006,-315.0999999999999,-183.5999999999999
dqn,2x2,medium,9,3240,-227.55000000000007,0.9120842857142857,-220.90000000000018,-199.20000000000007,-325.29999999999995,-164.80000000000013
dqn,2x2,medium,10,3600,-263.29999999999995,0.9023128571428571,-248.29999999999998,-228.20000000000002,-323.6999999999998,-252.99999999999994
dqn,2x2,medium,11,3960,-237.27499999999998,0.8925414285714286,-193.30000000000007,-236.39999999999998,-308.79999999999984,-210.6
dqn,2x2,medium,12,4320,-249.6250000000001,0.88277,-299.9,-241.70000000000002,-261.40000000000015,-195.50000000000017
dqn,2x2,medium,13,4680,-224.15,0.8729985714285714,-171.8,-244.09999999999997,-288.1999999999998,-192.50000000000023
dqn,2x2,medium,14,5040,-207.7750000000001,0.8632271428571429,-197.19999999999996,-201.40000000000015,-234.30000000000007,-198.20000000000013
dqn,2x2,medium,15,5400,-255.00000000000006,0.8534557142857143,-267.50000000000006,-247.70000000000016,-286.59999999999997,-218.20000000000007
dqn,2x2,medium,16,5760,-230.00000000000009,0.8436842857142858,-329.2,-174.79999999999995,-238.9000000000002,-177.10000000000025
dqn,2x2,medium,17,6120,-227.55,0.8339128571428571,-221.00000000000014,-247.29999999999993,-284.1000000000001,-157.79999999999993
dqn,2x2,medium,18,6480,-228.05,0.8241414285714286,-178.00000000000026,-249.29999999999984,-231.10000000000002,-253.79999999999993
dqn,2x2,medium,19,6840,-223.62499999999994,0.81437,-248.10000000000002,-179.0999999999999,-270.39999999999986,-196.89999999999998
dqn,2x2,medium,20,7200,-233.625,0.8045985714285715,-232.70000000000005,-242.99999999999994,-251.40000000000003,-207.39999999999995
dqn,2x2,medium,21,7560,-231.67500000000015,0.7948271428571428,-236.09999999999988,-226.60000000000014,-293.40000000000043,-170.60000000000014
dqn,2x2,medium,22,7920,-251.42500000000004,0.7850557142857143,-276.90000000000015,-254.19999999999996,-260.90000000000003,-213.69999999999993
dqn,2x2,medium,23,8280,-241.64999999999992,0.7752842857142858,-204.4,-227.49999999999983,-315.2,-219.49999999999974
dqn,2x2,medium,24,8640,-224.37500000000003,0.7655128571428571,-190.9,-254.79999999999995,-286.20000000000005,-165.6000000000001
dqn,2x2,medium,25,9000,-248.77500000000003,0.7557414285714286,-208.2000000000001,-181.49999999999991,-387.9999999999999,-217.40000000000023
dqn,2x2,medium,26,9360,-212.07500000000002,0.74597,-227.09999999999997,-211.5000000000001,-218.39999999999998,-191.3000000000001
