algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_C1,reward_C2
ppo,2x2,dynamic,1,360,-194.05,2,-140.89999999999986,-148.6000000000001,-171.6000000000001,-315.09999999999985
ppo,2x2,dynamic,2,720,-189.175,5,-165.00000000000003,-116.89999999999996,-280.2,-194.6000000000001
ppo,2x2,dynamic,3,1080,-152.70000000000007,8,-137.60000000000008,-118.19999999999997,-194.30000000000004,-160.70000000000013
ppo,2x2,dynamic,4,1440,-153.95000000000002,11,-126.6,-108.60000000000002,-231.19999999999993,-149.4000000000001
ppo,2x2,dynamic,5,1800,-143.20000000000005,14,-138.39999999999998,-102.5,-172.90000000000015,-159.00000000000003
ppo,2x2,dynamic,6,2160,-157.97500000000002,16,-117.79999999999998,-132.90000000000006,-228.60000000000002,-152.60000000000008
ppo,2x2,dynamic,7,2520,-153.27500000000003,19,-119.19999999999997,-109.19999999999997,-208.60000000000008,-176.10000000000016
ppo,2x2,dynamic,8,2880,-152.725,22,-132.60000000000005,-112.10000000000001,-214.49999999999994,-151.70000000000002
ppo,2x2,dynamic,9,3240,-170.5500000000001,25,-126.40000000000005,-131.3,-188.20000000000002,-236.30000000000027
ppo,2x2,dynamic,10,3600,-153.42500000000004,28,-137.30000000000013,-127.89999999999998,-168.39999999999992,-180.10000000000014
ppo,2x2,dynamic,11,3960,-174.72500000000002,30,-143.30000000000013,-121.60000000000004,-207.70000000000005,-226.29999999999987
ppo,2x2,dynamic,12,4320,-166.5250000000001,33,-137.40000000000006,-114.30000000000005,-220.40000000000012,-194.00000000000017
ppo,2x2,dynamic,13,4680,-152.7000000000001,36,-117.80000000000001,-140.70000000000007,-183.4000000000001,-168.90000000000015
ppo,2x2,dynamic,14,5040,-158.07500000000002,39,-132.00000000000003,-114.6,-216.99999999999994,-168.70000000000007
ppo,2x2,dynamic,15,5400,-159.05,42,-131.6,-121.99999999999999,-205.40000000000003,-177.20000000000007
ppo,2x2,dynamic,16,5760,-173.47500000000002,45,-111.10000000000004,-146.40000000000012,-213.99999999999997,-222.40000000000003
ppo,2x2,dynamic,17,6120,-154.0000000000001,47,-145.00000000000009,-117.30000000000008,-178.00000000000003,-175.7000000000003
ppo,2x2,dynamic,18,6480,-155.24999999999997,50,-128.59999999999985,-146.90000000000003,-157.60000000000016,-187.89999999999986
ppo,2x2,dynamic,19,6840,-160.55000000000007,53,-104.19999999999999,-129.00000000000014,-224.4000000000002,-184.59999999999997
ppo,2x2,dynamic,20,7200,-158.92500000000007,56,-141.9000000000001,-138.70000000000007,-202.80000000000007,-152.3
ppo,2x2,dynamic,21,7560,-154.35,59,-105.00000000000004,-138.59999999999997,-184.89999999999995,-188.89999999999998
ppo,2x2,dynamic,22,7920,-161.92500000000007,61,-105.8,-127.90000000000003,-187.70000000000022,-226.29999999999998
ppo,2x2,dynamic,23,8280,-170.17500000000007,64,-145.39999999999998,-166.60000000000014,-183.00000000000006,-185.70000000000005
ppo,2x2,dynamic,24,8640,-166.20000000000005,67,-117.50000000000001,-135.89999999999995,-212.99999999999997,-198.40000000000015
ppo,2x2,dynamic,25,9000,-166.47500000000002,70,-115.59999999999997,-148.9,-186.2000000000001,-215.20000000000005
ppo,2x2,dynamic,26,9360,-180.525,73,-129.39999999999992,-147.4000000000001,-233.60000000000016,-211.69999999999985
ppo,2x2,dynamic,27,9720,-182.925,75,-155.49999999999991,-136.8000000000001,-229.20000000000016,-210.1999999999998
ppo,2x2,dynamic,28,10080,-175.32500000000005,78,-144.19999999999993,-141.60000000000002,-198.50000000000009,-217.00000000000006
ppo,2x2,dynamic,29,10440,-151.87500000000009,81,-112.60000000000002,-115.50000000000013,-180.2000000000001,-199.20000000000013
ppo,2x2,dynamic,30,10800,-173.72500000000002,84,-130.10000000000002,-129.60000000000002,-182.59999999999994,-252.60000000000014
ppo,2x2,dynamic,31,11160,-170.75000000000006,87,-151.70000000000002,-120.30000000000013,-160.39999999999998,-250.60000000000016
ppo,2x2,dynamic,32,11520,-138.07500000000002,90,-108.99999999999993,-95.50000000000014,-193.0999999999999,-154.70000000000013
ppo,2x2,dynamic,33,11880,-170.275,92,-138.10000000000008,-133.90000000000006,-206.70000000000002,-202.39999999999986
ppo,2x2,dynamic,34,12240,-167.52500000000006,95,-136.40000000000006,-132.80000000000013,-183.70000000000002,-217.20000000000007
ppo,2x2,dynamic,35,12600,-167.5250000000001,98,-117.70000000000003,-146.30000000000007,-190.90000000000003,-215.20000000000016
ppo,2x2,dynamic,36,12960,-174.12500000000014,101,-126.50000000000006,-115.70000000000013,-212.19999999999993,-242.10000000000045
ppo,2x2,dynamic,37,13320,-168.65000000000006,104,-122.90000000000016,-122.50000000000009,-224.59999999999997,-204.6
ppo,2x2,dynamic,38,13680,-152.87500000000006,106,-130.00000000000003,-124.39999999999998,-157.90000000000018,-199.20000000000002
ppo,2x2,dynamic,39,14040,-162.72500000000002,109,-125.10000000000004,-128.00000000000006,-201.2999999999999,-196.50000000000014
ppo,2x2,dynamic,40,14400,-164.85000000000002,112,-102.30000000000001,-139.00000000000009,-210.80000000000004,-207.3
ppo,2x2,dynamic,41,14760,-166.20000000000005,115,-123.50000000000017,-141.70000000000002,-190.40000000000018,-209.19999999999985
ppo,2x2,dynamic,42,15120,-171.375,118,-117.69999999999999,-137.9,-221.70000000000013,-208.1999999999999
ppo,2x2,dynamic,43,15480,-162.425,120,-116.29999999999998,-122.40000000000009,-181.60000000000014,-229.3999999999999
ppo,2x2,dynamic,44,15840,-144.5500000000001,123,-110.1,-109.6000000000001,-192.70000000000005,-165.80000000000024
ppo,2x2,dynamic,45,16200,-156.17500000000007,126,-132.39999999999998,-121.20000000000007,-183.1000000000001,-188.00000000000017
ppo,2x2,dynamic,46,16560,-153.85,129,-124.19999999999993,-121.90000000000002,-191.09999999999994,-178.20000000000005
ppo,2x2,dynamic,47,16920,-163.47500000000002,132,-128.5,-122.60000000000005,-209.2,-193.60000000000008
ppo,2x2,dynamic,48,17280,-162.60000000000002,135,-114.39999999999998,-134.19999999999996,-191.89999999999998,-209.9000000000002
ppo,2x2,dynamic,49,17640,-180.12499999999994,137,-140.99999999999991,-136.29999999999998,-231.60000000000008,-211.5999999999998
ppo,2x2,dynamic,50,18000,-175.72500000000005,140,-154.60000000000008,-151.4,-205.60000000000008,-191.3
ppo,2x2,dynamic,51,18360,-170.625,143,-118.39999999999998,-159.90000000000006,-209.19999999999993,-195.0
ppo,2x2,dynamic,52,18720,-175.72500000000005,146,-154.60000000000008,-151.4,-205.60000000000008,-191.3
ppo,2x2,dynamic,53,19080,-182.925,149,-155.49999999999991,-136.8000000000001,-229.20000000000016,-210.1999999999998
ppo,2x2,dynamic,54,19440,-171.62500000000006,151,-125.30000000000014,-139.10000000000005,-219.19999999999993,-202.9000000000001
ppo,2x2,dynamic,55,19800,-182.925,154,-155.49999999999991,-136.8000000000001,-229.20000000000016,-210.1999999999998
ppo,2x2,dynamic,56,20160,-182.925,157,-155.49999999999991,-136.8000000000001,-229.20000000000016,-210.1999999999998
ppo,2x2,dynamic,57,20520,-182.925,160,-155.49999999999991,-136.8000000000001,-229.20000000000016,-210.1999999999998
ppo,2x2,dynamic,58,20880,-182.925,163,-155.49999999999991,-136.8000000000001,-229.20000000000016,-210.1999999999998
ppo,2x2,dynamic,59,21240,-175.4,165,-128.89999999999998,-138.10000000000008,-224.3000000000001,-210.2999999999998
ppo,2x2,dynamic,60,21600,-181.87499999999994,168,-138.20000000000002,-147.5,-227.79999999999998,-213.99999999999977
ppo,2x2,dynamic,61,21960,-159.79999999999995,171,-104.6,-119.10000000000001,-211.2,-204.2999999999999
ppo,2x2,dynamic,62,22320,-164.92500000000007,174,-129.09999999999994,-147.90000000000018,-206.9,-175.80000000000013
ppo,2x2,dynamic,63,22680,-151.72500000000002,177,-124.89999999999992,-107.3,-175.40000000000015,-199.3
ppo,2x2,dynamic,64,23040,-160.55000000000007,180,-105.39999999999999,-130.50000000000009,-210.7000000000001,-195.60000000000008
ppo,2x2,dynamic,65,23400,-170.82499999999996,182,-111.20000000000003,-148.20000000000002,-207.7,-216.19999999999982
ppo,2x2,dynamic,66,23760,-145.80000000000007,185,-114.5,-135.50000000000003,-173.5,-159.70000000000024
ppo,2x2,dynamic,67,24120,-152.22499999999997,188,-120.60000000000001,-132.69999999999993,-151.79999999999995,-203.79999999999993
ppo,2x2,dynamic,68,24480,-143.375,191,-122.8,-119.30000000000004,-160.10000000000016,-171.29999999999978
ppo,2x2,dynamic,69,24840,-168.45000000000005,194,-148.6999999999999,-139.49999999999994,-175.8000000000002,-209.80000000000024
ppo,2x2,dynamic,70,25200,-170.5000000000001,196,-138.80000000000007,-139.1000000000001,-200.4000000000002,-203.7
ppo,2x2,dynamic,71,25560,-159.00000000000003,199,-135.29999999999995,-148.20000000000002,-172.60000000000008,-179.90000000000006
ppo,2x2,dynamic,72,25920,-160.69999999999993,202,-142.09999999999997,-120.49999999999997,-177.89999999999995,-202.29999999999987
ppo,2x2,dynamic,73,26280,-153.45000000000002,205,-120.1,-130.10000000000008,-165.6,-198.0
ppo,2x2,dynamic,74,26640,-151.70000000000005,208,-118.59999999999994,-112.40000000000006,-140.89999999999995,-234.90000000000015
ppo,2x2,dynamic,75,27000,-164.275,210,-113.19999999999993,-152.2000000000001,-188.39999999999998,-203.29999999999998
ppo,2x2,dynamic,76,27360,-162.82500000000016,213,-104.99999999999994,-172.6000000000003,-194.40000000000012,-179.30000000000024
ppo,2x2,dynamic,77,27720,-172.7000000000001,216,-114.80000000000001,-152.8,-200.30000000000013,-222.9000000000002
ppo,2x2,dynamic,78,28080,-168.30000000000013,219,-129.30000000000007,-154.40000000000003,-197.80000000000013,-191.70000000000024
