algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_C1,reward_C2
ppo,2x2,high,1,360,-7758.900000000006,2,-9542.700000000012,-6331.4000000000115,-8406.299999999983,-6755.200000000016
ppo,2x2,high,2,720,-10800.150000000001,5,-12306.599999999997,-11195.5,-6577.299999999994,-13121.20000000001
ppo,2x2,high,3,1080,-8980.524999999987,8,-7981.899999999974,-7493.499999999996,-12061.199999999968,-8385.500000000005
ppo,2x2,high,4,1440,-11152.125000000004,11,-12237.400000000009,-9813.699999999995,-12558.600000000002,-9998.800000000005
ppo,2x2,high,5,1800,-10667.125000000004,14,-13429.399999999987,-8513.200000000003,-9438.40000000002,-11287.500000000004
ppo,2x2,high,6,2160,-11727.02500000002,16,-11484.600000000022,-8173.200000000001,-8846.600000000039,-18403.700000000015
ppo,2x2,high,7,2520,-10216.649999999998,19,-9247.299999999985,-7192.000000000016,-14924.499999999995,-9502.799999999997
ppo,2x2,high,8,2880,-10355.649999999998,22,-9372.099999999968,-11940.100000000039,-11046.500000000004,-9063.899999999981
ppo,2x2,high,9,3240,-9442.249999999995,25,-9495.000000000005,-12104.599999999982,-8588.100000000011,-7581.29999999998
ppo,2x2,high,10,3600,-10881.225000000004,28,-13328.200000000008,-8799.000000000002,-12717.39999999998,-8680.300000000023
ppo,2x2,high,11,3960,-11092.725000000004,30,-9013.499999999989,-10466.60000000002,-12607.300000000028,-12283.499999999978
ppo,2x2,high,12,4320,-9632.675000000003,33,-7326.200000000002,-9182.999999999998,-12925.400000000001,-9096.100000000006
ppo,2x2,high,13,4680,-11334.700000000006,36,-10845.700000000013,-11753.800000000007,-12027.200000000004,-10712.099999999997
ppo,2x2,high,14,5040,-8867.875000000015,39,-6730.8000000000375,-7698.99999999999,-10159.600000000028,-10882.100000000002
ppo,2x2,high,15,5400,-9532.624999999989,42,-9059.500000000004,-9940.49999999998,-10446.799999999988,-8683.699999999983
ppo,2x2,high,16,5760,-9525.775000000001,45,-8790.20000000001,-9235.899999999992,-9709.500000000015,-10367.49999999999
ppo,2x2,high,17,6120,-9618.199999999993,47,-8950.999999999984,-9255.20000000002,-11808.79999999999,-8457.799999999981
ppo,2x2,high,18,6480,-9354.125000000013,50,-10206.000000000022,-7533.000000000017,-11561.399999999989,-8116.1000000000195
ppo,2x2,high,19,6840,-8739.050000000008,53,-9265.399999999998,-8060.000000000031,-11030.999999999993,-6599.8000000000075
ppo,2x2,high,20,7200,-9735.199999999995,56,-9725.200000000026,-11471.39999999997,-8093.500000000002,-9650.699999999984
ppo,2x2,high,21,7560,-11730.499999999996,59,-13034.1,-14690.099999999982,-9466.000000000031,-9731.799999999976
ppo,2x2,high,22,7920,-10507.800000000001,61,-9999.4,-11165.900000000007,-11682.899999999998,-9183.0
ppo,2x2,high,23,8280,-8888.699999999979,64,-6678.999999999963,-10948.099999999957,-6501.1999999999925,-11426.500000000005
ppo,2x2,high,24,8640,-9011.100000000006,67,-10953.700000000008,-7882.000000000029,-8562.79999999999,-8645.899999999992
ppo,2x2,high,25,9000,-9740.8,70,-8044.999999999996,-11420.100000000011,-7698.600000000013,-11799.499999999976
ppo,2x2,high,26,9360,-9954.899999999998,73,-8838.199999999959,-7135.100000000007,-12613.40000000002,-11232.900000000003
ppo,2x2,high,27,9720,-9112.599999999995,75,-7499.299999999994,-8266.299999999967,-7409.899999999994,-13274.900000000021
ppo,2x2,high,28,10080,-9462.224999999982,78,-6723.999999999991,-12392.79999999998,-8388.6,-10343.499999999958
ppo,2x2,high,29,10440,-11655.075,81,-9365.200000000006,-10483.899999999996,-15031.799999999977,-11739.400000000027
ppo,2x2,high,30,10800,-9095.674999999992,84,-8653.999999999975,-9401.100000000028,-9533.099999999951,-8794.500000000011
ppo,2x2,high,31,11160,-9781.325,87,-10002.100000000008,-9951.39999999999,-8832.299999999994,-10339.500000000005
ppo,2x2,high,32,11520,-10065.350000000015,90,-13333.000000000007,-8943.700000000012,-8942.300000000034,-9042.400000000007
ppo,2x2,high,33,11880,-9645.375,92,-9153.099999999986,-9553.199999999984,-10345.500000000005,-9529.700000000028
ppo,2x2,high,34,12240,-11256.500000000007,95,-11800.599999999988,-10730.900000000001,-12762.100000000002,-9732.400000000041
ppo,2x2,high,35,12600,-9638.499999999989,98,-9903.69999999999,-11780.799999999996,-7990.19999999999,-8879.29999999998
ppo,2x2,high,36,12960,-10497.699999999993,101,-9941.69999999999,-11077.999999999987,-10507.30000000001,-10463.799999999992
ppo,2x2,high,37,13320,-11132.274999999994,104,-11290.399999999974,-8442.700000000015,-11117.499999999975,-13678.500000000011
