algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_C1,reward_C2
ppo,2x2,low,1,360,-71.425,2,-71.7,-67.00000000000004,-75.3999999999999,-71.60000000000002
ppo,2x2,low,2,720,-73.64999999999999,5,-76.49999999999996,-71.30000000000001,-76.90000000000006,-69.89999999999995
ppo,2x2,low,3,1080,-67.29999999999997,8,-70.90000000000002,-63.59999999999995,-76.5,-58.1999999999999
ppo,2x2,low,4,1440,-66.24999999999996,11,-68.89999999999999,-66.59999999999998,-73.19999999999996,-56.2999999999999
ppo,2x2,low,5,1800,-65.27499999999998,14,-61.499999999999964,-60.39999999999993,-75.00000000000007,-64.1999999999999
ppo,2x2,low,6,2160,-68.64999999999996,16,-64.89999999999995,-70.0,-78.49999999999996,-61.19999999999995
ppo,2x2,low,7,2520,-67.82499999999992,19,-63.59999999999988,-64.39999999999995,-80.39999999999993,-62.89999999999992
ppo,2x2,low,8,2880,-62.49999999999993,22,-67.29999999999994,-62.19999999999995,-60.09999999999991,-60.39999999999993
ppo,2x2,low,9,3240,-67.87499999999994,25,-62.399999999999906,-64.49999999999994,-82.4,-62.1999999999999
ppo,2x2,low,10,3600,-72.64999999999995,28,-69.79999999999988,-68.79999999999998,-84.1,-67.89999999999993
ppo,2x2,low,11,3960,-67.24999999999994,30,-72.39999999999996,-61.19999999999991,-76.49999999999996,-58.899999999999935
ppo,2x2,low,12,4320,-67.87499999999997,33,-67.09999999999998,-60.499999999999936,-79.29999999999998,-64.59999999999998
ppo,2x2,low,13,4680,-62.32499999999992,36,-61.39999999999995,-63.299999999999926,-63.09999999999993,-61.49999999999987
ppo,2x2,low,14,5040,-70.79999999999994,39,-63.8999999999999,-60.39999999999997,-88.79999999999993,-70.09999999999997
ppo,2x2,low,15,5400,-68.47499999999991,42,-61.59999999999992,-59.39999999999989,-85.09999999999994,-67.79999999999988
ppo,2x2,low,16,5760,-64.49999999999994,45,-63.4999999999999,-57.99999999999996,-75.1,-61.39999999999991
ppo,2x2,low,17,6120,-64.34999999999997,47,-62.79999999999995,-60.39999999999996,-70.99999999999997,-63.19999999999996
ppo,2x2,low,18,6480,-66.74999999999997,50,-62.899999999999956,-65.89999999999996,-71.99999999999997,-66.2
ppo,2x2,low,19,6840,-71.52499999999995,53,-71.59999999999991,-63.19999999999999,-83.89999999999995,-67.39999999999996
ppo,2x2,low,20,7200,-61.449999999999925,56,-63.09999999999993,-59.59999999999992,-63.1999999999999,-59.89999999999994
ppo,2x2,low,21,7560,-69.42499999999997,59,-64.59999999999991,-67.99999999999999,-75.99999999999997,-69.09999999999998
ppo,2x2,low,22,7920,-67.92499999999995,61,-73.49999999999997,-60.199999999999946,-74.39999999999995,-63.59999999999992
ppo,2x2,low,23,8280,-65.07499999999996,64,-58.99999999999992,-65.00000000000001,-65.49999999999994,-70.79999999999994
ppo,2x2,low,24,8640,-62.89999999999993,67,-66.09999999999991,-63.99999999999998,-62.1999999999999,-59.29999999999993
ppo,2x2,low,25,9000,-65.87499999999991,70,-65.69999999999986,-62.99999999999995,-72.49999999999996,-62.299999999999926
ppo,2x2,low,26,9360,-66.92499999999995,73,-68.49999999999993,-65.39999999999998,-72.70000000000002,-61.0999999999999
ppo,2x2,low,27,9720,-62.59999999999994,75,-61.49999999999994,-64.79999999999994,-62.699999999999946,-61.399999999999935
ppo,2x2,low,28,10080,-61.274999999999935,78,-64.89999999999993,-59.89999999999996,-62.799999999999905,-57.49999999999993
ppo,2x2,low,29,10440,-65.42499999999994,81,-64.2999999999999,-60.199999999999946,-71.49999999999996,-65.69999999999996
ppo,2x2,low,30,10800,-66.69999999999996,84,-65.89999999999993,-64.99999999999999,-75.09999999999995,-60.799999999999926
ppo,2x2,low,31,11160,-64.62499999999991,87,-67.4999999999999,-62.79999999999991,-65.09999999999992,-63.09999999999993
ppo,2x2,low,32,11520,-66.79999999999993,90,-68.79999999999988,-58.699999999999946,-74.79999999999997,-64.89999999999992
ppo,2x2,low,33,11880,-65.62499999999996,92,-66.89999999999993,-61.49999999999997,-71.7,-62.399999999999906
ppo,2x2,low,34,12240,-60.97499999999995,95,-59.1999999999999,-59.999999999999964,-67.5,-57.19999999999994
ppo,2x2,low,35,12600,-65.54999999999998,98,-69.89999999999995,-64.19999999999999,-70.70000000000006,-57.3999999999999
ppo,2x2,low,36,12960,-69.44999999999996,101,-63.69999999999994,-64.49999999999991,-80.99999999999999,-68.6
ppo,2x2,low,37,13320,-67.14999999999995,104,-63.69999999999996,-62.79999999999992,-74.59999999999995,-67.49999999999994
ppo,2x2,low,38,13680,-69.57499999999995,106,-68.39999999999992,-62.899999999999956,-82.90000000000002,-64.09999999999992
ppo,2x2,low,39,14040,-65.42499999999993,109,-65.89999999999992,-59.69999999999997,-70.79999999999993,-65.29999999999991
ppo,2x2,low,40,14400,-63.12499999999995,112,-59.09999999999991,-59.19999999999993,-66.59999999999998,-67.6
ppo,2x2,low,41,14760,-66.57499999999995,115,-61.39999999999994,-59.99999999999991,-77.09999999999997,-67.79999999999995
ppo,2x2,low,42,15120,-66.37499999999993,118,-63.19999999999991,-64.09999999999997,-74.09999999999992,-64.09999999999992
ppo,2x2,low,43,15480,-65.32499999999993,120,-64.89999999999992,-61.9999999999999,-65.99999999999993,-68.39999999999996
