algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_C1,reward_C2
ppo,2x2,medium,1,360,-292.9249999999999,2,-294.5999999999999,-249.99999999999986,-330.2999999999996,-296.8000000000001
ppo,2x2,medium,2,720,-264.05,5,-240.69999999999982,-188.20000000000007,-377.8000000000001,-249.49999999999994
ppo,2x2,medium,3,1080,-228.15000000000006,8,-245.60000000000008,-198.70000000000024,-290.09999999999997,-178.19999999999996
ppo,2x2,medium,4,1440,-256.5250000000001,11,-241.3000000000002,-234.39999999999992,-367.00000000000006,-183.39999999999998
ppo,2x2,medium,5,1800,-194.55000000000013,14,-175.90000000000012,-183.80000000000015,-227.80000000000015,-190.7
ppo,2x2,medium,6,2160,-182.60000000000014,16,-195.00000000000014,-185.20000000000007,-211.30000000000018,-138.90000000000006
ppo,2x2,medium,7,2520,-194.84999999999997,19,-183.90000000000006,-161.70000000000002,-290.5999999999998,-143.20000000000005
ppo,2x2,medium,8,2880,-183.10000000000005,22,-176.80000000000004,-187.90000000000015,-231.00000000000003,-136.70000000000002
ppo,2x2,medium,9,3240,-179.15,25,-217.69999999999985,-158.99999999999997,-190.7000000000001,-149.20000000000016
ppo,2x2,medium,10,3600,-172.0250000000001,28,-173.40000000000012,-175.90000000000018,-189.40000000000003,-149.40000000000003
ppo,2x2,medium,11,3960,-168.425,30,-187.2,-166.7000000000001,-189.09999999999994,-130.7000000000001
ppo,2x2,medium,12,4320,-170.625,33,-151.60000000000002,-173.6,-222.1,-135.2
ppo,2x2,medium,13,4680,-166.92499999999995,36,-156.39999999999995,-171.19999999999996,-193.0,-147.09999999999997
ppo,2x2,medium,14,5040,-172.75000000000006,39,-155.1999999999999,-200.4000000000001,-209.20000000000005,-126.20000000000017
ppo,2x2,medium,15,5400,-168.9500000000001,42,-164.2000000000001,-158.90000000000015,-217.69999999999993,-135.0000000000002
ppo,2x2,medium,16,5760,-177.02500000000003,45,-175.70000000000013,-174.70000000000002,-215.49999999999991,-142.2
ppo,2x2,medium,17,6120,-188.1250000000001,47,-164.10000000000025,-229.00000000000003,-236.40000000000006,-123.00000000000006
ppo,2x2,medium,18,6480,-175.72499999999997,50,-184.19999999999996,-162.10000000000005,-225.8999999999999,-130.69999999999996
ppo,2x2,medium,19,6840,-170.3750000000001,53,-170.50000000000023,-177.99999999999986,-187.70000000000022,-145.30000000000013
ppo,2x2,medium,20,7200,-186.175,56,-154.50000000000006,-213.6000000000001,-240.69999999999996,-135.89999999999995
ppo,2x2,medium,21,7560,-196.0,59,-165.20000000000007,-187.30000000000004,-230.2999999999998,-201.2
ppo,2x2,medium,22,7920,-168.8250000000001,61,-169.49999999999997,-153.4000000000001,-203.20000000000005,-149.20000000000022
ppo,2x2,medium,23,8280,-165.75000000000006,64,-161.8,-133.10000000000005,-219.2000000000001,-148.90000000000012
ppo,2x2,medium,24,8640,-175.60000000000008,67,-178.60000000000016,-183.60000000000005,-166.4,-173.80000000000007
ppo,2x2,medium,25,9000,-184.37499999999997,70,-155.70000000000002,-197.79999999999993,-204.70000000000002,-179.29999999999993
ppo,2x2,medium,26,9360,-192.875,73,-220.50000000000006,-165.00000000000006,-226.59999999999988,-159.4
ppo,2x2,medium,27,9720,-176.40000000000006,75,-151.50000000000017,-180.9,-204.00000000000003,-169.20000000000005
ppo,2x2,medium,28,10080,-178.97500000000008,78,-174.80000000000015,-192.99999999999994,-206.30000000000018,-141.8
ppo,2x2,medium,29,10440,-171.0750000000001,81,-198.2000000000002,-158.00000000000003,-182.7000000000001,-145.40000000000006
ppo,2x2,medium,30,10800,-166.40000000000006,84,-167.7000000000002,-163.49999999999994,-203.10000000000002,-131.30000000000004
ppo,2x2,medium,31,11160,-184.35000000000002,87,-188.30000000000004,-149.20000000000005,-222.8,-177.09999999999997
ppo,2x2,medium,32,11520,-175.1,90,-167.39999999999992,-180.20000000000013,-197.89999999999995,-154.9
ppo,2x2,medium,33,11880,-160.35,92,-159.70000000000016,-140.4999999999999,-182.29999999999987,-158.9000000000001
ppo,2x2,medium,34,12240,-167.72500000000002,95,-179.60000000000005,-132.80000000000004,-227.19999999999996,-131.30000000000004
ppo,2x2,medium,35,12600,-183.55,98,-164.1,-182.4000000000001,-238.10000000000002,-149.59999999999997
ppo,2x2,medium,36,12960,-198.42500000000007,101,-193.8000000000002,-200.7,-253.10000000000002,-146.1
ppo,2x2,medium,37,13320,-183.4500000000001,104,-179.50000000000006,-194.90000000000023,-220.1000000000001,-139.3
ppo,2x2,medium,38,13680,-188.0250000000001,106,-147.60000000000008,-198.99999999999997,-244.30000000000024,-161.2000000000001
ppo,2x2,medium,39,14040,-168.15000000000003,109,-158.19999999999996,-172.90000000000023,-183.70000000000002,-157.7999999999999
ppo,2x2,medium,40,14400,-168.02500000000012,112,-179.10000000000014,-171.70000000000016,-213.9000000000001,-107.40000000000009
ppo,2x2,medium,41,14760,-188.72500000000008,115,-166.79999999999998,-179.20000000000024,-262.3999999999999,-146.5000000000002
ppo,2x2,medium,42,15120,-182.75,118,-172.7999999999999,-206.29999999999995,-192.9,-159.00000000000009
ppo,2x2,medium,43,15480,-171.6,120,-159.00000000000006,-156.09999999999997,-216.9000000000001,-154.39999999999984
ppo,2x2,medium,44,15840,-191.92500000000013,123,-162.80000000000007,-191.40000000000015,-252.30000000000013,-161.20000000000013
ppo,2x2,medium,45,16200,-158.10000000000008,126,-164.0000000000001,-126.50000000000003,-194.50000000000017,-147.4000000000001
ppo,2x2,medium,46,16560,-194.60000000000002,129,-218.39999999999986,-140.6,-267.20000000000005,-152.2000000000002
ppo,2x2,medium,47,16920,-177.15000000000012,132,-173.50000000000014,-178.9000000000001,-183.1000000000002,-173.1
ppo,2x2,medium,48,17280,-205.85000000000002,135,-175.5,-251.39999999999995,-258.00000000000006,-138.5
ppo,2x2,medium,49,17640,-187.34999999999997,137,-154.09999999999994,-217.9,-234.39999999999984,-143.0000000000001
ppo,2x2,medium,50,18000,-182.4000000000001,140,-192.00000000000009,-165.40000000000015,-207.3000000000001,-164.90000000000006
ppo,2x2,medium,51,18360,-173.64999999999998,143,-164.79999999999998,-165.20000000000005,-205.00000000000003,-159.59999999999997
ppo,2x2,medium,52,18720,-185.775,146,-168.09999999999997,-187.99999999999991,-217.7,-169.30000000000007
ppo,2x2,medium,53,19080,-172.95000000000005,149,-197.0000000000001,-168.8,-175.70000000000002,-150.30000000000004
ppo,2x2,medium,54,19440,-184.30000000000004,151,-176.70000000000016,-196.70000000000007,-232.6999999999999,-131.10000000000002
ppo,2x2,medium,55,19800,-177.72500000000002,154,-170.99999999999994,-173.29999999999998,-229.80000000000007,-136.80000000000013
ppo,2x2,medium,56,20160,-177.92499999999995,157,-162.79999999999998,-162.5999999999999,-237.70000000000002,-148.59999999999988
ppo,2x2,medium,57,20520,-170.94999999999993,160,-161.80000000000004,-178.7999999999999,-197.4999999999999,-145.69999999999996
ppo,2x2,medium,58,20880,-176.50000000000014,163,-163.90000000000012,-174.7000000000001,-200.40000000000018,-167.00000000000014
ppo,2x2,medium,59,21240,-177.30000000000007,165,-159.20000000000007,-167.70000000000005,-222.5000000000001,-159.8000000000001
ppo,2x2,medium,60,21600,-190.85000000000002,168,-187.59999999999985,-183.89999999999998,-236.50000000000009,-155.4000000000002
ppo,2x2,medium,61,21960,-178.85000000000008,171,-173.50000000000028,-204.0,-218.3,-119.60000000000002
ppo,2x2,medium,62,22320,-161.47500000000002,174,-146.99999999999991,-182.50000000000006,-189.0,-127.40000000000012
ppo,2x2,medium,63,22680,-165.57500000000002,177,-168.69999999999985,-159.1000000000002,-209.9,-124.6
ppo,2x2,medium,64,23040,-171.00000000000014,180,-164.2000000000002,-162.10000000000002,-211.9000000000003,-145.80000000000007
ppo,2x2,medium,65,23400,-179.4000000000001,182,-166.00000000000009,-202.10000000000014,-217.20000000000013,-132.3
ppo,2x2,medium,66,23760,-180.15000000000003,185,-172.20000000000005,-156.30000000000004,-247.19999999999987,-144.90000000000012
ppo,2x2,medium,67,24120,-170.45000000000002,188,-153.70000000000002,-174.60000000000008,-218.79999999999998,-134.70000000000005
ppo,2x2,medium,68,24480,-180.42500000000007,191,-202.9000000000001,-155.9000000000001,-223.00000000000014,-139.89999999999998
ppo,2x2,medium,69,24840,-174.35000000000005,194,-133.1,-174.10000000000008,-265.0000000000002,-125.19999999999993
ppo,2x2,medium,70,25200,-179.625,196,-182.79999999999995,-159.59999999999997,-222.60000000000005,-153.49999999999994
ppo,2x2,medium,71,25560,-176.54999999999998,199,-182.60000000000005,-166.7000000000001,-207.7999999999997,-149.10000000000005
ppo,2x2,medium,72,25920,-185.52500000000003,202,-167.2000000000001,-160.5000000000001,-266.3999999999998,-148.0000000000001
ppo,2x2,medium,73,26280,-166.12500000000003,205,-175.60000000000002,-163.40000000000003,-208.20000000000007,-117.29999999999997
ppo,2x2,medium,74,26640,-163.57500000000005,208,-149.30000000000007,-155.0,-199.90000000000006,-150.10000000000005
ppo,2x2,medium,75,27000,-177.79999999999998,210,-140.59999999999994,-172.8999999999999,-259.40000000000003,-138.3000000000001
ppo,2x2,medium,76,27360,-180.7500000000001,213,-175.29999999999995,-199.10000000000002,-199.30000000000032,-149.30000000000013
ppo,2x2,medium,77,27720,-186.67500000000013,216,-154.50000000000009,-179.1000000000001,-240.00000000000028,-173.10000000000002
ppo,2x2,medium,78,28080,-172.72500000000005,219,-154.40000000000015,-143.9,-248.49999999999991,-144.10000000000014
ppo,2x2,medium,79,28440,-164.80000000000004,222,-127.40000000000005,-159.49999999999994,-213.70000000000013,-158.6
ppo,2x2,medium,80,28800,-175.975,225,-150.8,-161.20000000000002,-234.8,-157.10000000000005
ppo,2x2,medium,81,29160,-172.70000000000005,227,-167.2,-133.90000000000003,-255.2000000000002,-134.49999999999997
ppo,2x2,medium,82,29520,-192.30000000000007,230,-192.00000000000026,-201.8000000000001,-223.80000000000007,-151.59999999999988
ppo,2x2,medium,83,29880,-175.05,233,-156.0000000000001,-162.7,-251.20000000000002,-130.3
ppo,2x2,medium,84,30240,-161.4000000000001,236,-160.99999999999997,-167.29999999999995,-170.50000000000017,-146.80000000000018
ppo,2x2,medium,85,30600,-164.02500000000003,239,-144.29999999999998,-189.80000000000007,-191.10000000000014,-130.89999999999998
ppo,2x2,medium,86,30960,-175.67500000000004,241,-173.49999999999986,-191.40000000000018,-198.50000000000006,-139.30000000000007
ppo,2x2,medium,87,31320,-160.82500000000002,244,-147.8,-174.49999999999994,-194.2000000000001,-126.80000000000004
ppo,2x2,medium,88,31680,-167.35000000000005,247,-147.10000000000022,-165.90000000000015,-184.69999999999996,-171.69999999999993
ppo,2x2,medium,89,32040,-169.7000000000001,250,-153.00000000000009,-168.9000000000001,-206.7,-150.20000000000024
ppo,2x2,medium,90,32400,-205.70000000000002,253,-211.6,-174.50000000000006,-279.59999999999997,-157.10000000000002
ppo,2x2,medium,91,32760,-157.52500000000006,255,-148.10000000000002,-149.70000000000013,-188.30000000000004,-144.0
ppo,2x2,medium,92,33120,-165.10000000000002,258,-158.1000000000001,-168.70000000000005,-185.70000000000002,-147.89999999999986
ppo,2x2,medium,93,33480,-170.3250000000001,261,-170.19999999999996,-166.00000000000023,-205.50000000000014,-139.6000000000002
ppo,2x2,medium,94,33840,-172.92500000000007,264,-164.8,-182.70000000000007,-201.0000000000002,-143.19999999999993
ppo,2x2,medium,95,34200,-156.22499999999994,267,-147.09999999999988,-154.4999999999999,-189.80000000000007,-133.49999999999991
ppo,2x2,medium,96,34560,-160.60000000000008,270,-129.10000000000002,-191.40000000000018,-172.00000000000003,-149.9000000000001
ppo,2x2,medium,97,34920,-185.05,272,-166.00000000000009,-193.9999999999999,-225.9000000000001,-154.2999999999999
ppo,2x2,medium,98,35280,-165.97500000000008,275,-149.79999999999995,-165.79999999999998,-207.90000000000032,-140.40000000000003
ppo,2x2,medium,99,35640,-177.47500000000008,278,-149.8000000000001,-180.79999999999987,-215.9000000000003,-163.4000000000001
ppo,2x2,medium,100,36000,-186.82500000000002,281,-185.79999999999995,-167.89999999999992,-238.00000000000003,-155.6000000000001
ppo,2x2,medium,101,36360,-170.8000000000001,284,-153.70000000000002,-139.20000000000013,-205.20000000000007,-185.10000000000016
ppo,2x2,medium,102,36720,-182.0250000000001,286,-209.50000000000017,-188.70000000000016,-202.99999999999997,-126.90000000000013
ppo,2x2,medium,103,37080,-172.92499999999998,289,-156.9999999999999,-186.29999999999993,-207.80000000000004,-140.6
ppo,2x2,medium,104,37440,-182.1500000000001,292,-188.90000000000012,-189.2000000000001,-205.20000000000002,-145.30000000000004
ppo,2x2,medium,105,37800,-185.2500000000001,295,-160.00000000000006,-173.20000000000005,-253.90000000000012,-153.9000000000002
ppo,2x2,medium,106,38160,-173.25,298,-165.20000000000007,-200.89999999999995,-183.79999999999998,-143.10000000000008
