algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
dqn,3x3,medium,1,360,-170.34444444444455,0.9902557142857142,-192.00000000000017,-127.3000000000001,-176.60000000000016,-189.50000000000017,-242.69999999999993,-186.6,-136.5,-168.60000000000005,-113.30000000000008
dqn,3x3,medium,2,720,-176.2555555555556,0.9804842857142857,-126.4000000000001,-161.10000000000005,-192.60000000000014,-172.30000000000007,-251.79999999999993,-196.1,-148.10000000000002,-160.7999999999999,-177.1000000000002
dqn,3x3,medium,3,1080,-168.36666666666667,0.9707128571428572,-119.69999999999999,-132.3,-160.50000000000006,-184.09999999999997,-207.39999999999995,-215.29999999999995,-203.00000000000009,-146.29999999999987,-146.7000000000001
dqn,3x3,medium,4,1440,-187.92222222222225,0.9609414285714286,-148.39999999999998,-154.99999999999994,-153.20000000000002,-213.60000000000005,-216.00000000000026,-215.4999999999998,-197.89999999999984,-225.80000000000013,-165.90000000000006
dqn,3x3,medium,5,1800,-163.48888888888894,0.95117,-132.79999999999993,-157.20000000000013,-173.70000000000016,-129.50000000000006,-190.60000000000008,-151.10000000000005,-178.40000000000015,-188.59999999999997,-169.50000000000006
dqn,3x3,medium,6,2160,-176.67777777777783,0.9413985714285714,-119.40000000000003,-130.7,-178.40000000000018,-224.0000000000002,-203.90000000000012,-291.5,-149.09999999999997,-162.49999999999994,-130.60000000000014
dqn,3x3,medium,7,2520,-167.34444444444446,0.9316271428571429,-133.60000000000005,-192.39999999999984,-137.8000000000001,-139.1,-231.1000000000001,-206.30000000000004,-142.20000000000002,-163.79999999999993,-159.79999999999987
dqn,3x3,medium,8,2880,-170.2111111111111,0.9218557142857142,-133.20000000000002,-136.00000000000006,-162.9,-187.8000000000001,-273.49999999999994,-181.80000000000004,-169.89999999999998,-148.9000000000001,-137.90000000000003
dqn,3x3,medium,9,3240,-167.99999999999997,0.9120842857142857,-114.89999999999999,-146.5,-166.89999999999995,-214.89999999999995,-175.69999999999987,-193.50000000000014,-180.10000000000008,-148.49999999999986,-171.00000000000006
dqn,3x3,medium,10,3600,-171.24444444444447,0.9023128571428571,-131.10000000000002,-135.6,-154.99999999999997,-286.1,-156.20000000000005,-208.0,-150.69999999999996,-158.60000000000005,-159.9000000000001
dqn,3x3,medium,11,3960,-179.68888888888887,0.8925414285714286,-146.50000000000003,-148.8999999999999,-174.70000000000002,-172.59999999999997,-220.29999999999987,-187.59999999999977,-248.3000000000001,-154.50000000000017,-163.80000000000007
dqn,3x3,medium,12,4320,-150.36666666666667,0.88277,-125.70000000000003,-142.39999999999995,-139.1,-198.99999999999997,-162.4000000000001,-148.50000000000009,-164.30000000000007,-151.30000000000007,-120.60000000000002
dqn,3x3,medium,13,4680,-157.01111111111118,0.8729985714285714,-119.69999999999999,-172.80000000000013,-171.09999999999994,-152.80000000000007,-174.80000000000007,-190.1000000000001,-132.79999999999995,-162.90000000000035,-136.1000000000001
dqn,3x3,medium,14,5040,-160.3222222222223,0.8632271428571429,-134.70000000000005,-165.70000000000005,-144.2000000000002,-143.1000000000001,-222.7,-148.80000000000013,-138.70000000000013,-213.5000000000001,-131.50000000000006
dqn,3x3,medium,15,5400,-315.711111111111,0.8534557142857143,-231.2,-134.70000000000002,-123.70000000000002,-570.6000000000003,-181.3000000000001,-174.7000000000001,-1050.9999999999982,-212.30000000000013,-161.9
dqn,3x3,medium,16,5760,-161.7444444444445,0.8436842857142858,-115.60000000000005,-124.20000000000005,-153.00000000000017,-142.60000000000005,-235.20000000000002,-184.6000000000001,-127.79999999999995,-212.60000000000005,-160.10000000000008
dqn,3x3,medium,17,6120,-152.1666666666667,0.8339128571428571,-115.70000000000006,-166.70000000000016,-149.59999999999997,-161.80000000000007,-166.99999999999997,-167.00000000000009,-175.90000000000003,-132.9,-132.9000000000001
dqn,3x3,medium,18,6480,-152.28888888888898,0.8241414285714286,-136.30000000000013,-137.7000000000002,-118.60000000000007,-198.40000000000015,-157.79999999999998,-124.69999999999995,-169.50000000000006,-165.3,-162.3000000000001
dqn,3x3,medium,19,6840,-296.22222222222223,0.81437,-95.1,-125.29999999999998,-129.70000000000013,-156.30000000000004,-213.8000000000002,-1523.0,-130.19999999999987,-148.39999999999992,-144.19999999999982
dqn,3x3,medium,20,7200,-138.0333333333334,0.8045985714285715,-111.30000000000001,-121.40000000000002,-135.30000000000013,-123.20000000000006,-163.1,-168.29999999999995,-119.40000000000015,-128.80000000000004,-171.50000000000003
dqn,3x3,medium,21,7560,-151.00000000000009,0.7948271428571428,-127.70000000000002,-143.40000000000023,-138.8000000000001,-142.2,-190.50000000000006,-195.60000000000005,-145.20000000000007,-144.8,-130.79999999999987
dqn,3x3,medium,22,7920,-152.51111111111115,0.7850557142857143,-113.69999999999993,-126.70000000000007,-218.60000000000002,-167.20000000000022,-165.80000000000004,-158.79999999999987,-135.59999999999994,-158.50000000000014,-127.70000000000005
dqn,3x3,medium,23,8280,-148.78888888888892,0.7752842857142858,-128.70000000000016,-118.00000000000007,-202.20000000000005,-154.5999999999999,-189.4000000000001,-154.0,-136.40000000000003,-127.19999999999993,-128.60000000000005
dqn,3x3,medium,24,8640,-156.46666666666673,0.7655128571428571,-170.70000000000005,-126.90000000000005,-146.20000000000002,-205.80000000000024,-194.70000000000002,-148.9000000000001,-173.7,-122.30000000000007,-119.00000000000006
dqn,3x3,medium,25,9000,-140.5777777777778,0.7557414285714286,-103.90000000000003,-133.49999999999994,-122.80000000000003,-130.8,-203.7,-163.80000000000004,-137.49999999999997,-122.99999999999999,-146.20000000000016
dqn,3x3,medium,26,9360,-156.42222222222225,0.74597,-126.69999999999996,-142.70000000000016,-144.00000000000006,-192.89999999999995,-165.5000000000001,-218.5000000000001,-150.69999999999996,-148.0,-118.79999999999993
dqn,3x3,medium,27,9720,-138.80000000000004,0.7361985714285715,-115.2000000000001,-107.3,-128.29999999999998,-138.50000000000003,-205.10000000000005,-147.30000000000018,-135.89999999999998,-135.6,-136.00000000000003
dqn,3x3,medium,28,10080,-145.5777777777778,0.7264271428571429,-133.90000000000003,-113.40000000000002,-169.0,-150.60000000000014,-212.50000000000006,-140.29999999999993,-130.79999999999998,-127.29999999999997,-132.4000000000001
dqn,3x3,medium,29,10440,-135.73333333333335,0.7166557142857144,-91.20000000000006,-120.10000000000004,-146.00000000000006,-140.49999999999991,-161.60000000000008,-191.29999999999998,-129.20000000000002,-126.6,-115.10000000000004
dqn,3x3,medium,30,10800,-133.94444444444449,0.7068842857142857,-118.80000000000013,-139.9,-109.69999999999993,-116.50000000000003,-170.0000000000001,-150.8000000000002,-133.4000000000001,-131.50000000000003,-134.90000000000006
dqn,3x3,medium,31,11160,-134.8777777777778,0.6971128571428572,-107.20000000000007,-141.29999999999987,-169.60000000000008,-135.60000000000002,-176.3,-137.59999999999994,-110.50000000000001,-137.3000000000001,-98.50000000000011
dqn,3x3,medium,32,11520,-134.1888888888889,0.6873414285714285,-107.89999999999995,-129.49999999999997,-117.90000000000012,-125.20000000000003,-204.80000000000013,-128.20000000000002,-132.0,-135.40000000000003,-126.80000000000005
dqn,3x3,medium,33,11880,-151.0222222222222,0.67757,-152.0,-120.60000000000008,-135.29999999999993,-151.29999999999987,-211.89999999999998,-133.9,-144.6,-135.59999999999994,-174.0
dqn,3x3,medium,34,12240,-133.35555555555558,0.6677985714285715,-92.10000000000002,-132.10000000000014,-128.8000000000001,-130.6,-183.00000000000003,-159.0000000000002,-124.6999999999999,-137.79999999999993,-112.09999999999997
dqn,3x3,medium,35,12600,-134.2,0.6580271428571429,-112.29999999999997,-118.89999999999999,-143.40000000000012,-128.49999999999994,-188.10000000000005,-139.29999999999987,-107.20000000000002,-136.1,-134.00000000000009
dqn,3x3,medium,36,12960,-143.18888888888893,0.6482557142857144,-130.30000000000004,-110.90000000000012,-128.20000000000013,-173.2,-154.8000000000001,-180.19999999999993,-120.39999999999996,-130.30000000000007,-160.4
