algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_B3,reward_C1,reward_C2,reward_C3,reward_D1,reward_D2,reward_D3
ppo,3x3,medium,1,360,-174.41111111111113,2,-153.00000000000006,-132.69999999999987,-191.20000000000005,-256.2,-203.10000000000014,-166.8000000000001,-144.40000000000006,-200.0999999999999,-122.19999999999999
ppo,3x3,medium,2,720,-147.6666666666667,5,-133.70000000000016,-121.79999999999997,-124.6000000000002,-114.10000000000007,-181.10000000000014,-166.9,-154.4,-158.9999999999999,-173.4
ppo,3x3,medium,3,1080,-149.2777777777778,8,-131.0,-123.09999999999995,-149.90000000000003,-148.80000000000015,-211.60000000000005,-160.39999999999998,-120.50000000000001,-153.2,-145.00000000000006
ppo,3x3,medium,4,1440,-246.0333333333335,11,-131.8,-924.6000000000017,-225.2000000000001,-155.69999999999985,-230.79999999999998,-130.00000000000009,-140.99999999999994,-132.49999999999994,-142.7000000000001
ppo,3x3,medium,5,1800,-125.34444444444449,14,-114.20000000000005,-113.29999999999997,-138.20000000000016,-141.1999999999999,-145.00000000000009,-125.59999999999998,-102.59999999999998,-130.50000000000014,-117.49999999999999
ppo,3x3,medium,6,2160,-124.39999999999999,16,-111.2000000000001,-125.89999999999992,-121.90000000000006,-139.3000000000001,-159.1999999999999,-112.70000000000003,-117.09999999999988,-117.49999999999999,-114.80000000000004
ppo,3x3,medium,7,2520,-121.58888888888893,19,-114.10000000000012,-103.49999999999999,-101.00000000000003,-151.1000000000001,-147.20000000000007,-114.10000000000002,-142.30000000000007,-105.89999999999998,-115.10000000000007
ppo,3x3,medium,8,2880,-124.85555555555558,22,-96.0,-110.50000000000004,-118.19999999999999,-125.79999999999997,-158.70000000000002,-137.80000000000007,-122.60000000000014,-126.89999999999995,-127.20000000000013
ppo,3x3,medium,9,3240,-125.15555555555557,25,-111.69999999999996,-105.10000000000011,-119.00000000000009,-147.0,-135.49999999999997,-145.2,-116.40000000000006,-123.89999999999999,-122.59999999999998
ppo,3x3,medium,10,3600,-126.15555555555554,28,-104.20000000000002,-121.29999999999997,-118.20000000000003,-125.10000000000001,-159.9999999999999,-150.69999999999987,-128.10000000000008,-111.99999999999994,-115.80000000000001
ppo,3x3,medium,11,3960,-129.41111111111115,30,-92.00000000000001,-124.3000000000001,-108.79999999999998,-152.80000000000004,-164.30000000000018,-133.10000000000002,-123.59999999999998,-131.19999999999996,-134.6000000000001
ppo,3x3,medium,12,4320,-126.13333333333337,33,-108.90000000000008,-113.80000000000003,-114.49999999999999,-123.00000000000003,-134.30000000000007,-126.99999999999996,-126.70000000000002,-146.1,-140.90000000000003
ppo,3x3,medium,13,4680,-119.9444444444445,36,-108.10000000000012,-105.40000000000005,-112.29999999999994,-128.20000000000002,-153.00000000000009,-125.80000000000013,-124.30000000000007,-119.6,-102.80000000000007
ppo,3x3,medium,14,5040,-121.86666666666669,39,-97.80000000000003,-108.59999999999992,-103.70000000000007,-122.09999999999997,-140.79999999999995,-139.80000000000004,-132.80000000000007,-120.50000000000004,-130.69999999999993
ppo,3x3,medium,15,5400,-119.60000000000004,42,-98.69999999999999,-117.00000000000013,-114.50000000000011,-152.6,-136.79999999999998,-110.70000000000007,-110.6999999999999,-120.90000000000002,-114.50000000000004
ppo,3x3,medium,16,5760,-121.52222222222225,45,-100.79999999999998,-105.50000000000009,-111.30000000000004,-121.49999999999994,-148.70000000000007,-153.2,-114.89999999999999,-111.10000000000001,-126.70000000000009
ppo,3x3,medium,17,6120,-125.10000000000008,47,-108.60000000000007,-112.10000000000008,-128.30000000000007,-155.60000000000016,-136.50000000000009,-115.30000000000005,-121.80000000000003,-127.20000000000014,-120.50000000000007
ppo,3x3,medium,18,6480,-121.46666666666673,50,-100.00000000000001,-118.69999999999995,-128.50000000000006,-95.70000000000003,-158.20000000000007,-133.2000000000002,-132.00000000000009,-118.30000000000004,-108.6
ppo,3x3,medium,19,6840,-129.21111111111114,53,-114.10000000000001,-128.30000000000007,-126.40000000000012,-146.0000000000001,-184.10000000000025,-114.40000000000006,-110.39999999999999,-139.89999999999986,-99.3
ppo,3x3,medium,20,7200,-123.67777777777782,56,-101.10000000000007,-113.5,-130.80000000000018,-129.10000000000005,-136.40000000000012,-122.30000000000001,-117.89999999999999,-125.69999999999999,-136.30000000000007
ppo,3x3,medium,21,7560,-122.42222222222227,59,-101.90000000000012,-99.90000000000002,-123.40000000000005,-130.6,-142.8000000000001,-135.80000000000007,-126.49999999999999,-135.79999999999998,-105.10000000000007
