algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_B3,reward_B4,reward_C1,reward_C2,reward_C3,reward_C4,reward_D1,reward_D2,reward_D3,reward_D4,reward_E1,reward_E2,reward_E3,reward_E4
dqn,4x4,medium,1,360,-123.99375000000005,0.9902557142857142,-76.89999999999996,-81.50000000000007,-120.80000000000011,-132.6,-101.50000000000001,-101.10000000000007,-207.90000000000015,-110.70000000000013,-116.29999999999993,-154.30000000000004,-141.10000000000016,-164.50000000000003,-122.20000000000003,-117.40000000000012,-117.39999999999995,-117.7000000000001
dqn,4x4,medium,2,720,-115.65000000000003,0.9804842857142857,-85.80000000000007,-133.4,-105.89999999999992,-85.10000000000005,-94.59999999999998,-125.20000000000016,-144.9000000000001,-126.9000000000001,-81.00000000000001,-127.10000000000008,-179.50000000000009,-139.90000000000003,-96.30000000000004,-101.39999999999993,-118.30000000000003,-105.10000000000004
dqn,4x4,medium,3,1080,-110.21875000000003,0.9707128571428572,-87.80000000000004,-114.60000000000004,-113.80000000000008,-90.30000000000003,-92.60000000000001,-116.90000000000005,-114.69999999999999,-124.20000000000005,-114.70000000000012,-158.9999999999998,-118.99999999999996,-110.0,-95.50000000000001,-91.9,-108.20000000000007,-110.30000000000005
dqn,4x4,medium,4,1440,-125.54375000000007,0.9609414285714286,-108.6000000000001,-122.00000000000004,-132.4,-91.60000000000014,-96.90000000000015,-126.8,-193.30000000000004,-126.5000000000001,-153.8,-137.80000000000007,-127.80000000000014,-115.30000000000005,-128.5,-124.20000000000006,-114.79999999999998,-108.40000000000015
dqn,4x4,medium,5,1800,-106.07500000000005,0.95117,-97.09999999999998,-102.20000000000014,-85.90000000000006,-90.80000000000004,-108.69999999999997,-129.4000000000001,-131.6,-120.8000000000001,-82.90000000000008,-142.79999999999995,-103.80000000000003,-98.60000000000001,-103.40000000000002,-88.80000000000005,-94.80000000000008,-115.59999999999998
dqn,4x4,medium,6,2160,-108.30000000000003,0.9413985714285714,-77.59999999999995,-98.70000000000002,-112.29999999999998,-80.59999999999998,-109.4,-105.00000000000004,-171.0000000000001,-120.5000000000001,-95.09999999999994,-102.30000000000007,-123.20000000000007,-132.6000000000001,-81.00000000000004,-89.29999999999993,-123.60000000000008,-110.59999999999997
dqn,4x4,medium,7,2520,-107.61875000000005,0.9316271428571429,-86.70000000000005,-130.00000000000009,-79.19999999999996,-105.60000000000011,-103.50000000000009,-135.00000000000006,-148.2,-110.70000000000002,-105.80000000000008,-121.00000000000009,-110.60000000000002,-100.19999999999997,-87.3,-93.70000000000017,-103.00000000000003,-101.40000000000002
dqn,4x4,medium,8,2880,-116.58750000000006,0.9218557142857142,-88.20000000000009,-99.20000000000006,-98.39999999999992,-105.80000000000013,-87.80000000000011,-137.3,-111.00000000000001,-118.90000000000012,-111.40000000000006,-131.4000000000001,-248.9,-134.60000000000014,-86.8,-86.10000000000014,-118.70000000000006,-100.90000000000013
dqn,4x4,medium,9,3240,-103.40625000000003,0.9120842857142857,-93.00000000000006,-99.10000000000002,-86.60000000000005,-115.10000000000004,-90.80000000000003,-139.1,-120.50000000000011,-105.20000000000003,-93.60000000000002,-118.10000000000015,-119.40000000000005,-116.09999999999995,-83.39999999999999,-87.99999999999999,-92.39999999999999,-94.1
dqn,4x4,medium,10,3600,-102.93750000000003,0.9023128571428571,-74.20000000000006,-85.7,-104.90000000000006,-116.70000000000016,-124.89999999999998,-112.90000000000003,-91.60000000000002,-81.80000000000003,-104.90000000000003,-120.0000000000001,-111.90000000000008,-122.79999999999998,-71.89999999999999,-105.99999999999999,-106.90000000000009,-109.89999999999993
dqn,4x4,medium,11,3960,-102.33125000000003,0.8925414285714286,-77.49999999999991,-92.2000000000001,-90.6000000000001,-84.50000000000001,-104.40000000000002,-119.99999999999993,-106.90000000000006,-114.00000000000001,-107.79999999999998,-117.70000000000002,-132.9000000000001,-109.20000000000012,-84.39999999999996,-91.60000000000002,-82.29999999999998,-121.29999999999998
dqn,4x4,medium,12,4320,-104.85000000000005,0.88277,-89.70000000000006,-76.90000000000005,-98.00000000000009,-100.5,-93.20000000000002,-107.20000000000009,-117.40000000000006,-101.60000000000002,-108.80000000000008,-126.19999999999999,-115.7,-133.09999999999994,-105.60000000000011,-105.30000000000001,-101.00000000000003,-97.4000000000001
dqn,4x4,medium,13,4680,-109.90625000000003,0.8729985714285714,-82.50000000000003,-112.89999999999999,-88.80000000000008,-133.80000000000004,-115.2000000000001,-154.6,-132.10000000000016,-97.00000000000003,-139.8,-95.80000000000001,-124.60000000000001,-114.10000000000001,-84.10000000000002,-84.79999999999997,-94.7,-103.70000000000003
dqn,4x4,medium,14,5040,-102.025,0.8632271428571429,-79.89999999999995,-114.79999999999998,-94.8,-112.49999999999999,-70.59999999999992,-118.80000000000008,-97.59999999999991,-122.20000000000005,-131.60000000000002,-129.3,-108.10000000000001,-111.50000000000009,-81.50000000000001,-76.8,-83.90000000000005,-98.50000000000006
dqn,4x4,medium,15,5400,-97.97500000000001,0.8534557142857143,-94.10000000000008,-106.20000000000002,-86.20000000000006,-96.70000000000009,-95.3999999999999,-108.79999999999997,-87.59999999999995,-115.49999999999997,-91.89999999999989,-98.50000000000003,-85.59999999999995,-117.30000000000001,-82.60000000000004,-98.1,-116.00000000000009,-87.10000000000004
dqn,4x4,medium,16,5760,-105.15625000000003,0.8436842857142858,-76.2,-78.30000000000007,-78.40000000000005,-136.10000000000002,-85.9,-145.69999999999996,-158.99999999999991,-88.49999999999999,-108.50000000000013,-109.80000000000007,-113.70000000000002,-116.20000000000012,-83.80000000000004,-102.9,-113.00000000000011,-86.50000000000004
dqn,4x4,medium,17,6120,-93.89375000000001,0.8339128571428571,-78.39999999999998,-78.2,-84.80000000000003,-77.90000000000003,-94.40000000000003,-119.09999999999997,-90.89999999999998,-115.80000000000003,-80.69999999999999,-106.80000000000001,-105.40000000000002,-95.89999999999996,-83.10000000000011,-87.40000000000005,-116.39999999999996,-87.09999999999997
dqn,4x4,medium,18,6480,-104.38125000000002,0.8241414285714286,-89.60000000000002,-94.89999999999996,-108.20000000000006,-116.50000000000013,-86.79999999999997,-153.80000000000013,-153.2000000000001,-105.50000000000009,-92.79999999999997,-94.20000000000006,-124.10000000000007,-105.70000000000006,-88.89999999999996,-71.69999999999997,-95.39999999999995,-88.8
dqn,4x4,medium,19,6840,-102.80000000000004,0.81437,-95.30000000000005,-99.79999999999997,-91.49999999999999,-84.90000000000006,-95.5,-158.00000000000006,-122.50000000000006,-130.40000000000012,-105.3,-105.70000000000003,-98.90000000000008,-86.60000000000002,-71.79999999999998,-83.80000000000004,-112.9000000000001,-101.89999999999998
dqn,4x4,medium,20,7200,-95.94375,0.8045985714285715,-73.19999999999999,-94.80000000000004,-97.09999999999998,-90.50000000000004,-85.6,-102.19999999999996,-118.19999999999996,-105.89999999999999,-108.7,-105.69999999999999,-108.80000000000007,-110.60000000000005,-73.70000000000007,-83.59999999999995,-90.19999999999997,-86.30000000000003
dqn,4x4,medium,21,7560,-96.69375000000002,0.7948271428571428,-66.10000000000002,-73.89999999999995,-103.10000000000004,-101.39999999999993,-90.7000000000001,-118.70000000000007,-83.40000000000003,-107.90000000000002,-109.60000000000005,-108.00000000000004,-110.30000000000004,-114.50000000000016,-91.89999999999998,-88.60000000000008,-102.4,-76.59999999999991
dqn,4x4,medium,22,7920,-96.74375000000003,0.7850557142857143,-77.49999999999997,-110.40000000000005,-88.90000000000003,-87.20000000000003,-85.30000000000007,-103.10000000000001,-108.40000000000005,-93.70000000000005,-86.9,-102.20000000000007,-117.80000000000013,-112.90000000000008,-79.79999999999997,-84.29999999999998,-104.4000000000001,-105.09999999999998
dqn,4x4,medium,23,8280,-94.4625,0.7752842857142858,-78.70000000000005,-74.59999999999994,-84.10000000000001,-95.50000000000014,-81.5,-109.39999999999998,-105.39999999999993,-98.49999999999996,-104.6,-118.40000000000003,-123.8,-81.59999999999998,-73.39999999999999,-105.10000000000007,-91.10000000000005,-85.69999999999997
