algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_B3,reward_B4,reward_C1,reward_C2,reward_C3,reward_C4,reward_D1,reward_D2,reward_D3,reward_D4,reward_E1,reward_E2,reward_E3,reward_E4
ppo,4x4,medium,1,360,-116.10000000000002,2,-75.10000000000001,-89.90000000000005,-97.10000000000002,-97.90000000000008,-104.60000000000008,-149.49999999999997,-133.70000000000007,-77.00000000000006,-134.3000000000001,-154.60000000000002,-126.09999999999994,-109.79999999999998,-114.10000000000011,-104.79999999999998,-173.29999999999993,-115.80000000000007
ppo,4x4,medium,2,720,-107.08750000000003,5,-90.30000000000008,-91.70000000000002,-95.09999999999994,-124.90000000000008,-79.90000000000002,-126.7,-102.50000000000009,-118.80000000000011,-102.80000000000007,-112.90000000000003,-155.10000000000022,-114.69999999999997,-74.49999999999997,-133.2,-95.49999999999997,-94.80000000000017
ppo,4x4,medium,3,1080,-100.23750000000001,8,-103.20000000000016,-86.99999999999997,-87.80000000000001,-107.59999999999997,-104.39999999999995,-121.49999999999999,-123.8,-114.50000000000011,-92.20000000000012,-107.90000000000003,-114.40000000000006,-83.19999999999992,-69.09999999999997,-102.10000000000004,-92.99999999999997,-92.10000000000005
ppo,4x4,medium,4,1440,-94.31250000000001,11,-69.0,-82.10000000000005,-77.1999999999999,-99.10000000000001,-84.6,-120.40000000000009,-114.1,-99.70000000000002,-94.70000000000002,-92.69999999999996,-110.30000000000008,-102.60000000000001,-100.70000000000003,-94.00000000000003,-83.00000000000004,-84.79999999999994
ppo,4x4,medium,5,1800,-87.56875000000001,14,-73.39999999999998,-84.50000000000001,-75.69999999999997,-92.20000000000009,-86.70000000000003,-103.4,-91.89999999999995,-93.90000000000002,-85.20000000000002,-108.90000000000003,-93.80000000000001,-86.69999999999999,-82.20000000000005,-76.89999999999996,-87.70000000000006,-78.0
ppo,4x4,medium,6,2160,-87.08749999999999,16,-69.49999999999997,-86.19999999999997,-74.30000000000001,-103.80000000000004,-76.50000000000001,-128.40000000000003,-103.50000000000009,-102.29999999999993,-74.79999999999998,-91.39999999999993,-93.5,-73.80000000000005,-85.19999999999999,-70.89999999999993,-82.79999999999997,-76.49999999999997
ppo,4x4,medium,7,2520,-87.15625000000003,19,-75.50000000000003,-79.09999999999998,-80.0000000000001,-86.49999999999993,-77.10000000000001,-92.00000000000006,-104.70000000000006,-86.5000000000001,-92.90000000000005,-102.70000000000005,-98.99999999999994,-94.30000000000007,-89.89999999999993,-78.1000000000001,-87.0,-69.19999999999996
ppo,4x4,medium,8,2880,-85.9375,22,-61.9999999999999,-84.00000000000001,-74.69999999999999,-91.00000000000007,-90.29999999999998,-98.40000000000002,-99.39999999999996,-101.00000000000014,-80.89999999999993,-99.70000000000002,-88.69999999999999,-84.70000000000002,-75.59999999999991,-63.099999999999945,-107.10000000000004,-74.39999999999998
ppo,4x4,medium,9,3240,-84.82499999999999,25,-74.1,-87.80000000000007,-65.99999999999993,-71.2999999999999,-80.69999999999995,-108.89999999999995,-89.29999999999997,-98.0000000000001,-81.59999999999998,-97.70000000000002,-88.90000000000006,-91.70000000000006,-75.70000000000002,-83.80000000000003,-73.39999999999998,-88.29999999999995
ppo,4x4,medium,10,3600,-83.4,28,-81.00000000000001,-84.09999999999988,-74.6,-89.00000000000003,-79.69999999999999,-101.80000000000004,-79.49999999999997,-82.80000000000001,-90.09999999999995,-83.50000000000004,-75.6,-91.79999999999994,-76.70000000000002,-75.50000000000007,-83.5,-85.19999999999997
