algorithm,grid,scenario,episode,step,avg_reward,epsilon,reward_B1,reward_B2,reward_B3,reward_B4,reward_B5,reward_C1,reward_C2,reward_C3,reward_C4,reward_C5,reward_D1,reward_D2,reward_D3,reward_D4,reward_D5,reward_E1,reward_E2,reward_E3,reward_E4,reward_E5,reward_F1,reward_F2,reward_F3,reward_F4,reward_F5
dqn,5x5,medium,1,360,-75.78400000000002,0.9902557142857142,-56.59999999999993,-73.30000000000005,-80.90000000000002,-66.59999999999997,-71.50000000000007,-63.89999999999997,-75.69999999999996,-80.10000000000001,-79.10000000000007,-101.60000000000018,-80.19999999999996,-65.39999999999993,-91.00000000000011,-79.80000000000005,-80.9999999999999,-76.40000000000015,-77.00000000000011,-83.40000000000002,-90.40000000000003,-83.90000000000003,-62.69999999999998,-66.29999999999994,-64.39999999999995,-78.5,-64.89999999999993
dqn,5x5,medium,2,720,-70.93199999999999,0.9804842857142857,-61.499999999999964,-62.09999999999995,-68.50000000000001,-69.69999999999996,-78.60000000000002,-62.499999999999964,-80.10000000000001,-70.29999999999995,-68.80000000000003,-61.3999999999999,-61.599999999999966,-67.29999999999997,-76.89999999999999,-76.10000000000008,-81.80000000000007,-69.89999999999998,-79.20000000000006,-89.5,-68.79999999999998,-72.19999999999999,-54.19999999999998,-60.59999999999992,-73.09999999999995,-89.0,-69.59999999999988
dqn,5x5,medium,3,1080,-75.18,0.9707128571428572,-60.800000000000004,-68.5,-78.7,-74.30000000000008,-74.4,-62.199999999999974,-89.60000000000008,-97.19999999999996,-78.00000000000001,-64.59999999999997,-69.10000000000005,-81.79999999999994,-85.10000000000004,-88.80000000000001,-86.19999999999997,-81.50000000000001,-97.69999999999996,-76.79999999999998,-72.80000000000003,-70.49999999999997,-56.1999999999999,-58.399999999999935,-65.60000000000004,-71.80000000000001,-68.90000000000002
dqn,5x5,medium,4,1440,-73.42000000000002,0.9609414285714286,-63.1,-69.60000000000001,-68.80000000000001,-75.30000000000003,-79.0,-65.09999999999994,-66.19999999999997,-72.50000000000001,-70.1,-67.20000000000002,-65.59999999999994,-70.29999999999994,-94.20000000000012,-93.7000000000001,-61.09999999999998,-68.39999999999998,-89.40000000000008,-93.60000000000007,-81.09999999999998,-69.89999999999989,-63.09999999999999,-84.30000000000008,-65.99999999999996,-65.50000000000003,-72.40000000000002
dqn,5x5,medium,5,1800,-72.316,0.95117,-64.60000000000004,-66.80000000000001,-63.199999999999974,-71.39999999999999,-63.699999999999946,-68.80000000000003,-79.70000000000007,-82.80000000000008,-73.4,-72.60000000000001,-73.80000000000005,-69.09999999999995,-86.90000000000005,-65.19999999999995,-88.90000000000003,-75.40000000000003,-67.49999999999994,-70.39999999999995,-78.30000000000001,-79.49999999999997,-69.10000000000002,-65.89999999999993,-66.19999999999989,-75.80000000000004,-68.9
dqn,5x5,medium,6,2160,-70.988,0.9413985714285714,-62.99999999999999,-63.49999999999994,-59.99999999999996,-76.79999999999998,-63.29999999999994,-64.10000000000001,-90.90000000000003,-75.20000000000009,-71.30000000000008,-82.4000000000001,-60.59999999999998,-83.00000000000007,-79.90000000000002,-73.3,-69.79999999999995,-69.59999999999995,-83.19999999999996,-69.6,-83.70000000000002,-81.80000000000005,-55.299999999999955,-59.69999999999994,-64.49999999999994,-66.50000000000004,-63.69999999999995
dqn,5x5,medium,7,2520,-71.94,0.9316271428571429,-58.199999999999974,-64.9,-70.40000000000002,-70.09999999999998,-66.00000000000001,-66.89999999999999,-63.89999999999996,-69.8,-81.39999999999993,-73.70000000000003,-78.90000000000009,-58.29999999999996,-73.79999999999993,-105.99999999999989,-82.49999999999996,-67.5,-73.20000000000003,-73.10000000000001,-77.80000000000004,-72.49999999999997,-64.4,-67.8,-73.50000000000001,-70.9999999999999,-72.9
dqn,5x5,medium,8,2880,-70.45599999999999,0.9218557142857142,-52.699999999999946,-73.4,-59.49999999999998,-73.20000000000005,-54.89999999999998,-62.99999999999999,-75.39999999999988,-73.99999999999993,-84.7,-64.79999999999997,-65.79999999999995,-86.5,-73.60000000000004,-98.10000000000002,-76.49999999999999,-62.999999999999936,-71.60000000000001,-59.799999999999976,-88.30000000000003,-77.80000000000007,-50.49999999999995,-65.40000000000003,-60.39999999999996,-88.79999999999995,-59.699999999999946
dqn,5x5,medium,9,3240,-71.74,0.9120842857142857,-66.30000000000003,-69.10000000000002,-65.29999999999995,-73.4,-69.60000000000001,-60.59999999999998,-74.89999999999999,-82.50000000000001,-59.59999999999996,-67.39999999999995,-75.39999999999993,-80.50000000000003,-75.39999999999996,-79.89999999999998,-94.20000000000012,-74.79999999999993,-80.2,-71.20000000000003,-72.50000000000006,-74.6,-60.09999999999999,-63.19999999999994,-68.60000000000005,-69.40000000000002,-64.79999999999993
dqn,5x5,medium,10,3600,-71.82799999999999,0.9023128571428571,-56.99999999999997,-62.19999999999993,-69.2,-71.09999999999998,-63.39999999999993,-62.0,-80.70000000000003,-71.79999999999994,-66.6,-94.79999999999998,-80.60000000000005,-76.80000000000005,-71.59999999999998,-91.49999999999997,-70.79999999999998,-76.70000000000002,-79.09999999999995,-74.39999999999995,-66.69999999999999,-65.59999999999995,-71.49999999999997,-63.99999999999997,-74.39999999999996,-65.39999999999995,-67.79999999999998
