algorithm,grid,scenario,episode,step,avg_reward,ppo_updates,reward_B1,reward_B2,reward_B3,reward_B4,reward_B5,reward_C1,reward_C2,reward_C3,reward_C4,reward_C5,reward_D1,reward_D2,reward_D3,reward_D4,reward_D5,reward_E1,reward_E2,reward_E3,reward_E4,reward_E5,reward_F1,reward_F2,reward_F3,reward_F4,reward_F5
ppo,5x5,medium,1,360,-73.352,2,-72.90000000000012,-65.90000000000002,-68.89999999999999,-66.29999999999998,-60.89999999999998,-67.60000000000004,-76.89999999999993,-94.50000000000001,-68.50000000000004,-73.29999999999993,-60.89999999999995,-88.50000000000011,-80.20000000000002,-70.49999999999996,-75.50000000000004,-79.20000000000002,-90.09999999999998,-77.60000000000001,-82.59999999999997,-86.30000000000005,-61.59999999999996,-62.29999999999998,-61.39999999999999,-72.20000000000003,-69.19999999999996
ppo,5x5,medium,2,720,-75.73599999999999,5,-59.69999999999993,-65.79999999999993,-66.80000000000005,-67.89999999999996,-62.59999999999993,-67.99999999999996,-83.40000000000003,-94.00000000000011,-65.7,-81.39999999999998,-82.20000000000002,-129.3,-92.00000000000001,-85.59999999999997,-87.00000000000001,-67.39999999999996,-66.99999999999996,-83.2,-74.80000000000004,-76.3,-53.59999999999993,-74.0,-64.49999999999994,-69.6,-71.59999999999997
ppo,5x5,medium,3,1080,-68.13199999999998,8,-58.99999999999996,-69.79999999999998,-65.89999999999993,-66.29999999999993,-70.69999999999995,-63.399999999999984,-83.49999999999993,-72.19999999999996,-69.40000000000002,-73.7,-73.30000000000001,-65.19999999999996,-78.0,-69.79999999999993,-66.69999999999999,-65.29999999999995,-65.29999999999995,-65.80000000000001,-69.59999999999998,-78.90000000000003,-58.89999999999993,-54.79999999999997,-60.49999999999997,-65.8,-71.49999999999996
ppo,5x5,medium,4,1440,-66.72399999999996,11,-54.39999999999997,-63.99999999999992,-67.09999999999995,-65.19999999999996,-57.59999999999991,-66.69999999999997,-69.69999999999997,-72.70000000000009,-67.79999999999997,-68.19999999999999,-70.29999999999998,-72.80000000000003,-67.19999999999997,-69.59999999999992,-75.29999999999998,-62.69999999999994,-65.59999999999997,-80.89999999999996,-59.69999999999998,-77.89999999999998,-60.799999999999955,-65.39999999999992,-64.99999999999999,-62.09999999999993,-59.39999999999994
ppo,5x5,medium,5,1800,-67.96799999999998,14,-61.69999999999995,-60.29999999999993,-59.89999999999998,-59.39999999999997,-60.599999999999945,-73.69999999999999,-78.7,-63.49999999999994,-66.99999999999994,-62.59999999999993,-68.09999999999997,-66.49999999999996,-74.10000000000004,-75.60000000000004,-85.60000000000002,-67.49999999999994,-68.49999999999999,-78.10000000000004,-71.49999999999994,-80.70000000000003,-59.9999999999999,-63.89999999999992,-63.69999999999996,-65.59999999999997,-62.40000000000001
ppo,5x5,medium,6,2160,-65.91199999999996,16,-54.199999999999925,-59.99999999999999,-59.59999999999991,-65.99999999999991,-65.49999999999991,-64.49999999999993,-68.49999999999999,-73.59999999999998,-61.99999999999993,-64.69999999999996,-68.4,-69.59999999999997,-68.39999999999996,-68.5,-68.50000000000001,-80.00000000000001,-62.49999999999989,-64.5999999999999,-74.50000000000003,-66.09999999999994,-66.0,-55.299999999999926,-68.60000000000004,-70.6,-57.59999999999995
ppo,5x5,medium,7,2520,-66.74399999999996,19,-62.69999999999993,-56.9999999999999,-65.49999999999999,-69.7,-63.49999999999991,-63.599999999999916,-68.69999999999996,-72.9,-73.30000000000001,-73.09999999999998,-69.10000000000001,-73.99999999999999,-74.19999999999996,-69.09999999999997,-69.79999999999995,-65.49999999999993,-61.399999999999935,-66.89999999999995,-67.29999999999991,-72.29999999999993,-53.79999999999994,-65.09999999999994,-61.799999999999976,-67.79999999999995,-60.499999999999936
ppo,5x5,medium,8,2880,-65.02399999999994,22,-70.59999999999995,-66.79999999999993,-64.69999999999995,-69.89999999999993,-65.99999999999997,-63.99999999999997,-63.69999999999994,-69.29999999999995,-62.39999999999997,-69.7999999999999,-60.69999999999992,-58.899999999999935,-71.19999999999997,-66.59999999999991,-57.999999999999915,-66.59999999999998,-62.99999999999996,-80.39999999999995,-75.50000000000001,-60.89999999999995,-52.899999999999935,-58.49999999999993,-59.89999999999993,-61.099999999999895,-64.19999999999999
ppo,5x5,medium,9,3240,-67.01199999999996,25,-59.999999999999886,-60.799999999999926,-60.399999999999956,-64.09999999999994,-59.399999999999906,-65.99999999999996,-76.99999999999996,-67.89999999999999,-72.39999999999993,-73.10000000000004,-65.89999999999998,-61.199999999999974,-70.99999999999996,-71.80000000000001,-71.89999999999996,-68.00000000000001,-80.49999999999999,-74.29999999999997,-65.69999999999993,-69.2,-56.39999999999995,-60.2999999999999,-60.499999999999915,-67.2999999999999,-70.2
ppo,5x5,medium,10,3600,-66.81999999999995,28,-52.29999999999994,-59.799999999999905,-63.29999999999995,-68.3,-60.59999999999991,-67.59999999999998,-62.69999999999996,-77.30000000000003,-61.399999999999885,-62.69999999999993,-70.10000000000007,-59.99999999999991,-63.49999999999992,-73.89999999999999,-73.89999999999995,-68.49999999999997,-69.89999999999995,-72.20000000000003,-70.2,-75.09999999999995,-65.69999999999996,-69.79999999999997,-61.699999999999996,-75.09999999999997,-64.89999999999992
